deflator,year,gr_cliolab,gr_bcch,deviation
P_Y,1996,0.026076268929859037,,
P_Y,1997,0.04321758707685741,0.033305805032357805,0.009911782044499606
P_Y,1998,0.01978435793108857,0.0077899020679639275,0.011994455863124642
P_Y,1999,0.024846173212654366,0.021877678707266757,0.002968494505387609
P_Y,2000,0.04608968496978538,0.045600434864296435,0.0004892501054889475
P_Y,2001,0.038428909492265184,0.04277146981935198,-0.004342560327086797
P_Y,2002,0.042178417120319445,0.03340660372501203,0.008771813395307415
P_Y,2003,0.05860809274855261,0.04300300883860131,0.0156050839099513
P_Y,2004,0.07477659644433965,0.07024761706600224,0.0045289793783374055
P_Y,2005,0.0755232576820033,0.07120315352360373,0.0043201041583995625
P_Y,2006,0.12421890578658323,0.12349895920906762,0.0007199465775156177
P_Y,2007,0.054522953327239554,0.05088757066778116,0.003635382659458397
P_Y,2008,0.002377859791739878,0.0031113249870478032,-0.0007334651953079252
P_Y,2009,0.028668525234929465,0.035777950418545146,-0.007109425183615681
P_Y,2010,0.09374340321335195,0.08857441489424,0.0051689883191119446
P_C,1996,0.046870043565821584,,
P_C,1997,0.045477199955056724,0.03585426999417862,0.009622929960878102
P_C,1998,0.03423161076880432,0.028874513572737515,0.005357097196066807
P_C,1999,0.02270279166509459,0.025577951285008727,-0.002875159619914136
P_C,2000,0.047495342356783654,0.04198120053124632,0.005514141825537333
P_C,2001,0.04617977932941031,0.04741663691712095,-0.001236857587710638
P_C,2002,0.03221048508614022,0.028587713760793276,0.0036227713253469407
P_C,2003,0.03191562123427394,0.03147427652274737,0.00044134471152657007
P_C,2004,0.005493631033740787,0.012716966129503682,-0.007223335095762895
P_C,2005,0.03708098035656193,0.045482009098400056,-0.008401028741838124
P_C,2006,0.024844453697994595,0.03414746054119577,-0.009303006843201178
P_C,2007,0.03559613012040841,0.044170523540767004,-0.008574393420358595
P_C,2008,0.07889388491273097,0.09073670824134039,-0.01184282332860942
P_C,2009,0.008699266690056717,0.0024208887815504454,0.006278377908506272
P_C,2010,0.001519981004399762,0.03304122117486963,-0.031521240170469866
P_G,1996,0.12126922131586415,,
P_G,1997,0.0612344389987014,0.07405371565077945,-0.012819276652078049
P_G,1998,0.05920239790947868,0.07834589308589757,-0.01914349517641889
P_G,1999,0.06389199809785473,0.0720277181331388,-0.008135720035284066
P_G,2000,0.06216389985471693,0.07081774343677982,-0.008653843582062892
P_G,2001,0.04952017214874216,0.058955323871831666,-0.009435151723089508
P_G,2002,0.048089789973692953,0.05508738933755741,-0.00699759936386446
P_G,2003,0.033005070211328036,0.03515942042318443,-0.002154350211856393
P_G,2004,0.021028128349827035,0.02196929678526116,-0.0009411684354341254
P_G,2005,0.03817065613997861,0.037949474780822445,0.000221181359156164
P_G,2006,0.05327175895022718,0.05670894602886056,-0.003437187078633386
P_G,2007,0.06662851745438814,0.060656367101600495,0.005972150352787642
P_G,2008,0.1261196085745504,0.1143936800023082,0.011725928572242195
P_G,2009,0.08843974766322615,0.0686660654360387,0.01977368222718745
P_G,2010,0.05868909351540763,0.08359607653478807,-0.024906983019380435
P_K,1996,0.06295288065196925,,
P_K,1997,0.026942263293822544,0.008122403495220532,0.018819859798602012
P_K,1998,-0.01090695887550508,-0.023352883115570267,0.012445924240065187
P_K,1999,-0.014495809842437812,-0.04237666441337329,0.027880854570935476
P_K,2000,-0.007993277248890873,-0.017152425615416966,0.009159148366526093
P_K,2001,0.07101039900781969,0.07330562580448419,-0.0022952267966644957
P_K,2002,0.02235817044023558,0.011569363634102103,0.010788806806133477
P_K,2003,0.02496826651707673,-0.002105343867298437,0.02707361038437517
P_K,2004,-0.00823029599678382,-0.023560360937815883,0.015330064941032062
P_K,2005,0.005652569904143423,0.005922782219453637,-0.0002702123153102143
P_K,2006,0.03270098190656445,0.008896157743686794,0.023804824162877658
P_K,2007,0.03135136866219801,0.04295525756291685,-0.01160388890071884
P_K,2008,0.0824187661168665,0.07291183240047072,0.009506933716395771
P_K,2009,0.02779453764763895,0.033264182145107846,-0.005469644497468895
P_K,2010,-0.0348570292594611,-0.010417141825791565,-0.024439887433669538
P_X,1996,-0.08114693210252155,,
P_X,1997,-0.0073055109876779545,-0.017213979297779014,0.00990846831010106
P_X,1998,-0.02890485644623586,-0.0414881584606267,0.01258330201439084
P_X,1999,0.06611532033234013,0.07237601264547933,-0.006260692313139193
P_X,2000,0.11011701783574868,0.10108510663421644,0.009031911201532239
P_X,2001,0.054977801963950856,0.056771789453178734,-0.0017939874892278773
P_X,2002,0.07074148672108849,0.04629952717838326,0.024441959542705227
P_X,2003,0.11165344997420013,0.10942882673279142,0.0022246232414087075
P_X,2004,0.12253951916775874,0.1235744477737728,-0.0010349286060140628
P_X,2005,0.10348924871940013,0.11134180560906937,-0.007852556889669238
P_X,2006,0.23899488745634123,0.23630944645695684,0.002685440999384392
P_X,2007,0.05864421367322237,0.06512880895421502,-0.0064845952809926555
P_X,2008,-0.04759638438759317,-0.045588196077694265,-0.002008188309898906
P_X,2009,-0.0582445927252605,-0.035981197769385465,-0.022263394955875038
P_X,2010,0.17384908287842782,0.1551614517102582,0.018687631168169627
P_M,1996,0.05448433763583371,,
P_M,1997,-0.009572854263824593,-0.010110388350839217,0.0005375340870146239
P_M,1998,-0.0015376478573218,-0.001224330410081298,-0.00031331744724050203
P_M,1999,0.0387525239895512,0.040075773337517884,-0.0013232493479666818
P_M,2000,0.0804594820505633,0.07549246904603013,0.004967013004533172
P_M,2001,0.1019455260530373,0.08571990532307106,0.01622562072996625
P_M,2002,0.036252475476594714,0.04481000243516631,-0.008557526958571593
P_M,2003,0.029466520939961383,0.026143241772534687,0.003323279167426696
P_M,2004,-0.0620743668790148,-0.05804325162933732,-0.004031115249677475
P_M,2005,0.006553001209831155,0.011163549070907441,-0.004610547861076286
P_M,2006,-0.005115831325332887,-0.009023778708649788,0.003907947383316901
P_M,2007,0.04276735544140631,0.03671397186472958,0.00605338357667673
P_M,2008,0.14030649581544408,0.1652420322548842,-0.02493553643944013
P_M,2009,-0.0999756518864997,-0.06868994135153217,-0.03128571053496754
P_M,2010,-0.052050047842644775,-0.01017085175994592,-0.041879196082698855
