"year","ECT","series"
1947,0.0160802586655025,"p=7"
1948,0.0485713284417708,"p=7"
1949,-0.00646222487112632,"p=7"
1950,-0.00570830082325068,"p=7"
1951,0.0358153026089489,"p=7"
1952,0.0146719998791203,"p=7"
1953,0.0235225476066818,"p=7"
1954,-0.0264800001728835,"p=7"
1955,-0.00630715887061196,"p=7"
1956,-0.0450812191876598,"p=7"
1957,-0.0733193633189501,"p=7"
1958,-0.119795681849759,"p=7"
1959,-0.0538451932434294,"p=7"
1960,-0.0346350719364918,"p=7"
1961,-0.0353393983581967,"p=7"
1962,0.0164040130975028,"p=7"
1963,0.0448136804763194,"p=7"
1964,0.0682183718521709,"p=7"
1965,0.0972450699058539,"p=7"
1966,0.108523248080667,"p=7"
1967,0.0838136122469169,"p=7"
1968,0.091839778519816,"p=7"
1969,0.082258311548468,"p=7"
1970,0.0235212862905024,"p=7"
1971,0.00731725295690736,"p=7"
1972,0.0298037687616133,"p=7"
1973,0.0269677681610726,"p=7"
1974,-0.0909013779113733,"p=7"
1975,-0.120115359412292,"p=7"
1976,-0.0959279876555038,"p=7"
1977,-0.0789196714067609,"p=7"
1978,-0.0695024102762493,"p=7"
1979,-0.0984591684922063,"p=7"
1980,-0.153948458062562,"p=7"
1981,-0.150149142912071,"p=7"
1982,-0.171568777556625,"p=7"
1983,-0.130751634233561,"p=7"
1984,-0.0704351904693817,"p=7"
1985,-0.0543661045479114,"p=7"
1986,-0.0527238979579858,"p=7"
1987,-0.0312677596699254,"p=7"
1988,-0.00692623832282901,"p=7"
1989,-0.00848756345679058,"p=7"
1990,-0.0149255406261729,"p=7"
1991,-0.0105389156436059,"p=7"
1992,0.00205376709175853,"p=7"
1993,0.00499598821527325,"p=7"
1994,0.0271162864057312,"p=7"
1995,0.0410724464077445,"p=7"
1996,0.0544895059695827,"p=7"
1997,0.0775812057081312,"p=7"
1998,0.087682706781437,"p=7"
1999,0.101129599141043,"p=7"
2000,0.108957864641189,"p=7"
2001,0.0656442538901698,"p=7"
2002,0.0430010591683535,"p=7"
2003,0.0487956307031973,"p=7"
2004,0.0430578656306513,"p=7"
2005,0.0379561572011814,"p=7"
2006,0.0283268000831034,"p=7"
2007,0.00321046412226822,"p=7"
2008,-0.0684864812626539,"p=7"
2009,-0.0656012336021692,"p=7"
2010,-0.0334374293562351,"p=7"
2011,-0.01777325233204,"p=7"
