"year","asset_block","sfc_implicit_price_index_2017_100","faat402_quantity_index","bea_qadj_implied_price_index_2017_100","nfc_output_price_index_2017_100","sfc_vs_bea_qadj_percent_gap","sfc_vs_output_price_percent_gap","faat402_role","output_price_role"
1929,"ME",0.19262019995476,4.728,10.5066717603968,13.3919866778387,-98.1666868029435,-98.5616756901834,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1930,"ME",0.189328078883266,4.736,9.91310023979112,12.8112297467136,-98.0901224208013,-98.5221709185894,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1931,"ME",0.186916122457718,4.594,9.30938050994062,11.0935078353711,-97.9921744281682,-98.3150854965663,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1932,"ME",0.188340889928834,4.352,8.81490023004333,9.48400466069822,-97.8633803558329,-98.0141206519086,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1933,"ME",0.214587127078197,4.148,9.2846997625974,9.4485091057661,-97.6888091961504,-97.7288784434018,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1934,"ME",0.245747237114414,4.028,9.79556607555798,10.4523000106236,-97.4912400649554,-97.6488692740867,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1935,"ME",0.264797719173704,3.97,9.70252783705872,10.6590217659965,-97.2708378309175,-97.5157408907969,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1936,"ME",0.303224462214825,4.034,10.2316826270082,10.7303838841298,-97.0364164598459,-97.174150845961,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1937,"ME",0.33753685745016,4.172,10.5600712237964,11.277218790517,-96.8036498021951,-97.0069139943086,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1938,"ME",0.370209546678964,4.139,10.6172426555717,10.696770660833,-96.5131290798493,-96.5390531552246,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1939,"ME",0.406645590668492,4.153,10.7797709038635,10.5770580913554,-96.2276972832256,-96.1553998554585,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1940,"ME",0.458483669433521,4.292,11.2039322005025,10.7731310796332,-95.9078325249687,-95.7441929737559,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1941,"ME",0.537675013141453,4.491,12.1583246334441,11.6850845188402,-95.5777211963689,-95.3986211030434,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1942,"ME",0.595196934772763,4.494,12.5936795503745,12.9750035898853,-95.2738440549326,-95.4127416562971,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1943,"ME",0.656587524330709,4.44,12.9172313592695,13.836507669906,-94.9169639679827,-95.2546730721744,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1944,"ME",0.695315189234166,4.508,12.7259929672007,14.0875319802149,-94.5362598342916,-95.0643221948976,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1945,"ME",0.814024529826195,4.791,13.7714833692589,14.2161091173518,-94.0890570173197,-94.273928800725,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1946,"ME",0.970962315133967,5.192,15.3740589536204,15.301416851283,-93.6844113967358,-93.6544287070216,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1947,"ME",1.09555711880693,5.8,16.559028946313,17.3618845751693,-93.3839289588846,-93.689872121522,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1948,"ME",1.27089522825572,6.347,18.3004507480577,18.4615242645236,-93.0553883849522,-93.115978886435,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1949,"ME",1.31091520748717,6.638,18.1473679460918,18.1324353881236,-92.776279120028,-92.7703301877154,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1950,"ME",1.52154947904867,6.96,19.9935890082185,18.2423645598726,-92.3898131624931,-91.6592529764722,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1951,"ME",1.66204920723565,7.344,20.8580261027168,19.8195253167735,-92.0316083648051,-91.6140816660779,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1952,"ME",1.75164167021269,7.728,20.968152308096,19.9797711843638,-91.6461801475165,-91.232924271007,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1953,"ME",1.89487374369912,8.14,21.694413077993,19.9195384469119,-91.265614161181,-90.4873611969012,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1954,"ME",1.97837862872881,8.44,21.70613683023,19.8287660847679,-90.8856253685201,-90.0226841132159,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1955,"ME",2.20645052513897,8.819,22.9907252693453,19.9833183487332,-90.4028668113357,-88.9585378832798,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1956,"ME",2.52481092686332,9.299,24.9345797558088,20.6999844684456,-89.8742591549989,-87.8028366122107,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1957,"ME",2.76646578559073,9.801,26.0697551295586,21.3441270311362,-89.3882172201378,-87.0387494341882,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1958,"ME",2.92915944180703,9.961,26.4692771386381,21.6770914427353,-88.9337384377179,-86.4873041222111,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1959,"ME",3.14490235778953,10.227,27.1413497589575,21.8490389093135,-88.412874135887,-85.6062210752485,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1960,"ME",3.31711183671328,10.602,27.2257794394781,21.9750162974396,-87.8162832983823,-84.9050767844037,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
