"asset_block","year","real_investment_object","nominal_investment_current_millions","sfc_implicit_price_index_2017_100","real_investment_2017_millions","price_status","source_role","real_flow_role"
"ME",1901,"I_REAL_NFC_ME_SFC_BASELINE",563,0.138046830869912,407832.614810651,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1902,"I_REAL_NFC_ME_SFC_BASELINE",634,0.138046830869912,459264.436571853,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1903,"I_REAL_NFC_ME_SFC_BASELINE",721,0.138046830869912,522286.528025719,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1904,"I_REAL_NFC_ME_SFC_BASELINE",621,0.138046830869912,449847.342446562,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1905,"I_REAL_NFC_ME_SFC_BASELINE",765,0.138046830869912,554159.769680548,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1906,"I_REAL_NFC_ME_SFC_BASELINE",999,0.138046830869912,723667.463935774,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1907,"I_REAL_NFC_ME_SFC_BASELINE",1143,0.138046830869912,827979.89116976,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1908,"I_REAL_NFC_ME_SFC_BASELINE",637,0.138046830869912,461437.612139227,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1909,"I_REAL_NFC_ME_SFC_BASELINE",779,0.138046830869912,564301.25566163,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
"ME",1910,"I_REAL_NFC_ME_SFC_BASELINE",958,0.138046830869912,693967.39784832,"INITIALIZATION_SEED_PRICE","DIRECT_NOMINAL_INVESTMENT_CANONICAL","REAL_INVESTMENT_BASELINE"
