"stage_id","variable_id","asset_scope","transformation_family","year_start","year_end","observation_count","first_fully_supported_year","fully_supported_observation_count","warmup_observation_count","missing_observation_count","primary_classification","baseline_estimation_authorized_for_warmup","allowed_warmup_uses","restriction_note"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_ME_GPIM_2017","ME","source_preserved",1901,2024,124,1925,100,24,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_NRC_GPIM_2017","NRC","source_preserved",1901,2024,124,1931,94,30,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_ME","ME","cfc_rate_diagnostic",1902,2024,123,1926,99,24,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_NRC","NRC","cfc_rate_diagnostic",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_TOT","TOT","cfc_rate_diagnostic",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_TOT_GPIM_2017","TOT","tot_alias",1901,2024,124,1931,94,30,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_ME","ME","first_difference",1902,2024,123,1926,99,24,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_NRC","NRC","first_difference",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_TOT","TOT","first_difference",1902,2024,123,1932,93,30,0,"AUTHORIZED_SECONDARY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_ME","ME","first_difference",1902,2024,123,1926,99,24,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_NRC","NRC","first_difference",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_TOT","TOT","first_difference",1902,2024,123,1932,93,30,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_N_ME","ME","first_difference",1902,2024,123,1926,99,24,0,"DIAGNOSTIC_ONLY","no","visualization; sensitivity checks; initialization review; historical continuity diagnostics","Baseline empirical estimation must use fully supported observations only."
