"year","u_shaikh","u_hat","yp_hat","u_case1","u_case2","u_case3","u_case4","u_case5"
1947,0.885106384754181,0.556330176645395,7.51598683735088,NA,0.556330176645395,0.556330176645395,0.580234405070315,0.580234405070315
1948,0.923893213272095,0.577320826468552,7.56202165784258,NA,0.577320826468552,0.577320826468552,0.604785732722263,0.604785732722263
1949,0.869800388813019,0.547164862562053,7.59677348176308,NA,0.547164862562053,0.547164862562053,0.57410925366317,0.57410925366317
1950,0.879007756710052,0.557768337580085,7.69242690817554,NA,0.557768337580085,0.557768337580085,0.595134362645833,0.595134362645833
1951,0.925842940807343,0.581441776703508,7.72238618568124,NA,0.581441776703508,0.581441776703508,0.620641237218811,0.620641237218811
1952,0.910232961177826,0.571324148918246,7.76500736743964,NA,0.571324148918246,0.571324148918246,0.61201334658778,0.61201334658778
1953,0.924771666526794,0.578412254841584,7.80723708150586,NA,0.578412254841584,0.578412254841584,0.621752208509274,0.621752208509274
1954,0.8767209649086,0.550022059176003,7.8358770120581,NA,0.550022059176003,0.550022059176003,0.591276149158329,0.591276149158329
1955,0.903114199638367,0.568071060847852,7.90894564140914,NA,0.568071060847852,0.568071060847852,0.617522614672047,0.617522614672047
1956,0.86929577589035,0.60210898920645,7.88520414489167,NA,0.60210898920645,0.60210898920645,0.63584443448527,0.63584443448527
1957,0.843951225280762,0.585315170042945,7.9253919876979,NA,0.585315170042945,0.585315170042945,0.617583025514879,0.617583025514879
1958,0.798105180263519,0.545976608619149,7.95333769207033,NA,0.545976608619149,0.545976608619149,0.590264489087531,0.590264489087531
1959,0.861047804355621,0.595647217849969,7.96738090388614,NA,0.595647217849969,0.595647217849969,0.628566010486314,0.628566010486314
1960,0.880931198596954,0.60319922542959,7.98413779837746,NA,0.60319922542959,0.60319922542959,0.632289375693975,0.632289375693975
1961,0.882777214050293,0.590591524229697,8.0216519308309,NA,0.590591524229697,0.590591524229697,0.635836098813568,0.635836098813568
1962,0.939095973968506,0.633324559138263,8.02495701765004,NA,0.633324559138263,0.633324559138263,0.663759913054236,0.663759913054236
1963,0.97143566608429,0.648934899212693,8.05082332095959,NA,0.648934899212693,0.648934899212693,0.67711943209401,0.67711943209401
1964,1.00164115428925,0.653863987156447,8.10469609111619,NA,0.653863987156447,0.653863987156447,0.703599140538771,0.703599140538771
1965,1.0422728061676,0.689057975710977,8.12687210789944,NA,0.689057975710977,0.689057975710977,0.725209029652389,0.725209029652389
1966,1.06474781036377,0.698672785274611,8.17644762898156,NA,0.698672785274611,0.698672785274611,0.736422957288944,0.736422957288944
1967,1.04273521900177,0.672573121947416,8.23916132094535,NA,0.672573121947416,0.672573121947416,0.732695951954366,0.732695951954366
1968,1.05709373950958,0.694922025900131,8.26584865197423,NA,0.694922025900131,0.694922025900131,0.741273172034639,0.741273172034639
1969,1.04945170879364,0.689184282326676,8.31082316515909,NA,0.689184282326676,0.689184282326676,0.735403257276813,0.735403257276813
1970,0.984412431716919,0.640531197936327,8.36956650837456,NA,0.640531197936327,0.640531197936327,0.705718435005386,0.705718435005386
1971,0.973544180393219,0.644950446035168,8.39060097440024,NA,0.644950446035168,0.644950446035168,0.694805908467029,0.694805908467029
1972,1.00391101837158,0.659464321838848,8.43013797083689,NA,0.659464321838848,0.659464321838848,0.709721253829941,0.709721253829941
1973,1.00486552715302,0.651004041169963,8.50458633378535,NA,0.651004041169963,0.651004041169963,0.726241895160135,0.726241895160135
1974,0.884328484535217,0.642769456082271,8.51003276400245,NA,0.642769456082271,0.642769456082271,0.701678374420508,0.701678374420508
1975,0.853546917438507,0.633865149146288,8.51371916817526,NA,0.633865149146288,0.633865149146288,0.671115147038092,0.671115147038092
1976,0.879995822906494,0.638250387138288,8.57295737511197,NA,0.638250387138288,0.638250387138288,0.695176562194783,0.695176562194783
