candidate_id,label,theta,a,c_d56,c_d74,c_d80,alpha,AIC,BIC,loglik,R2,rmse_u,n_obs,failed,error_msg,loss
Y3,BEA_real_GVA (T1.14 direct),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,Insufficient data,Inf
Y6,VAcorp / implicit_GVA_deflator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,Insufficient data,Inf
Y7,GVAcorp_nom / implicit_GVA_deflator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,Insufficient data,Inf
Y1,VAcorp / pIG_2005,0.8356269214674781,0.871481795743815,NA,NA,NA,-0.13647066946216452,-231.84307436460674,-206.512587994527,127.92153718230337,0.998582816597934,NA,65,FALSE,NA,NA
Y2,GVAcorp_nom / pIG_2005,0.8380938450528974,0.9365655855889041,NA,NA,NA,-0.12244489398537348,-242.50964794277985,-217.1791615727001,133.25482397138992,0.9988612438481718,NA,65,FALSE,NA,NA
Y4,VAcorp / pKN_2005,0.8311377055966898,0.1490686521386654,NA,NA,NA,0.07209967110793535,-225.9244431644674,-200.59395679438765,124.9622215822337,0.996725262262749,NA,65,FALSE,NA,NA
Y5,GVAcorp_nom / pKN_2005,0.8124805518686975,0.5683461697553845,NA,NA,NA,0.08047379765495773,-236.17581733516397,-210.84533096508423,130.08790866758198,0.9973982824357305,NA,65,FALSE,NA,NA
Y_RepData,GVAcorp / Py (RepData),0.7495424791690468,2.1003620573282515,NA,NA,NA,-0.11133777928870725,-250.89184383018613,-225.5613574601064,137.44592191509307,0.998118037733013,NA,65,FALSE,NA,NA
Y_GVA_Py_K_pKN,GVAcorp/Py + K/pKN,0.8787328956282846,0.45645777335881443,NA,NA,NA,-0.47150448813441287,-326.6988574822884,-301.3683711122087,175.3494287411442,0.9994568788856223,NA,65,FALSE,NA,NA
Y5_Kb,"GVAcorp_nom / pKN, K / pKN",0.7683456885301158,1.4276667707261828,NA,NA,NA,-0.12470314404629446,-283.67388111685227,-258.34339474677256,153.83694055842614,0.9988057539744883,NA,65,FALSE,NA,NA
Y4_Kb,"VAcorp / pKN, K / pKN",0.76132081796234,1.4173854480259298,NA,NA,NA,-0.1289485379162899,-276.04473998343605,-250.7142536133563,150.02236999171802,0.9985600713330727,NA,65,FALSE,NA,NA
Y1_Kc,"VAcorp / pIG, K nominal",0.7223096837047036,2.8023741769855324,NA,NA,NA,-0.1417811881288479,-234.76384912560945,-209.43336275552971,129.38192456280473,0.9986490746140425,NA,65,FALSE,NA,NA
