"year","asset","I_current","K_current_anchor","K_quantity_index","pKN_guardian","K_real_guardian","K_current_reconstructed","I_real_guardian","consumption_of_fixed_capital_real","depletion_rate_guardian","coherence_residual_current","coherence_residual_real","current_anchor_residual","price_status","first_complete_vintage_year","L","alpha","d_parameter"
1925,"ME",226,591,0.359,9224.11515315598,6.40711862533278,591,2.45009950816448,0.655482083218473,,,,-0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1926,"ME",134,596,0.356,8355.65230725667,7.13289612927514,596,1.60370483443434,0.877927330491984,0.137023735914736,0,0.000000000000000888178419700125,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1927,"ME",133,593,0.352,7494.40274721628,7.91257182195424,593,1.77465776107911,0.99498206840001,0.139492017038684,0,0.000000000000000888178419700125,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1928,"ME",138,591,0.349,6661.26964948186,8.87218249821144,591,2.07167713156206,1.11206645530487,0.140544247853691,0.000000000000227373675443232,0.00000000000000177635683940025,0.000000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1929,"ME",152,581,0.353,5626.08628217782,10.3268945917249,581,2.70170047838587,1.24698838487238,0.140550353323295,-0.000000000000227373675443232,-0.0000000000000035527136788005,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1930,"ME",137,551,0.352,4662.03591602195,11.8188707664475,551,2.93863029946153,1.44665412473898,0.140086074462134,0,0.00000000000000177635683940025,0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1931,"ME",113,508,0.343,3887.61276026296,13.0671450920343,508,2.90666810118085,1.65839377559407,0.140317447272718,0.000000000000113686837721616,0.0000000000000035527136788005,0.000000000000056843418860808,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1932,"ME",92,446,0.329,3155.86405437949,14.1324211789501,446,2.91520795619598,1.84993186928017,0.141571235051785,-0.000000000000170530256582424,-0.0000000000000035527136788005,-0.000000000000170530256582424,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1933,"ME",94,452,0.324,2958.4800918099,15.2781153150664,452,3.17730716729257,2.03161303117624,0.143755482903544,0,0.00000000000000177635683940025,-0.000000000000170530256582424,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1934,"ME",103,461,0.322,2742.90666258819,16.806988232148,461,3.75514053776842,2.22626762068685,0.145716115815112,0.000000000000113686837721616,0.0000000000000035527136788005,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1935,"ME",115,461,0.325,2410.88806136208,19.1215845890227,461,4.7700265243766,2.45543016750186,0.14609578668028,-0.000000000000113686837721616,-0.0000000000000035527136788005,-0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1936,"ME",132,493,0.337,2203.56994790289,22.3727865080563,493,5.99027955185279,2.73907763281926,0.143245326770235,0,0,-0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1937,"ME",153,536,0.355,1994.3504554598,26.8759183488854,536,7.67167072272289,3.16853888189374,0.141624686793162,0.000000000000113686837721616,0.0000000000000035527136788005,0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1938,"ME",126,531,0.354,1753.76624224222,30.2776953512976,531,7.18453787996892,3.78276087755675,0.140749083564381,0,-0.0000000000000035527136788005,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1939,"ME",136,536,0.36,1535.81277074894,34.9000874461161,536,8.85524606841753,4.23285397359897,0.139801062283215,0,-0.000000000000007105427357601,-0.000000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1940,"ME",158,570,0.376,1378.00108321212,41.3642635658408,570,11.4658835849173,5.00170746519266,0.143315041055844,0.000000000000227373675443232,0.000000000000007105427357601,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1941,"ME",187,734,0.397,1538.28151374549,47.7155834898397,734,12.1564224967303,5.80510257273134,0.140341011111951,0,0.000000000000007105427357601,0.000000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
