"term","estimate","se","z","p_value","model_id","spec_id","estimator","intercept_flag"
"k",1.26409955541949,0.0664579336075193,19.0210481548355,7.49228928652004e-23,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"wk",-0.52368003803579,0.108713005618624,-4.81708729379548,1.75982443341792e-05,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"D45_k",-0.22905472104264,0.10934304444368,-2.09482662759241,0.0419771737373912,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"D45_wk",0.367219132983412,0.173019856711375,2.12241034042695,0.0394682072783531,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"D73_k",-0.158715774657421,0.00120813106104271,-131.37297746524,9.90012860281734e-59,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"D73_wk",0.244768801530648,0.000772143175260565,316.999242333586,1.52423412011115e-75,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"k",1.14884723643238,0.0554057236409262,20.7351724864716,2.4425235370231e-24,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"wk",-0.334738322356773,0.0915823682788255,-3.65505204383502,0.000682029718190247,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"D45_k",-0.124620032705512,0.0917634064717189,-1.35805804837813,0.181368747803278,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"D45_wk",0.214655646832465,0.145759575288394,1.47266926654908,0.147958041658187,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"D73_k",-0.102868266119924,0.0023114995401405,-44.502827854195,3.15695246145308e-38,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"D73_wk",0.151569891366655,0.00142536792471421,106.337380502683,1.05493009109867e-54,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"k",1.25593645629852,NA,NA,NA,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"wk",-0.468797778913172,NA,NA,NA,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"D45_k",-0.17901759913741,NA,NA,NA,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"D45_wk",0.285879944116914,NA,NA,NA,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"D73_k",-0.142324020921478,NA,NA,NA,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"D73_wk",0.211730335939137,NA,NA,NA,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"k",1.25399047626033,NA,NA,NA,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"wk",-0.477307149751708,NA,NA,NA,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"D45_k",-0.232119761509006,NA,NA,NA,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"D45_wk",0.374931173882389,NA,NA,NA,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"D73_k",-0.144843186900904,NA,NA,NA,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"D73_wk",0.21831860620721,NA,NA,NA,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"const",1.49458355713447,0.238873897947288,6.25678891657004,1.54662413528986e-07,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"k",1.20593596689889,0.0392492064500607,30.7251044281182,6.81341269379815e-31,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"wk",-0.582609215588143,0.0628233747388768,-9.27376502790144,8.08568187713908e-12,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"D45_k",-0.204687634434145,0.0627265019770204,-3.26317629682477,0.00216298408483912,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"D45_wk",0.342547637967774,0.0991311760501229,3.45549857891905,0.00124803083555379,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"D73_k",0.0621891467564053,0.000733171412538243,84.8221107545727,1.66709371391655e-49,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"D73_wk",-0.100059435361097,0.000468364078355012,-213.636015196822,1.04148522369377e-66,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"const",1.68147018820977,0.0489731413570787,34.3345381083405,6.89788804065405e-33,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"k",0.398596876777769,0.0114932223946945,34.6810374923023,4.54557955460075e-33,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"wk",0.710652565853114,0.0187101412408961,37.9822127852134,1.02836679377317e-34,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"D45_k",0.197819016606246,0.01601118621175,12.3550506495936,9.70016360566271e-16,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"D45_wk",-0.346757030750035,0.0255483472204414,-13.5725817313377,3.82110343263784e-17,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"D73_k",-0.11121634205651,0.000155260905527315,-716.319035231594,2.70338972600513e-89,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"D73_wk",0.175625761059604,0.000100235816917356,1752.12580154265,5.35571864044876e-106,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"const",0.694020505301637,NA,NA,NA,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"k",1.20333785608297,NA,NA,NA,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"wk",-0.47431208687652,NA,NA,NA,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"D45_k",-0.168785844968397,NA,NA,NA,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"D45_wk",0.276433733918111,NA,NA,NA,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"D73_k",-4.53105391506051,NA,NA,NA,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"D73_wk",7.15586705559872,NA,NA,NA,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"const",1.70421186958518,NA,NA,NA,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"k",1.1879393344541,NA,NA,NA,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"wk",-0.563022635415307,NA,NA,NA,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"D45_k",-0.249901954387591,NA,NA,NA,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"D45_wk",0.417271528734829,NA,NA,NA,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"D73_k",-0.19447169425012,NA,NA,NA,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"D73_wk",0.305811541877529,NA,NA,NA,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
