"regime","start_year","end_year","omega_min","omega_mean","omega_max","alpha_hat","alpha_se","alpha_p","beta2_hat","beta2_se","beta2_p","theta_at_omega_min","theta_at_omega_mean","theta_at_omega_max","delta_theta_obs","model_id","spec_id","estimator","intercept_flag"
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,1.26409955541949,0.0664579336075193,1.14177989506746e-80,-0.52368003803579,0.108713005618624,1.45668970987266e-06,0.952765961121124,0.934308982456526,0.909183711438308,-0.0435822496828162,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,1.03504483437685,0.0918543806566154,1.88118611645639e-29,-0.156460905052378,0.13743430991101,0.254936224626973,0.939685779160215,0.93597517194206,0.931246312128713,-0.008439467031502,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,0.876329059719425,0.0916579117632044,1.16774838779434e-21,0.0883078964782708,0.137524203861323,0.520791236065971,0.93199869703719,0.932578903003941,0.934091662917628,0.00209296588043795,"B1_no_intercept__D_fixed","B1_no_intercept","D_fixed",FALSE
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,1.14884723643238,0.0554057236409262,1.66855762079374e-95,-0.334738322356773,0.0915823682788255,0.000257129811322213,0.94984158893887,0.938043816205093,0.921983644996461,-0.0278579439424095,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,1.02422720372687,0.072085410628007,8.11185622190017e-46,-0.120082675524308,0.109863271716072,0.274385329238212,0.951039780440202,0.94819191475499,0.944562547160727,-0.00647723327947436,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,0.921358937606944,0.0724566560607516,4.81896388298143e-37,0.0314872158423475,0.109628498345553,0.773945839068884,0.941208599483117,0.941415478723101,0.941954871006459,0.000746271523342612,"B1_no_intercept__D_auto","B1_no_intercept","D_auto",FALSE
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,1.25593645629852,NA,NA,-0.468797778913172,NA,NA,0.977230974119817,0.960708307653734,0.93821619339994,-0.0390147807198777,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,1.07691885716111,NA,NA,-0.182917834796258,NA,NA,0.965434957060932,0.961096900612281,0.955568409019937,-0.00986654804099429,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,0.934594836239633,NA,NA,0.028812501142879,NA,NA,0.95275834769001,0.952947653355152,0.953441226393128,0.000682878703117673,"B1_no_intercept__FM","B1_no_intercept","FM",FALSE
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,1.25399047626033,0.636566143524332,0.0488464416949336,-0.477307149751708,1.01080771719354,0.636781394982703,0.970226078682988,0.953403501461083,0.930503122173328,-0.0397229565096592,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
