"timestamp","script","spec_key","status","reason_code","message"
"2026-03-03 18:34:11","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-03 18:34:17","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-03 18:35:12","23_VECM_S2.R","det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-03 18:35:23","23_VECM_S2.R","det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 10:21:19","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 10:21:24","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 10:22:11","23_VECM_S2.R","det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 10:22:20","23_VECM_S2.R","det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 13:05:56","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 13:05:58","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 13:06:21","23_VECM_S2.R","det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 13:06:25","23_VECM_S2.R","det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 22:31:00","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 22:31:03","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 22:31:29","23_VECM_S2.R","det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 22:31:34","23_VECM_S2.R","det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 23:39:40","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 23:39:47","22_VECM_S1.R","22_VECM_S1.R|det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
"2026-03-04 23:40:58","23_VECM_S2.R","det=SR_const__LR_const|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=const."
"2026-03-04 23:41:12","23_VECM_S2.R","det=SR_const__LR_both|p=1:7","skipped_invalid_det","INVALID_DET_COMBO","Invalid deterministic combo: SR=const, LR=both."
