year,Y_real,X_real,M_real,NX_real,I_ME_real,I_NRC_real,INV_real,I_real,G_real,C_real,P_Y,P_C,P_G,P_K_fbkf,P_X,P_M,P_K,Kn_ME,Kn_NRC,Kn_cc_ME,Kn_cc_NRC,Kn_cc,P_K_rel,Y_nom,period,in_investment_window
1860,554064.1623178844,67069.6677605293,50736.02414400238,16333.643616526912,1600.9074023080718,20325.148199491272,3809.8886030811414,25735.944204880485,28136.60167561205,483857.97282086493,,,,,,,,,,,,,,,pre_fordist,False
1861,560876.7869610664,54902.524069259955,40065.23346703889,14837.290602221066,1961.6610475727068,20729.523639349747,-3067.1337982602417,19624.050888662212,27565.33480644089,498850.11066374223,,,,,,,,,,,,,,,pre_fordist,False
1862,566004.834732463,59505.527691590156,42195.81452809532,17309.71316349484,1254.5352777718824,21446.446062077895,-459.743172248982,22241.238167600797,27823.715203991313,498630.1681973761,,,,,,,,,,,,,,,pre_fordist,False
1863,601499.3258135794,63914.234319368246,48319.52042056702,15594.713898801223,1376.6813209350803,22787.19936399807,2350.9663381240707,26514.84702305722,29160.194953678216,530229.5699380427,,,,,,,,,,,,,,,pre_fordist,False
1864,635783.9115189433,79927.2252024587,46684.830835583685,33242.39436687502,1624.2368355929907,24243.752295617433,-3019.1506820457685,22848.838449164654,35966.16603641219,543726.5126664914,,,,,,,,,,,,,,,pre_fordist,False
1865,653236.1505229563,78304.43068066418,55058.420914334696,23246.009766329487,1659.200390879761,26916.75477745655,3305.418192580852,31881.37336091716,44297.33564774196,553811.4317479676,,,,,,,,,,,,,,,pre_fordist,False
1866,656390.8383756957,84998.34188174039,48634.86941442565,36363.472467314736,2196.950150989535,30840.814131235256,-5926.764484253885,27110.999797970908,53733.64369261934,539182.7224177908,,,,,,,,,,,,,,,pre_fordist,False
1867,685354.1832391646,90383.91655766625,66691.8871350838,23692.029422582447,1917.8515618648235,30990.13558450678,3694.1179998525977,36602.1051462242,54031.35605123188,571028.692619126,,,,,,,,,,,,,,,pre_fordist,False
1868,722845.6306365996,97403.274317479,73246.42433367913,24156.849983799868,2227.0287619925684,30878.154102460863,1529.1783205038912,34634.36118495732,52066.25774672133,611988.161721121,,,,,,,,,,,,,,,pre_fordist,False
1869,774881.4303882783,111275.09247660867,76743.31184627026,34531.78063033841,840.6442080136859,33048.59145876256,-1641.4957105440378,32247.739956232206,49988.724885759584,658113.1849159481,,,,,,,,,,,,,,,pre_fordist,False
1870,776194.086995933,89634.85385846836,81498.22141809962,8136.632440368732,2877.6768252311085,35894.315735353455,2409.764280973781,41181.756841558345,52348.09925719388,674527.598456812,,,,,,,,,,,,,,,pre_fordist,False
1871,812288.8361001181,101219.9406645162,77516.30480503802,23703.635859478178,1864.7657811246077,39474.26524893137,-6112.665821198001,35226.36520885798,51080.65762422752,702278.1774075545,,,,,,,,,,,,,,,pre_fordist,False
1872,854654.787150742,118892.18641681508,103412.4591357964,15479.727281018684,2061.356743457787,42365.69467496916,6499.436892797611,50926.48831122456,46336.259833705386,741912.3117247934,,,,,,,,,,,,,,,pre_fordist,False
1873,932608.5980676189,116604.79694505634,108322.04726580351,8282.749679252825,1950.5776291017987,48618.734827171254,-675.5952256357328,49893.71723063732,58442.170939755546,815989.9602179732,,,,,,,,,,,,,,,pre_fordist,False
1874,929970.63823356,127176.19998722871,106096.0484348197,21080.151552409006,6811.3908999696905,57561.7881220369,-1179.5489393407902,63193.6300826658,70577.22138464078,775119.6352138445,,,,,,,,,,,,,,,pre_fordist,False
1875,966440.3375124333,110361.98167770085,108451.33150450075,1910.6501732001052,6040.538533425205,63841.21257274701,1103.4521421271359,70985.20324829935,70654.93290872467,822889.5511822092,,,,,,,,,,,,,,,pre_fordist,False
1876,973694.059188384,99822.67430841488,103608.90456214319,-3786.2302537283103,2016.282434514317,69042.27146165063,2894.738817220531,73953.29271338547,66125.97141173403,837401.0253169928,,,,,,,,,,,,,,,pre_fordist,False
1877,945075.341591336,89989.49684780052,87107.69054848317,2881.8062993173517,4445.951066027518,76112.99001084476,-3488.5484898460645,77070.3925870262,65775.35446416622,799347.7882408262,,,,,,,,,,,,,,,pre_fordist,False
1878,949744.4264173184,95701.90818633646,80952.92960241075,14748.97858392571,1693.3317719419952,74447.85496001792,1097.0712096784816,77238.25794163841,65185.89654563073,792571.2933461235,,,,,,,,,,,,,,,pre_fordist,False
1879,972516.1367005273,114740.97404435121,76760.84410955558,37980.12993479564,863.6173565105117,83772.01039769019,-2262.3888804462554,82373.23887375444,68891.3645606548,783271.4033313224,,,,,,,,,,,,,,,pre_fordist,False
1880,1056508.9320095417,139060.41356991619,83797.8637804489,55262.54978946729,1940.2876316439897,87730.44134923621,-3921.9478013365474,85748.78117954366,74739.43848111396,840758.1625594167,,,,,,,,,,,,,,,pre_fordist,False
