"model_class","logLik","k_total","ICOMP_pen","RICOMP_pen","ICOMP_flag","RICOMP_flag","ICOMP_stabilized","RICOMP_stabilized","ICOMP_k_sigma","RICOMP_k_sigma","ICOMP","RICOMP","T_eff","exercise","window","window_tag","window_start","window_end","p","q","r","logLik.1","k_total.1","ICOMP_pen.1","RICOMP_pen.1","k","AIC","BIC","HQ","AICc","SI_Y","s_K","notes","fit_term_source","covariance_source"
"ARDL",133.693699802538,4,14.8287172606545,14.8287172606545,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,4,4,-252.558682344421,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,1,1,NA,133.693699802538,4,-30.665144065607,-6.2075241546009,4,-257.387399605075,-246.592984188277,-254.529464433414,-256.720732938409,NA,0.5,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",136.653945835356,5,16.738728221628,16.738728221628,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,5,5,-256.569163449084,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,1,2,NA,136.653945835356,5,-34.7752476238659,-5.11053363563442,5,-261.307891670712,-248.449083312363,-258.449956499051,-260.29094251817,NA,0.666666666666667,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",139.709208034401,6,18.054773544088,18.054773544088,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,6,6,-261.363642524714,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,1,3,NA,139.709208034401,6,-39.2084544904703,-4.83260359576427,6,-265.418416068802,-250.528475373487,-262.560480897141,-263.970140206733,NA,0.75,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",137.103724078971,7,19.4923099297384,19.4923099297384,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,7,7,-254.715138228204,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,1,4,NA,137.103724078971,7,-42.2682046342741,-4.229463336943,7,-258.207448157942,-241.320457244556,-255.349512986281,-256.24253587724,NA,0.8,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",131.703109373785,5,15.3094051491792,15.3094051491792,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,5,5,-248.096813598391,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,2,1,NA,131.703109373785,5,-34.6053743600552,-5.952033063611,5,-251.40621874757,-238.547410389221,-248.548283575909,-250.389269595028,NA,0.333333333333333,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",136.990025089183,6,17.4352824191512,17.4352824191512,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,6,6,-256.544767759215,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,2,2,NA,136.990025089183,6,-38.8726725620957,-4.95613318879032,6,-259.980050178366,-244.978107093625,-257.122115006705,-258.531774316297,NA,0.5,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",139.709911840396,7,19.4298304610218,19.4298304610218,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,7,7,-259.989993219771,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,2,3,NA,139.709911840396,7,-43.1729159625754,-4.41974662091246,7,-263.419823680792,-246.402748600432,-260.561888509131,-261.454911400091,NA,0.6,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",137.103737003333,8,20.7144418064677,20.7144418064677,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,8,8,-253.493032200198,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,2,4,NA,137.103737003333,8,-46.0191368594015,-3.93743592448698,8,-256.207474006665,-237.209609229106,-253.349538835004,-253.636045435237,NA,0.666666666666667,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",133.157466034102,6,15.9589473721741,15.9589473721741,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,6,6,-250.35598469603,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,3,1,NA,133.157466034102,6,-39.1034392095967,-5.78579394432165,6,-252.314932068204,-237.424991372889,-249.456996896543,-250.866656206135,NA,0.25,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",138.744624130488,7,17.9003393859877,17.9003393859877,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,7,7,-259.588908874988,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,3,2,NA,138.744624130488,7,-43.6892838353421,-5.05670601726529,7,-261.489248260976,-244.472173180615,-258.631313089314,-259.524335980274,NA,0.4,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",140.59490356305,8,20.326305973078,20.326305973078,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,8,8,-260.863501153022,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,3,3,NA,140.59490356305,8,-47.4642536228387,-4.29990684118099,8,-263.1898071261,-244.045597660694,-260.331871954438,-260.618378554671,NA,0.5,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",138.452448222962,9,21.9415031345375,21.9415031345375,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,9,9,-254.963393311386,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,3,4,NA,138.452448222962,9,-50.2701435822576,-3.766676416011,9,-256.904896445924,-235.79615780419,-254.046961274262,-253.632169173196,NA,0.571428571428571,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",131.499815265834,7,16.9134303137272,16.9134303137272,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,7,7,-246.08620021794,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,4,1,NA,131.499815265834,7,-42.8983462649014,-5.32452040684476,7,-246.999630531667,-230.112639618281,-244.141695360006,-245.034718250965,NA,0.2,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",136.339833083632,8,19.2343121384395,19.2343121384395,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,8,8,-253.445354028825,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,4,2,NA,136.339833083632,8,-47.2776685982245,-4.54748166411305,8,-254.679666167265,-235.681801389705,-251.821730995603,-252.108237595836,NA,0.333333333333333,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",137.962379978683,9,21.4825911754657,21.4825911754657,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,9,9,-254.442168781901,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,4,3,NA,137.962379978683,9,-50.9668145431692,-3.95601048365824,9,-255.924759957367,-234.816021315634,-253.066824785706,-252.65203268464,NA,0.428571428571429,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
"ARDL",138.628159220739,10,23.1226045222138,23.1226045222138,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,10,10,-254.133713919264,NA,65,"ARDL","shaikh_window","shaikh_window",1947,2011,4,4,NA,138.628159220739,10,-54.251295329354,-3.58278250617436,10,-255.256318441478,-232.036705935571,-252.398383269817,-251.182244367404,NA,0.5,"","ARDL::logLik_gaussian_OLS","vcov(ARDL_fit)_OLS"
