"cell_id","det_tag","unit_root_count","unstable_count","max_mod_all","max_mod_nonunit","stability_margin"
"p01_K_only_none_none","SR_none__LR_none",1,0,1.00000000000001,0.980289432985197,0.0197105670148034
"p01_K_short_none_none","SR_none__LR_none",1,0,0.999999999999993,0.979795350652428,0.0202046493475724
"p01_Y_only_none_none","SR_none__LR_none",1,0,1,0.982178030010095,0.0178219699899052
"p01_Y_short_none_none","SR_none__LR_none",1,0,0.999999999999993,0.979795350652428,0.0202046493475724
"p01_sym_none_none","SR_none__LR_none",1,0,0.999999999999993,0.979795350652428,0.0202046493475724
"p02_K_only_none_none","SR_none__LR_none",1,0,1.00000000000001,0.979905016285406,0.0200949837145935
"p02_K_short_none_none","SR_none__LR_none",1,0,1,0.983287868011084,0.0167121319889163
"p02_Y_only_none_none","SR_none__LR_none",1,0,0.999999999999994,0.984780586368056,0.0152194136319439
"p02_Y_short_none_none","SR_none__LR_none",1,0,0.999999999999996,0.980036740815317,0.0199632591846834
"p02_sym_none_none","SR_none__LR_none",1,0,0.999999999999981,0.982234990073137,0.0177650099268627
"p03_K_only_none_none","SR_none__LR_none",1,0,0.999999999999993,0.986004316519239,0.0139956834807614
"p03_K_short_none_none","SR_none__LR_none",1,0,1,0.98670010015506,0.0132998998449402
"p03_Y_only_none_none","SR_none__LR_none",1,0,1,0.986739432865538,0.0132605671344618
"p03_Y_short_none_none","SR_none__LR_none",1,0,1.00000000000001,0.986891316553387,0.0131086834466128
"p03_sym_none_none","SR_none__LR_none",1,0,0.999999999999989,0.987130025265324,0.012869974734676
"p04_K_only_none_none","SR_none__LR_none",1,0,0.999999999999979,0.980022931159387,0.019977068840613
"p04_K_short_none_none","SR_none__LR_none",1,0,1,0.981970403325242,0.0180295966747579
"p04_Y_only_none_none","SR_none__LR_none",1,0,1.00000000000001,0.985880122732778,0.0141198772672224
"p04_Y_short_none_none","SR_none__LR_none",1,0,1.00000000000002,0.981897911910645,0.0181020880893545
"p04_sym_none_none","SR_none__LR_none",1,0,0.999999999999996,0.980576830751161,0.019423169248839
"p05_K_only_none_none","SR_none__LR_none",1,0,0.999999999999995,0.97797043716275,0.0220295628372502
"p05_K_short_none_none","SR_none__LR_none",1,0,1.00000000000001,0.980706679801816,0.0192933201981836
"p05_Y_only_none_none","SR_none__LR_none",1,0,1.00000000000001,0.984224809230533,0.0157751907694665
"p05_Y_short_none_none","SR_none__LR_none",1,0,0.999999999999988,0.977930299677181,0.022069700322819
"p05_sym_none_none","SR_none__LR_none",1,0,0.999999999999992,0.977197789208884,0.0228022107911161
"p06_K_only_none_none","SR_none__LR_none",1,0,1,0.97701074330309,0.0229892566969095
"p06_K_short_none_none","SR_none__LR_none",1,0,0.999999999999999,0.981859481143684,0.0181405188563155
"p06_Y_only_none_none","SR_none__LR_none",1,0,0.999999999999996,0.984892936489099,0.015107063510901
"p06_Y_short_none_none","SR_none__LR_none",1,0,0.999999999999988,0.977584644076621,0.0224153559233791
"p06_sym_none_none","SR_none__LR_none",1,0,0.999999999999998,0.975956618545373,0.0240433814546269
"p07_K_only_none_none","SR_none__LR_none",1,0,1,0.978319916331168,0.0216800836688317
"p07_K_short_none_none","SR_none__LR_none",1,0,0.999999999999998,0.978586285140057,0.0214137148599435
"p07_Y_only_none_none","SR_none__LR_none",1,0,0.999999999999999,0.981409764768677,0.018590235231323
"p07_Y_short_none_none","SR_none__LR_none",1,0,0.999999999999982,0.976326089257612,0.0236739107423879
"p07_sym_none_none","SR_none__LR_none",1,0,1,0.978720668063008,0.0212793319369922
