p,q,AIC,BIC,HQ,AICc,logLik,k,T_eff,.pq
1,3,-265.4184160688022,-250.52847537348654,-259.5722496917691,-263.3443419947281,139.7092080344011,7,62,"(1,3)"
2,3,-263.41982368079243,-246.4027486004317,-256.73849067846896,-260.70284254871694,139.70991184039622,8,62,"(2,3)"
3,3,-263.18980712609965,-244.04559766069383,-255.6733074984857,-259.7282686645612,140.59490356304983,9,62,"(3,3)"
3,2,-261.4892482609756,-244.47217318061487,-254.80791525865212,-258.7722671289001,138.7446241304878,8,62,"(3,2)"
1,2,-261.3078916707121,-248.4490833123629,-256.25045949140815,-259.8078916707121,136.65394583535604,6,63,"(1,2)"
2,2,-259.98005017836584,-244.9781070936251,-254.0797126358446,-257.9436865420022,136.99002508918292,7,63,"(2,2)"
1,5,-259.086447159015,-240.2373460990161,-251.71352752329386,-255.486447159015,138.5432235795075,9,60,"(1,5)"
1,4,-258.2074481579421,-241.32045724455563,-251.589278159091,-255.43821738871134,137.10372407897106,8,61,"(1,4)"
1,1,-257.3873996050754,-246.59298418827706,-253.1349341186115,-256.3529168464547,133.6936998025377,5,64,"(1,1)"
2,5,-257.1899945657827,-236.24654894356166,-248.99786163720364,-252.70019864741533,138.59499728289134,10,60,"(2,5)"
3,5,-256.9927378728912,-233.9549476884481,-247.98139165145426,-251.4927378728912,139.4963689364456,11,60,"(3,5)"
3,4,-256.9048964459236,-235.7961578041905,-248.63218394735975,-252.5048964459236,138.4524482229618,10,61,"(3,4)"
2,4,-256.20747400666534,-237.20960922910552,-248.76203275795785,-252.67806224195945,137.10373700333267,9,61,"(2,4)"
4,3,-255.92475995736692,-234.8160213156338,-247.65204745880305,-251.5247599573669,137.96237997868346,10,61,"(4,3)"
4,4,-255.2563184414778,-232.03670593557138,-246.15633469305754,-249.86856333943697,138.6281592207389,11,61,"(4,4)"
4,2,-254.67966616726466,-235.68180138970484,-247.23422491855717,-251.15025440255877,136.33983308363233,9,61,"(4,2)"
