spec,basis,det_tag,window,p_max_feasible
Q1,raw,SR_const__LR_none,full,7
Q1,raw,SR_const__LR_none,fordism,7
Q1,raw,SR_const__LR_none,post_fordism,7
Q1,raw,SR_none__LR_const,full,7
Q1,raw,SR_none__LR_const,fordism,7
Q1,raw,SR_none__LR_const,post_fordism,7
Q1,raw,SR_none__LR_none,full,7
Q1,raw,SR_none__LR_none,fordism,7
Q1,raw,SR_none__LR_none,post_fordism,7
Q2,ortho,SR_const__LR_none,full,7
Q2,ortho,SR_const__LR_none,fordism,7
Q2,ortho,SR_const__LR_none,post_fordism,7
Q2,ortho,SR_none__LR_const,full,7
Q2,ortho,SR_none__LR_const,fordism,7
Q2,ortho,SR_none__LR_const,post_fordism,7
Q2,ortho,SR_none__LR_none,full,7
Q2,ortho,SR_none__LR_none,fordism,7
Q2,ortho,SR_none__LR_none,post_fordism,7
Q2,raw,SR_const__LR_none,full,7
Q2,raw,SR_const__LR_none,fordism,7
Q2,raw,SR_const__LR_none,post_fordism,7
Q2,raw,SR_none__LR_const,full,7
Q2,raw,SR_none__LR_const,fordism,7
Q2,raw,SR_none__LR_const,post_fordism,7
Q2,raw,SR_none__LR_none,full,7
Q2,raw,SR_none__LR_none,fordism,7
Q2,raw,SR_none__LR_none,post_fordism,7
Q3,ortho,SR_const__LR_none,full,7
Q3,ortho,SR_const__LR_none,fordism,7
Q3,ortho,SR_const__LR_none,post_fordism,7
Q3,ortho,SR_none__LR_const,full,7
Q3,ortho,SR_none__LR_const,fordism,7
Q3,ortho,SR_none__LR_const,post_fordism,7
Q3,ortho,SR_none__LR_none,full,7
Q3,ortho,SR_none__LR_none,fordism,7
Q3,ortho,SR_none__LR_none,post_fordism,7
Q3,raw,SR_const__LR_none,full,7
Q3,raw,SR_const__LR_none,fordism,7
Q3,raw,SR_const__LR_none,post_fordism,7
Q3,raw,SR_none__LR_const,full,7
Q3,raw,SR_none__LR_const,fordism,7
Q3,raw,SR_none__LR_const,post_fordism,7
Q3,raw,SR_none__LR_none,full,7
Q3,raw,SR_none__LR_none,fordism,7
Q3,raw,SR_none__LR_none,post_fordism,7
