window,spec,basis,det_tag,ic_primary,p_IC,r_IC,IC_min,deltaIC_2nd,IC_min_slice,A2_IC_slice,IC_min_spec,deltaIC_winner_to_spec,p_BIC,r_BIC,BIC_min,deltaBIC_2nd,BIC_min_slice,BIC_min_spec,deltaBIC_winner_to_spec,A2_BIC_slice,common_p_max,computed_share,total,A2_IC_spec,A2_BIC_spec
full,Q1,raw,SR_const__LR_none,PIC_star,1,1,-22.84242433774104,0.07327037282043136,-22.84242433774104,18,-22.89106200191242,0.04863766417138038,1,1,-1114.6188589940566,7.1072261635817995,-1114.6188589940566,-1114.6188589940566,0,1,7,1,28,50,1
full,Q1,raw,SR_none__LR_const,PIC_star,1,2,-22.89106200191242,0.026338087025397527,-22.89106200191242,18,-22.89106200191242,0,1,1,-1112.2072069987105,2.019916537044537,-1112.2072069987105,-1114.6188589940566,2.4116519953461193,1,7,0.9642857142857143,28,50,1
full,Q1,raw,SR_none__LR_none,PIC_star,1,1,-22.70854138750444,0.1584677378093886,-22.70854138750444,17,-22.89106200191242,0.18252061440798073,1,1,-1101.6322128211038,15.371370567511349,-1101.6322128211038,-1114.6188589940566,12.98664617295276,1,7,0.9642857142857143,28,50,1
full,Q2,ortho,SR_const__LR_none,PIC_star,1,2,-30.849920272653375,0.0027333202654666877,-30.849920272653375,14,-30.992749885411385,0.14282961275801043,1,2,-1616.071889238832,0.2651320657364522,-1616.071889238832,-1622.8961902021888,6.824300963356791,2,7,1,35,76,1
full,Q2,ortho,SR_none__LR_const,PIC_star,1,3,-30.946091001383955,0.022464488960672213,-30.946091001383955,13,-30.992749885411385,0.04665888402742979,1,1,-1618.370278451555,4.298305912103842,-1618.370278451555,-1622.8961902021888,4.525911750633895,1,7,0.9714285714285714,35,76,1
full,Q2,ortho,SR_none__LR_none,PIC_star,1,1,-30.840048178975564,0.07053709976019462,-30.840048178975564,14,-30.992749885411385,0.15270170643582048,1,1,-1615.1142961520245,6.842098676741898,-1615.1142961520245,-1622.8961902021888,7.781894050164283,1,7,0.9714285714285714,35,76,1
full,Q2,raw,SR_const__LR_none,PIC_star,1,2,-30.89657915668074,0.002733320265498662,-30.89657915668074,14,-30.992749885411385,0.09617072873064458,1,2,-1620.59780098958,0.265132065833086,-1620.59780098958,-1622.8961902021888,2.298389212608754,2,7,1,35,76,1
full,Q2,raw,SR_none__LR_const,PIC_star,1,3,-30.992749885411385,0.022464488960842743,-30.992749885411385,13,-30.992749885411385,0,1,1,-1622.8961902021888,4.29830591191444,-1622.8961902021888,-1622.8961902021888,0,1,7,0.9714285714285714,35,76,1
full,Q2,raw,SR_none__LR_none,PIC_star,1,1,-30.886707063002824,0.07053709976009159,-30.886707063002824,14,-30.992749885411385,0.10604282240856122,1,1,-1619.6402079028649,6.842098676766909,-1619.6402079028649,-1622.8961902021888,3.2559822993239322,1,7,0.9714285714285714,35,76,1
full,Q3,ortho,SR_const__LR_none,PIC_star,1,1,-35.72643867190059,0.03395005198768786,-35.72643867190059,11,-44.062495914572295,8.336057242671707,1,1,-1813.8200985243343,3.2931550428102128,-1813.8200985243343,-2622.074040383416,808.2539418590818,1,7,1,42,33,1
full,Q3,ortho,SR_none__LR_const,PIC_star,1,1,-35.85289168803079,0.03336975702504219,-35.85289168803079,11,-44.062495914572295,8.209604226541508,1,1,-1821.5113301124336,7.811577409823485,-1821.5113301124336,-2622.074040383416,800.5627102709825,1,7,0.9761904761904762,42,33,1
