window,spec,basis,det_tag,ic_primary,p_winner,r_winner,IC_winner,IC_r0_min,deltaIC_r0_vs_winner,dominance,p_winner_BIC,r_winner_BIC,BIC_winner,BIC_r0_min,deltaBIC_r0_vs_winner
full,Q1,raw,SR_const__LR_none,PIC_star,1,1,-22.84242433774104,-21.99824193243865,0.8441824053023907,weak,1,1,-1114.6188589940566,-1032.733165679723,81.8856933143336
full,Q1,raw,SR_none__LR_const,PIC_star,1,2,-22.89106200191242,-22.019695633076175,0.8713663688362452,weak,1,1,-1112.2072069987105,-1034.8141746415629,77.3930323571476
full,Q1,raw,SR_none__LR_none,PIC_star,1,1,-22.70854138750444,-22.019695633076175,0.6888457544282645,weak,1,1,-1101.6322128211038,-1034.8141746415629,66.81803817954096
full,Q2,ortho,SR_const__LR_none,PIC_star,1,2,-30.849920272653375,-29.66075708110691,1.1891631915464629,weak,1,2,-1616.071889238832,-1500.723059658837,115.34882957999503
full,Q2,ortho,SR_none__LR_const,PIC_star,1,3,-30.946091001383955,-29.733807509445555,1.2122834919384005,weak,1,1,-1618.370278451555,-1507.8089512076865,110.56132724386839
full,Q2,ortho,SR_none__LR_none,PIC_star,1,1,-30.840048178975564,-29.733807509445555,1.1062406695300098,weak,1,1,-1615.1142961520245,-1507.8089512076865,107.305344944338
full,Q2,raw,SR_const__LR_none,PIC_star,1,2,-30.89657915668074,-29.70741596513423,1.189163191546509,weak,1,2,-1620.59780098958,-1505.2489714094877,115.34882958009234
full,Q2,raw,SR_none__LR_const,PIC_star,1,3,-30.992749885411385,-29.78046639347292,1.2122834919384644,weak,1,1,-1622.8961902021888,-1512.3348629583415,110.56132724384724
full,Q2,raw,SR_none__LR_none,PIC_star,1,1,-30.886707063002824,-29.78046639347292,1.1062406695299032,weak,1,1,-1619.6402079028649,-1512.3348629583415,107.30534494452331
full,Q3,ortho,SR_const__LR_none,PIC_star,1,1,-35.72643867190059,-33.88442553358899,1.8420131383116,weak,1,1,-1813.8200985243343,-1635.1448241078915,178.6752744164428
full,Q3,ortho,SR_none__LR_const,PIC_star,1,1,-35.85289168803079,-34.00278989058087,1.8501017974499163,weak,1,1,-1821.5113301124336,-1646.6261667361105,174.88516337632313
full,Q3,ortho,SR_none__LR_none,PIC_star,1,1,-35.84934931012214,-34.00278989058087,1.846559419541272,weak,1,1,-1825.742430431019,-1646.6261667361105,179.11626369490864
full,Q3,raw,SR_const__LR_none,PIC_star,1,1,-43.93604289844369,-42.09402976012659,1.8420131383170997,weak,1,1,-2610.15170848104,-2431.476434082341,178.675274398699
full,Q3,raw,SR_none__LR_const,PIC_star,1,1,-44.062495914572295,-42.21239411712816,1.8501017974441325,weak,1,1,-2617.8429399751526,-2442.957776711382,174.88516326377066
full,Q3,raw,SR_none__LR_none,PIC_star,1,1,-44.05895353665391,-42.21239411712816,1.8465594195257466,weak,1,1,-2622.074040383416,-2442.957776711382,179.11626367203417
fordism,Q1,raw,SR_const__LR_none,PIC_star,7,2,-25.002874006768053,-23.0064004985857,1.9964735081823548,weak,1,1,-619.1744107524795,-547.7799349485708,71.39447580390868
fordism,Q1,raw,SR_none__LR_const,PIC_star,7,3,-25.192574664324887,-23.182309193464672,2.0102654708602152,strong,1,1,-624.510760088482,-556.0476436078828,68.46311648059918
fordism,Q1,raw,SR_none__LR_none,PIC_star,1,1,-24.398722533803276,-23.182309193464672,1.2164133403386046,weak,1,1,-613.2190706037975,-556.0476436078828,57.17142699591466
fordism,Q2,ortho,SR_const__LR_none,PIC_star,7,1,-70.2102978513582,-31.29465432495581,38.91564352640239,very strong,1,2,-921.6180905385978,-812.8204844824912,108.79760605610659
fordism,Q2,ortho,SR_none__LR_const,PIC_star,7,1,-68.09440375905629,-31.536248961734653,36.558154797321635,very strong,1,2,-926.4685170544489,-815.3025905953325,111.16592645911635
fordism,Q2,ortho,SR_none__LR_none,PIC_star,7,4,-172.48722197171233,-31.536248961734653,140.95097300997767,decisive,7,4,-4982.034064431844,-815.3025905953325,4166.731473836511
fordism,Q2,raw,SR_const__LR_none,PIC_star,7,4,-174.8638924062655,-31.341313208983134,143.52257919728237,decisive,1,2,-923.8110580879408,-815.0601109158027,108.75094717213801
fordism,Q2,raw,SR_none__LR_const,PIC_star,7,4,-191.47865529252107,-31.582907845762023,159.89574744675906,decisive,1,2,-928.6614846038002,-817.49555814462,111.16592645918024
fordism,Q2,raw,SR_none__LR_none,PIC_star,7,2,-101.42613427278717,-31.582907845762023,69.84322642702514,very strong,1,1,-923.5683364268252,-817.49555814462,106.07277828220526
fordism,Q3,ortho,SR_const__LR_none,PIC_star,7,0,-69.92243426165194,-69.92243426165194,0,weak,5,5,-1277.391696179801,-924.7939519313276,352.59774424847353
fordism,Q3,ortho,SR_none__LR_const,PIC_star,5,5,-46.905271932139925,-42.36244402859927,4.542827903540655,strong,5,5,-1265.9483728209789,-1064.0776284660203,201.87074435495856
fordism,Q3,ortho,SR_none__LR_none,PIC_star,6,5,-208.38003962824473,-42.36244402859927,166.01759559964546,decisive,5,5,-1180.0417672330966,-1064.0776284660203,115.96413876707629
fordism,Q3,raw,SR_const__LR_none,PIC_star,7,0,-74.75295237169729,-74.75295237169729,0,weak,5,5,-1630.4046683934916,-1318.854954805387,311.5497135881046
fordism,Q3,raw,SR_none__LR_const,PIC_star,5,5,-55.114876158493985,-50.572048255037686,4.542827903456299,strong,5,5,-1618.9601064890417,-1408.8810059741484,210.0791005148933
fordism,Q3,raw,SR_none__LR_none,PIC_star,6,5,-214.88062070276015,-50.572048255037686,164.30857244772247,decisive,5,5,-1533.054797470511,-1408.8810059741484,124.17379149636258
post_fordism,Q1,raw,SR_const__LR_none,PIC_star,1,1,-27.656972301288288,-26.306064361541985,1.3509079397463033,weak,1,1,-782.6622737112558,-719.6568157626461,63.00545794860966
post_fordism,Q1,raw,SR_none__LR_const,PIC_star,1,3,-27.846488251855774,-26.303512372493564,1.54297587936221,weak,1,2,-783.9947954745724,-717.6961971290976,66.29859834547472
post_fordism,Q1,raw,SR_none__LR_none,PIC_star,1,1,-27.640508776490332,-26.303512372493564,1.3369964039967677,weak,1,1,-781.8720245209449,-717.6961971290976,64.17582739184729
post_fordism,Q2,ortho,SR_const__LR_none,PIC_star,7,4,-178.82135218631993,-34.1905413688018,144.63081081751812,decisive,6,4,-1059.1777757356224,-980.0566458009996,79.12112993462279
post_fordism,Q2,ortho,SR_none__LR_const,PIC_star,7,4,-174.06323448421696,-34.141018117686485,139.92221636653048,decisive,6,4,-1055.1764822715616,-957.6783737107093,97.4981085608523
post_fordism,Q2,ortho,SR_none__LR_none,PIC_star,7,4,-135.46232206438967,-34.141018117686485,101.32130394670318,decisive,1,1,-1051.0108583876938,-957.6783737107093,93.33248467698456
post_fordism,Q2,raw,SR_const__LR_none,PIC_star,7,1,-74.39757323538863,-34.237200252829155,40.16037298255948,very strong,6,4,-1061.1841077549884,-982.3429311183388,78.8411766366496
post_fordism,Q2,raw,SR_none__LR_const,PIC_star,7,1,-68.5986555085696,-34.187677001713936,34.41097850685567,very strong,6,4,-1057.1828266591094,-959.918000144026,97.26482651508343
post_fordism,Q2,raw,SR_none__LR_none,PIC_star,7,4,-136.59405429610425,-34.187677001713936,102.40637729439031,decisive,1,1,-1053.2504848210513,-959.918000144026,93.33248467702526
post_fordism,Q3,ortho,SR_const__LR_none,PIC_star,6,5,-213.47861349113495,-45.35608482501082,168.12252866612414,decisive,5,5,-1381.0936552046885,-1218.139364341915,162.9542908627734
post_fordism,Q3,ortho,SR_none__LR_const,PIC_star,6,5,-227.64216063144053,-42.18496033186045,185.45720029958008,decisive,5,5,-1376.7149588689997,-1081.7810111364013,294.9339477325984
post_fordism,Q3,ortho,SR_none__LR_none,PIC_star,6,5,-220.68038607729537,-42.18496033186045,178.49542574543491,decisive,5,5,-1232.3924203434117,-1081.7810111364013,150.6114092070104
post_fordism,Q3,raw,SR_const__LR_none,PIC_star,6,4,-178.36205840999952,-53.56568905166355,124.79636935833597,decisive,5,5,-1742.315860166747,-1571.1523460886242,171.16351407812272
post_fordism,Q3,raw,SR_none__LR_const,PIC_star,6,5,-238.93389335046172,-50.394564558347454,188.53932879211425,decisive,5,5,-1737.9371235993672,-1434.7939928753135,303.14313072405366
post_fordism,Q3,raw,SR_none__LR_none,PIC_star,6,5,-224.4406511127703,-50.394564558347454,174.04608655442286,decisive,5,5,-1593.6150608704825,-1434.7939928753135,158.82106799516896
