window,spec,basis,det_tag,DSR,DLR,include,LRinclude,p,r,m,status,PIC_star,logdet_Sigma,logLik_ML,Cn,T_eff,df_LR,df_SR,d_det,k_total,PIC_obs,BIC_obs,comparable_p,computed_comparable,r0_path,fail_code,fail_msg,runtime_sec,src_file,common_p_max,n_ties,PIC_star_min
full,Q3,ortho,SR_none__LR_const,none,const,none,const,1,1,6,computed,-35.85289168803079,-36.37167334538684,938.203930927237,4.574710978503383,97,11,0,0,12,-1792.935296099026,-1821.5113301124336,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_const_unrestricted.csv,7,1,-35.85289168803079
full,Q3,ortho,SR_none__LR_none,none,none,none,none,1,1,6,computed,-35.84934931012214,-36.368130967478194,938.0321255972784,4.574710978503383,97,11,0,0,11,-1799.547732585396,-1825.742430431019,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_none_unrestricted.csv,7,1,-35.84934931012214
full,Q3,raw,SR_const__LR_none,const,none,const,none,1,1,6,computed,-43.93604289844369,-44.73779636890304,1343.9608975577987,4.574710978503383,97,11,6,1,17,-2569.668993628713,-2610.15170848104,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_const__LR_none_unrestricted.csv,7,1,-43.93604289844369
full,Q3,raw,SR_none__LR_const,none,const,none,const,1,1,6,computed,-44.062495914572295,-44.58127757192835,1336.3697358585966,4.574710978503383,97,11,0,0,12,-2589.2669059617456,-2617.8429399751526,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_const_unrestricted.csv,7,1,-44.062495914572295
full,Q3,raw,SR_none__LR_none,none,none,none,none,1,1,6,computed,-44.05895353665391,-44.57773519400996,1336.1979305734767,4.574710978503383,97,11,0,0,11,-2595.879342537793,-2622.074040383416,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_none_unrestricted.csv,7,1,-44.05895353665391
fordism,Q1,raw,SR_const__LR_none,const,none,const,none,7,2,4,computed,-25.002874006768053,-35.147265993862746,487.8130334284874,3.713572066704308,41,12,100,1,112,-429.94133102510295,-559.7059953860924,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_const__LR_none_unrestricted.csv,7,1,-25.002874006768053
fordism,Q1,raw,SR_none__LR_const,none,const,none,const,7,3,4,computed,-25.192574664324887,-35.24639172296338,489.8451108721647,3.713572066704308,41,15,96,0,114,-424.2611156297455,-556.3430061400384,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_const_unrestricted.csv,7,1,-25.192574664324887
fordism,Q1,raw,SR_none__LR_none,none,none,none,none,1,1,4,computed,-24.398722533803276,-24.972148772355837,320.08505190788395,3.8501476017100584,47,7,0,0,7,-603.8371063920015,-613.2190706037975,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_none_unrestricted.csv,7,1,-24.398722533803276
fordism,Q2,ortho,SR_const__LR_none,const,none,const,none,7,1,5,computed,-70.2102978513582,-85.06458611817544,NA,3.713572066704308,41,9,155,1,164,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_const__LR_none_unrestricted.csv,7,1,-70.2102978513582
fordism,Q2,ortho,SR_none__LR_const,none,const,none,const,7,1,5,computed,-68.09440375905629,-82.49581738359251,NA,3.713572066704308,41,9,150,0,160,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_const_unrestricted.csv,7,1,-68.09440375905629
fordism,Q2,ortho,SR_none__LR_none,none,none,none,none,7,4,5,computed,-172.48722197171233,-188.2472595230916,2814.097802019197,3.713572066704308,41,24,150,0,174,-4780.43538944245,-4982.034064431844,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_none_unrestricted.csv,7,1,-172.48722197171233
fordism,Q2,raw,SR_const__LR_none,const,none,const,none,7,4,5,computed,-174.8638924062655,-191.07680459992577,NA,3.713572066704308,41,24,155,1,179,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_const__LR_none_unrestricted.csv,7,1,-174.8638924062655
fordism,Q2,raw,SR_none__LR_const,none,const,none,const,7,4,5,computed,-191.47865529252107,-207.2386928439003,NA,3.713572066704308,41,24,150,0,178,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_const_unrestricted.csv,7,1,-191.47865529252107
fordism,Q2,raw,SR_none__LR_none,none,none,none,none,7,2,5,computed,-101.42613427278717,-116.4615723965168,NA,3.713572066704308,41,16,150,0,166,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_none_unrestricted.csv,7,1,-101.42613427278717
fordism,Q3,ortho,SR_const__LR_none,const,none,const,none,7,0,6,computed,-69.92243426165194,-89.67868795829261,NA,3.737669618283368,42,0,222,1,222,NA,NA,TRUE,TRUE,SP_Sigma0,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_const__LR_none_unrestricted.csv,7,1,-69.92243426165194
fordism,Q3,ortho,SR_none__LR_const,none,const,none,const,5,5,6,computed,-46.905271932139925,-62.56236078584104,979.0045970542972,3.7612001156935624,43,35,144,0,184,-1041.2098661955115,-1265.9483728209789,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_const_unrestricted.csv,7,1,-46.905271932139925
fordism,Q3,ortho,SR_none__LR_none,none,none,none,none,6,5,6,computed,-208.38003962824473,-227.5133483885048,NA,3.737669618283368,42,35,180,0,215,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_none_unrestricted.csv,7,1,-208.38003962824473
fordism,Q3,raw,SR_const__LR_none,const,none,const,none,7,0,6,computed,-74.75295237169729,-94.50920606833796,NA,3.737669618283368,42,0,222,1,222,NA,NA,TRUE,TRUE,SP_Sigma0,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_const__LR_none_unrestricted.csv,7,1,-74.75295237169729
fordism,Q3,raw,SR_none__LR_const,none,const,none,const,5,5,6,computed,-55.114876158493985,-70.7719650121951,1155.5104638883286,3.7612001156935624,43,35,144,0,184,-1394.2215998635745,-1618.9601064890417,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_const_unrestricted.csv,7,1,-55.114876158493985
fordism,Q3,raw,SR_none__LR_none,none,none,none,none,6,5,6,computed,-214.88062070276015,-234.01392946302028,NA,3.737669618283368,42,35,180,0,215,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_none_unrestricted.csv,7,1,-214.88062070276015
post_fordism,Q1,raw,SR_const__LR_none,const,none,const,none,1,1,4,computed,-27.656972301288288,-28.54412253295468,412.6227424156213,3.871201010907891,48,7,4,1,11,-767.6063492890768,-782.6622737112558,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_const__LR_none_unrestricted.csv,7,1,-27.656972301288288
post_fordism,Q1,raw,SR_none__LR_const,none,const,none,const,1,3,4,computed,-27.846488251855774,-29.056238567764495,424.913527250986,3.871201010907891,48,15,0,0,18,-755.5084690693369,-780.14543630563,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_const_unrestricted.csv,7,1,-27.846488251855774
post_fordism,Q1,raw,SR_none__LR_none,none,none,none,none,1,1,4,computed,-27.640508776490332,-28.2050589239144,404.4852157986501,3.871201010907891,48,7,0,0,7,-772.290981706831,-781.8720245209449,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_none_unrestricted.csv,7,1,-27.640508776490332
post_fordism,Q2,ortho,SR_const__LR_none,const,none,const,none,7,4,5,computed,-178.82135218631993,-194.75094413090855,NA,3.737669618283368,42,24,155,1,179,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_const__LR_none_unrestricted.csv,7,1,-178.82135218631993
post_fordism,Q2,ortho,SR_none__LR_const,none,const,none,const,7,4,5,computed,-174.06323448421696,-189.54786575996235,NA,3.737669618283368,42,24,150,0,178,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_const_unrestricted.csv,7,1,-174.06323448421696
post_fordism,Q2,ortho,SR_none__LR_none,none,none,none,none,7,4,5,computed,-135.46232206438967,-150.94695334013505,NA,3.737669618283368,42,24,150,0,174,NA,NA,TRUE,TRUE,NA,NA,NA,0.01999999999679858,APPX_grid_pic_table_Q2_ortho_SR_none__LR_none_unrestricted.csv,7,1,-135.46232206438967
post_fordism,Q2,raw,SR_const__LR_none,const,none,const,none,7,1,5,computed,-74.39757323538863,-88.9922831734475,NA,3.737669618283368,42,9,155,1,164,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_const__LR_none_unrestricted.csv,7,1,-74.39757323538863
post_fordism,Q2,raw,SR_none__LR_const,none,const,none,const,7,1,5,computed,-68.5986555085696,-82.74840477778521,NA,3.737669618283368,42,9,150,0,160,NA,NA,TRUE,TRUE,NA,NA,NA,0.01000000000203726,APPX_grid_pic_table_Q2_raw_SR_none__LR_const_unrestricted.csv,7,1,-68.5986555085696
post_fordism,Q2,raw,SR_none__LR_none,none,none,none,none,7,4,5,computed,-136.59405429610425,-152.07868557184963,NA,3.737669618283368,42,24,150,0,174,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_none_unrestricted.csv,7,1,-136.59405429610425
post_fordism,Q3,ortho,SR_const__LR_none,const,none,const,none,6,5,6,computed,-213.47861349113495,-232.8094326903972,NA,3.7612001156935624,43,35,186,1,221,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_const__LR_none_unrestricted.csv,7,1,-213.47861349113495
post_fordism,Q3,ortho,SR_none__LR_const,none,const,none,const,6,5,6,computed,-227.64216063144053,-246.4481612099083,NA,3.7612001156935624,43,35,180,0,220,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_const_unrestricted.csv,7,1,-227.64216063144053
post_fordism,Q3,ortho,SR_none__LR_none,none,none,none,none,6,5,6,computed,-220.68038607729537,-239.4863866557631,NA,3.7612001156935624,43,35,180,0,215,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_none_unrestricted.csv,7,1,-220.68038607729537
post_fordism,Q3,raw,SR_const__LR_none,const,none,const,none,6,4,6,computed,-178.36205840999952,-197.43046829886455,NA,3.7612001156935624,43,32,186,1,218,NA,NA,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_const__LR_none_unrestricted.csv,7,1,-178.36205840999952
post_fordism,Q3,raw,SR_none__LR_const,none,const,none,const,6,5,6,computed,-238.93389335046172,-257.7398939289295,NA,3.7612001156935624,43,35,180,0,220,NA,NA,TRUE,TRUE,NA,NA,NA,0.01999999999679858,APPX_grid_pic_table_Q3_raw_SR_none__LR_const_unrestricted.csv,7,1,-238.93389335046172
post_fordism,Q3,raw,SR_none__LR_none,none,none,none,none,6,5,6,computed,-224.4406511127703,-243.2466516912381,NA,3.7612001156935624,43,35,180,0,215,NA,NA,TRUE,TRUE,NA,NA,NA,0.01000000000203726,APPX_grid_pic_table_Q3_raw_SR_none__LR_none_unrestricted.csv,7,1,-224.4406511127703
