window,spec,basis,det_tag,computed,runtime_fail,total,computed_share,gate_fail_share,runtime_fail_share
full,Q1,raw,SR_const__LR_none,28,0,28,1,0,0
full,Q1,raw,SR_none__LR_const,27,1,28,0.9642857142857143,0,0.03571428571428571
full,Q1,raw,SR_none__LR_none,27,1,28,0.9642857142857143,0,0.03571428571428571
full,Q2,ortho,SR_const__LR_none,35,0,35,1,0,0
full,Q2,ortho,SR_none__LR_const,34,1,35,0.9714285714285714,0,0.02857142857142857
full,Q2,ortho,SR_none__LR_none,34,1,35,0.9714285714285714,0,0.02857142857142857
full,Q2,raw,SR_const__LR_none,35,0,35,1,0,0
full,Q2,raw,SR_none__LR_const,34,1,35,0.9714285714285714,0,0.02857142857142857
full,Q2,raw,SR_none__LR_none,34,1,35,0.9714285714285714,0,0.02857142857142857
full,Q3,ortho,SR_const__LR_none,42,0,42,1,0,0
full,Q3,ortho,SR_none__LR_const,41,1,42,0.9761904761904762,0,0.023809523809523808
full,Q3,ortho,SR_none__LR_none,41,1,42,0.9761904761904762,0,0.023809523809523808
full,Q3,raw,SR_const__LR_none,42,0,42,1,0,0
full,Q3,raw,SR_none__LR_const,41,1,42,0.9761904761904762,0,0.023809523809523808
full,Q3,raw,SR_none__LR_none,41,1,42,0.9761904761904762,0,0.023809523809523808
fordism,Q1,raw,SR_const__LR_none,28,0,28,1,0,0
fordism,Q1,raw,SR_none__LR_const,27,1,28,0.9642857142857143,0,0.03571428571428571
fordism,Q1,raw,SR_none__LR_none,27,1,28,0.9642857142857143,0,0.03571428571428571
fordism,Q2,ortho,SR_const__LR_none,32,3,35,0.9142857142857143,0,0.08571428571428572
fordism,Q2,ortho,SR_none__LR_const,31,4,35,0.8857142857142857,0,0.11428571428571428
fordism,Q2,ortho,SR_none__LR_none,34,1,35,0.9714285714285714,0,0.02857142857142857
fordism,Q2,raw,SR_const__LR_none,35,0,35,1,0,0
fordism,Q2,raw,SR_none__LR_const,34,1,35,0.9714285714285714,0,0.02857142857142857
fordism,Q2,raw,SR_none__LR_none,32,3,35,0.9142857142857143,0,0.08571428571428572
fordism,Q3,ortho,SR_const__LR_none,32,10,42,0.7619047619047619,0,0.23809523809523808
fordism,Q3,ortho,SR_none__LR_const,31,11,42,0.7380952380952381,0,0.2619047619047619
fordism,Q3,ortho,SR_none__LR_none,36,6,42,0.8571428571428571,0,0.14285714285714285
fordism,Q3,raw,SR_const__LR_none,32,10,42,0.7619047619047619,0,0.23809523809523808
fordism,Q3,raw,SR_none__LR_const,31,11,42,0.7380952380952381,0,0.2619047619047619
fordism,Q3,raw,SR_none__LR_none,36,6,42,0.8571428571428571,0,0.14285714285714285
post_fordism,Q1,raw,SR_const__LR_none,28,0,28,1,0,0
post_fordism,Q1,raw,SR_none__LR_const,27,1,28,0.9642857142857143,0,0.03571428571428571
post_fordism,Q1,raw,SR_none__LR_none,27,1,28,0.9642857142857143,0,0.03571428571428571
post_fordism,Q2,ortho,SR_const__LR_none,35,0,35,1,0,0
post_fordism,Q2,ortho,SR_none__LR_const,34,1,35,0.9714285714285714,0,0.02857142857142857
post_fordism,Q2,ortho,SR_none__LR_none,34,1,35,0.9714285714285714,0,0.02857142857142857
post_fordism,Q2,raw,SR_const__LR_none,32,3,35,0.9142857142857143,0,0.08571428571428572
post_fordism,Q2,raw,SR_none__LR_const,31,4,35,0.8857142857142857,0,0.11428571428571428
post_fordism,Q2,raw,SR_none__LR_none,34,1,35,0.9714285714285714,0,0.02857142857142857
post_fordism,Q3,ortho,SR_const__LR_none,37,5,42,0.8809523809523809,0,0.11904761904761904
post_fordism,Q3,ortho,SR_none__LR_const,36,6,42,0.8571428571428571,0,0.14285714285714285
post_fordism,Q3,ortho,SR_none__LR_none,36,6,42,0.8571428571428571,0,0.14285714285714285
post_fordism,Q3,raw,SR_const__LR_none,36,6,42,0.8571428571428571,0,0.14285714285714285
post_fordism,Q3,raw,SR_none__LR_const,36,6,42,0.8571428571428571,0,0.14285714285714285
post_fordism,Q3,raw,SR_none__LR_none,36,6,42,0.8571428571428571,0,0.14285714285714285
