"criterion","run_id","det_tag","include","LRinclude","cell_id","p","q_tag","qY","qK","qE","r","logLik","AIC","BIC","HQ","ICOMP_pen","RICOMP_pen"
"BIC",1772630521,"SR_const__LR_none","const","none","p03_Y_only_r0_const_none",3,"Y_only",3,0,0,0,482.113430635227,-928.226861270454,-891.451938449432,-913.934873106535,1.18073253028248,1.18073253028248
"AIC",1772630521,"SR_const__LR_none","const","none","p03_Y_only_r0_const_none",3,"Y_only",3,0,0,0,482.113430635227,-928.226861270454,-891.451938449432,-913.934873106535,1.18073253028248,1.18073253028248
"HQ",1772630521,"SR_const__LR_none","const","none","p03_Y_only_r0_const_none",3,"Y_only",3,0,0,0,482.113430635227,-928.226861270454,-891.451938449432,-913.934873106535,1.18073253028248,1.18073253028248
"ICOMP",1772630521,"SR_const__LR_none","const","none","p07_sym_r2_const_none",7,"sym",7,7,7,2,497.960824250384,-835.921648500767,-672.477547074003,-772.401701105571,0.71460055037954,0.71460055037954
"RICOMP",1772630521,"SR_const__LR_none","const","none","p07_sym_r2_const_none",7,"sym",7,7,7,2,497.960824250384,-835.921648500767,-672.477547074003,-772.401701105571,0.71460055037954,0.71460055037954
