"run_id","det_tag","cell_id","status","include","LRinclude","p","r","q_tag","qY","qK","qE","model_class","logLik","T_eff","T_eff_common","k_gamma","k_pi","k_det","k_sigma","k_total","ICOMP_pen","RICOMP_pen","ICOMP_flag","RICOMP_flag","ICOMP_stabilized","RICOMP_stabilized","AIC","BIC","HQ","AICc","stability_margin","unit_root_count","unstable_count","expected_unit_roots","unit_root_mismatch","fail_code","fail_msg","window_tag","window_start","window_end"
1772640372,"SR_none__LR_both","p01_Y_short_r0_none_both","computed","none","both",1,0,"Y_short",1,1,1,"VAR_diff_r0",453.025192939489,63,57,9,0,0,6,15,1.58625325469279,1.58625325469279,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-876.050385878978,-845.40461686146,-864.140395742379,-864.343068805807,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_Y_short_r1_none_both","computed","none","both",1,1,"Y_short",1,1,1,"VECM_ranked_qrestricted",464.426114885631,63,57,9,7,0,6,22,1.21817819705273,1.21817819705273,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-884.852229771262,-839.905101878902,-867.384244237583,-855.087523888909,-0.022546468092111,2,1,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_Y_short_r2_none_both","computed","none","both",1,2,"Y_short",1,1,1,"VECM_ranked_qrestricted",474.306452302182,63,57,9,12,0,6,27,0.984171551195647,0.984171551195647,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-894.612904604365,-839.450520372832,-873.174922358486,-842.474973569882,0.0135526716559197,1,0,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_K_short_r0_none_both","computed","none","both",1,0,"K_short",1,1,1,"VAR_diff_r0",453.025192939489,63,57,9,0,0,6,15,1.58625325469279,1.58625325469279,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-876.050385878978,-845.40461686146,-864.140395742379,-864.343068805807,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_K_short_r1_none_both","computed","none","both",1,1,"K_short",1,1,1,"VECM_ranked_qrestricted",464.426114885631,63,57,9,7,0,6,22,1.21817819705273,1.21817819705273,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-884.852229771262,-839.905101878902,-867.384244237583,-855.087523888909,-0.022546468092111,2,1,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_K_short_r2_none_both","computed","none","both",1,2,"K_short",1,1,1,"VECM_ranked_qrestricted",474.306452302182,63,57,9,12,0,6,27,0.984171551195647,0.984171551195647,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-894.612904604365,-839.450520372832,-873.174922358486,-842.474973569882,0.0135526716559197,1,0,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_E_short_r0_none_both","computed","none","both",1,0,"E_short",1,1,1,"VAR_diff_r0",453.025192939489,63,57,9,0,0,6,15,1.58625325469279,1.58625325469279,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-876.050385878978,-845.40461686146,-864.140395742379,-864.343068805807,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_E_short_r1_none_both","computed","none","both",1,1,"E_short",1,1,1,"VECM_ranked_qrestricted",464.426114885631,63,57,9,7,0,6,22,1.21817819705273,1.21817819705273,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-884.852229771262,-839.905101878902,-867.384244237583,-855.087523888909,-0.022546468092111,2,1,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p01_E_short_r2_none_both","computed","none","both",1,2,"E_short",1,1,1,"VECM_ranked_qrestricted",474.306452302182,63,57,9,12,0,6,27,0.984171551195647,0.984171551195647,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-894.612904604365,-839.450520372832,-873.174922358486,-842.474973569882,0.0135526716559197,1,0,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_sym_r0_none_both","computed","none","both",2,0,"sym",2,2,2,"VAR_diff_r0",461.611166570428,62,57,18,0,0,6,24,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-875.222333140857,-826.189102712827,-856.166348922298,-837.722333140857,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
