"p","q_tag","r","best_BIC","best_AIC"
1,"E_only",0,-869.662924468467,-888.050385878978
1,"E_only",1,-815.492824938839,-848.181645224191
1,"E_only",2,-823.616941907136,-866.521018531661
1,"E_short",0,-845.40461686146,-876.050385878978
1,"E_short",1,-839.905101878902,-884.852229771262
1,"E_short",2,-839.450520372832,-894.612904604365
1,"K_only",0,-869.662924468467,-888.050385878978
1,"K_only",1,-830.210480415524,-862.899300700877
1,"K_only",2,-826.566894214079,-869.470970838604
1,"K_short",0,-845.40461686146,-876.050385878978
1,"K_short",1,-839.905101878902,-884.852229771262
1,"K_short",2,-839.450520372832,-894.612904604365
1,"Y_only",0,-869.662924468467,-888.050385878978
1,"Y_only",1,-835.457892288082,-868.146712573434
1,"Y_only",2,-834.279064057749,-877.183140682275
1,"Y_short",0,-845.40461686146,-876.050385878978
1,"Y_short",1,-839.905101878902,-884.852229771262
1,"Y_short",2,-839.450520372832,-894.612904604365
1,"sym",0,-845.40461686146,-876.050385878978
1,"sym",1,-839.905101878902,-884.852229771262
1,"sym",2,-839.450520372832,-894.612904604365
2,"E_only",0,-874.705717926842,-899.222333140857
2,"E_only",1,-797.075545626322,-835.893519715179
2,"E_only",2,-815.391090563687,-864.424320991717
2,"E_short",0,-838.318256516331,-881.222333140857
2,"E_short",1,-821.717627872847,-878.923063372214
2,"E_short",2,-824.483057561882,-891.903749400422
2,"K_only",0,-874.705717926842,-899.222333140857
2,"K_only",1,-807.836228952588,-846.654203041445
2,"K_only",2,-802.141727052844,-851.174957480874
2,"K_short",0,-838.318256516331,-881.222333140857
2,"K_short",1,-815.493374204746,-872.698809704114
2,"K_short",2,-821.923972039075,-889.344663877616
2,"Y_only",0,-874.705717926842,-899.222333140857
2,"Y_only",1,-827.082491901358,-865.900465990215
2,"Y_only",2,-818.292128557125,-867.325358985154
2,"Y_short",0,-838.318256516331,-881.222333140857
2,"Y_short",1,-818.421805618561,-875.627241117928
2,"Y_short",2,-829.622431746393,-897.043123584933
2,"sym",0,-826.189102712827,-875.222333140857
2,"sym",1,-811.777086291113,-875.111675593984
2,"sym",2,-818.361024799897,-891.910870441941
3,"E_only",0,-889.082033737249,-919.727802754767
3,"E_only",1,-792.471025349946,-837.418153242306
3,"E_only",2,-806.470271982935,-861.632656214468
3,"E_short",0,-840.565418523235,-895.727802754767
3,"E_short",1,-812.066137716883,-881.529880823258
3,"E_short",2,-813.269151221589,-892.948150667136
3,"K_only",0,-889.082033737249,-919.727802754767
3,"K_only",1,-797.443436051611,-842.390563943971
3,"K_only",2,-787.272335810394,-842.434720041927
3,"K_short",0,-840.565418523235,-895.727802754767
3,"K_short",1,-806.20468582051,-875.668428926885
3,"K_short",2,-800.253328562837,-879.932328008385
3,"Y_only",0,-889.082033737249,-919.727802754767
3,"Y_only",1,-819.268327031664,-864.215454924024
3,"Y_only",2,-808.799355198245,-863.961739429778
3,"Y_short",0,-840.565418523235,-895.727802754767
3,"Y_short",1,-807.738715114461,-877.202458220836
3,"Y_short",2,-809.831577916421,-889.510577361969
3,"sym",0,-816.307110916227,-883.727802754767
3,"sym",1,-800.146079443687,-881.868130157069
3,"sym",2,-794.596794384162,-886.534101436717
4,"E_only",0,-874.709864804436,-911.484787625458
4,"E_only",1,-767.023279835768,-818.099561531632
4,"E_only",2,-775.425028986238,-836.716567021275
4,"E_short",0,-814.064095786918,-881.484787625458
4,"E_short",1,-784.068163321026,-865.790214034408
4,"E_short",2,-781.097738230587,-873.035045283141
4,"K_only",0,-874.709864804436,-911.484787625458
4,"K_only",1,-780.730377892939,-831.806659588803
4,"K_only",2,-766.852829844053,-828.144367879089
4,"K_short",0,-814.064095786918,-881.484787625458
4,"K_short",1,-776.275356434282,-857.997407147664
4,"K_short",2,-767.212936949185,-859.15024400174
4,"Y_only",0,-874.709864804436,-911.484787625458
4,"Y_only",1,-792.340642867859,-843.416924563723
4,"Y_only",2,-780.741826644616,-842.033364679653
4,"Y_short",0,-814.064095786918,-881.484787625458
4,"Y_short",1,-777.590919091894,-859.312969805276
4,"Y_short",2,-779.017496793188,-870.954803845742
4,"sym",0,-777.676634376407,-863.484787625458
4,"sym",1,-757.867644386427,-857.97715651032
4,"sym",2,-752.23582449802,-862.560592961086
