"run_id","det_tag","cell_id","p","r","q_tag","relation","alpha_lnY","alpha_lnK","alpha_e","beta_lnY","beta_lnK","beta_e"
1772630511,"SR_none__LR_both","p02_E_only_r2_none_both",2,2,"E_only",2,-0.162794603897591,-0.0824637183742715,-0.0877801784492962,0,1,4.02319027611969
1772630511,"SR_none__LR_both","p02_Y_short_r1_none_both",2,1,"Y_short",1,0.0477087109963014,0.0244101815554592,0.0232108461159751,1,-3.58442926348156,-12.078564222582
1772630511,"SR_none__LR_both","p02_Y_short_r2_none_both",2,2,"Y_short",1,0.205653480992186,0.12118672426874,-0.0649067307962397,1,0,2.3422767356959
1772630511,"SR_none__LR_both","p02_Y_short_r2_none_both",2,2,"Y_short",2,-0.162794603897591,-0.0824637183742715,-0.0877801784492962,0,1,4.02319027611969
1772630511,"SR_none__LR_both","p02_K_short_r1_none_both",2,1,"K_short",1,0.0477087109963014,0.0244101815554592,0.0232108461159751,1,-3.58442926348156,-12.078564222582
1772630511,"SR_none__LR_both","p02_K_short_r2_none_both",2,2,"K_short",1,0.205653480992186,0.12118672426874,-0.0649067307962397,1,0,2.3422767356959
1772630511,"SR_none__LR_both","p02_K_short_r2_none_both",2,2,"K_short",2,-0.162794603897591,-0.0824637183742715,-0.0877801784492962,0,1,4.02319027611969
1772630511,"SR_none__LR_both","p02_E_short_r1_none_both",2,1,"E_short",1,0.0477087109963014,0.0244101815554592,0.0232108461159751,1,-3.58442926348156,-12.078564222582
1772630511,"SR_none__LR_both","p02_E_short_r2_none_both",2,2,"E_short",1,0.205653480992186,0.12118672426874,-0.0649067307962397,1,0,2.3422767356959
1772630511,"SR_none__LR_both","p02_E_short_r2_none_both",2,2,"E_short",2,-0.162794603897591,-0.0824637183742715,-0.0877801784492962,0,1,4.02319027611969
1772630511,"SR_none__LR_both","p03_sym_r1_none_both",3,1,"sym",1,-0.0710291884996774,-0.00518909312752939,-0.0632982220750768,1,0.937248401595278,6.02920256157169
1772630511,"SR_none__LR_both","p03_sym_r2_none_both",3,2,"sym",1,0.21186530534429,0.192440287801084,-0.0697413877410745,1,5.55111512312578e-17,2.12286937322058
1772630511,"SR_none__LR_both","p03_sym_r2_none_both",3,2,"sym",2,-0.175173851677347,-0.0807324539263275,-0.0568526566362743,0,1,4.16787394003788
1772630511,"SR_none__LR_both","p03_Y_only_r1_none_both",3,1,"Y_only",1,-0.0710291884996774,-0.00518909312752939,-0.0632982220750768,1,0.937248401595278,6.02920256157169
1772630511,"SR_none__LR_both","p03_Y_only_r2_none_both",3,2,"Y_only",1,0.21186530534429,0.192440287801084,-0.0697413877410745,1,5.55111512312578e-17,2.12286937322058
1772630511,"SR_none__LR_both","p03_Y_only_r2_none_both",3,2,"Y_only",2,-0.175173851677347,-0.0807324539263275,-0.0568526566362743,0,1,4.16787394003788
1772630511,"SR_none__LR_both","p03_K_only_r1_none_both",3,1,"K_only",1,-0.0710291884996774,-0.00518909312752939,-0.0632982220750768,1,0.937248401595278,6.02920256157169
1772630511,"SR_none__LR_both","p03_K_only_r2_none_both",3,2,"K_only",1,0.21186530534429,0.192440287801084,-0.0697413877410745,1,5.55111512312578e-17,2.12286937322058
1772630511,"SR_none__LR_both","p03_K_only_r2_none_both",3,2,"K_only",2,-0.175173851677347,-0.0807324539263275,-0.0568526566362743,0,1,4.16787394003788
1772630511,"SR_none__LR_both","p03_E_only_r1_none_both",3,1,"E_only",1,-0.0710291884996774,-0.00518909312752939,-0.0632982220750768,1,0.937248401595278,6.02920256157169
1772630511,"SR_none__LR_both","p03_E_only_r2_none_both",3,2,"E_only",1,0.21186530534429,0.192440287801084,-0.0697413877410745,1,5.55111512312578e-17,2.12286937322058
1772630511,"SR_none__LR_both","p03_E_only_r2_none_both",3,2,"E_only",2,-0.175173851677347,-0.0807324539263275,-0.0568526566362743,0,1,4.16787394003788
1772630511,"SR_none__LR_both","p03_Y_short_r1_none_both",3,1,"Y_short",1,-0.0710291884996774,-0.00518909312752939,-0.0632982220750768,1,0.937248401595278,6.02920256157169
1772630511,"SR_none__LR_both","p03_Y_short_r2_none_both",3,2,"Y_short",1,0.21186530534429,0.192440287801084,-0.0697413877410745,1,5.55111512312578e-17,2.12286937322058
1772630511,"SR_none__LR_both","p03_Y_short_r2_none_both",3,2,"Y_short",2,-0.175173851677347,-0.0807324539263275,-0.0568526566362743,0,1,4.16787394003788
1772630511,"SR_none__LR_both","p03_K_short_r1_none_both",3,1,"K_short",1,-0.0710291884996774,-0.00518909312752939,-0.0632982220750768,1,0.937248401595278,6.02920256157169
1772630511,"SR_none__LR_both","p03_K_short_r2_none_both",3,2,"K_short",1,0.21186530534429,0.192440287801084,-0.0697413877410745,1,5.55111512312578e-17,2.12286937322058
