"criterion","run_id","det_tag","include","LRinclude","cell_id","p","q_tag","qY","qK","qE","r","logLik","AIC","BIC","HQ","ICOMP_pen","RICOMP_pen"
"BIC",1772573690,"SR_none__LR_both","none","both","p03_Y_only_r0_none_both",3,"Y_only",3,0,0,0,474.863901377384,-919.727802754767,-889.082033737249,-907.817812618168,1.17079350195798,1.17079350195798
"AIC",1772573690,"SR_none__LR_both","none","both","p03_Y_only_r0_none_both",3,"Y_only",3,0,0,0,474.863901377384,-919.727802754767,-889.082033737249,-907.817812618168,1.17079350195798,1.17079350195798
"HQ",1772573690,"SR_none__LR_both","none","both","p03_Y_only_r0_none_both",3,"Y_only",3,0,0,0,474.863901377384,-919.727802754767,-889.082033737249,-907.817812618168,1.17079350195798,1.17079350195798
"ICOMP",1772573690,"SR_none__LR_both","none","both","p07_sym_r2_none_both",7,"sym",7,7,7,2,488.443386893027,-814.886773786054,-649.399621091455,-750.572827048418,0.677535663686225,0.677535663686225
"RICOMP",1772573690,"SR_none__LR_both","none","both","p07_sym_r2_none_both",7,"sym",7,7,7,2,488.443386893027,-814.886773786054,-649.399621091455,-750.572827048418,0.677535663686225,0.677535663686225
