"year","window","omega_t","omega_c_t","theta_t","fitted","residual"
1932,"Full sample",0.677734147194899,0.0549558715715449,0.867131456481913,13.2077963733179,-0.123108953109432
1933,"Full sample",0.664517937219731,0.0417396615963769,0.866572164417258,13.2594592042931,-0.176010379631187
1934,"Full sample",0.622061999745903,-0.000716275877451045,0.864775486778869,13.4445669596496,-0.182909967675398
1935,"Full sample",0.616558357905585,-0.00621991771776909,0.864542580127584,13.5828187920028,-0.237579904224003
1936,"Full sample",0.61320426040215,-0.00957401522120405,0.86440063927455,13.6003475290888,-0.127063614440966
1937,"Full sample",0.629079145811021,0.0063008701876669,0.86507244287431,13.743220779522,-0.182270196336878
1938,"Full sample",0.633989364345709,0.0112110887223549,0.865280236656895,13.6703877246685,-0.208680502312913
1939,"Full sample",0.630537992484756,0.00775971686140187,0.865134179285104,13.5955810247113,-0.0247941131486087
1940,"Full sample",0.607110693449235,-0.0156675821741191,0.864142767793345,13.694880784478,0.00318502994336212
1941,"Full sample",0.594511097780444,-0.0282671778429101,0.863609570009059,13.864802711369,0.0344086865300086
1942,"Full sample",0.604405412159509,-0.018372863463845,0.864028283961683,13.8992035116255,0.154755908531899
1943,"Full sample",0.621900080256822,-0.000878195366532109,0.864768634565903,13.8830437813797,0.297041350323797
1944,"Full sample",0.627959009724536,0.00518073410118192,0.865025040235756,14.0431090473062,0.148546189683337
1945,"Full sample",0.638440192180252,0.015661916556898,0.86546858964869,14.0754751330006,0.0238724938014564
1946,"Full sample",0.663415069811751,0.0406367941883969,0.866525492565735,14.0009980919973,0.0195842212832415
1947,"Full sample",0.644483720777999,0.0217054451546449,0.865724343574633,14.0299934846344,0.0793512818591153
1948,"Full sample",0.624581372598025,0.00180309697467096,0.864882103217829,14.0721316350221,0.118816315507203
1949,"Full sample",0.622946489496739,0.000168213873384948,0.864812917184397,14.1025254052929,0.0630214135364218
1950,"Full sample",0.609475288313768,-0.0133029873095861,0.864242834237987,14.198351666819,0.0826696961366653
1951,"Full sample",0.618138626346099,-0.00463964927725513,0.864609454942714,14.3319442576249,0.0177647046392834
1952,"Full sample",0.63357057934292,0.010792303719566,0.865262514244093,14.3518339188944,0.0260598431368046
1953,"Full sample",0.644071883964771,0.0212936083414169,0.865706915199781,14.3339004702645,0.100351546421152
1954,"Full sample",0.642039314043351,0.0192610384199969,0.865620899599995,14.3923139732477,0.0181153916303322
1955,"Full sample",0.622858846487424,8.05708640698732e-05,0.864809208251222,14.4463467007873,0.0682620269644566
1956,"Full sample",0.635535528362412,0.0127572527390579,0.865345668219107,14.4673659144514,0.0829345277230155
1957,"Full sample",0.638957571161781,0.0161792955384269,0.865490484424827,14.5351579393388,0.0266031550671347
1958,"Full sample",0.640702916019947,0.0179246403965929,0.865564345049854,14.5402338883582,-0.024154088392233
1959,"Full sample",0.628716570650273,0.00593829502691889,0.865057099185716,14.5708216090971,0.0461956434922145
1960,"Full sample",0.638652100649948,0.015873825026594,0.865477557327453,14.6171966301459,0.0253950581717464
1961,"Full sample",0.635335355670866,0.0125570800475119,0.865337197182543,14.629322835597,0.0303931224995384
1962,"Full sample",0.628948763920103,0.00617048829674893,0.865066925289685,14.6699156369247,0.0646979426416159
1963,"Full sample",0.621930029689577,-0.000848245933777081,0.86476990198524,14.7210301229106,0.0664101702338405
1964,"Full sample",0.619047357779893,-0.00373091784346113,0.864647911223356,14.78478641662,0.0635987705785948
1965,"Full sample",0.61236559273945,-0.0104126828839041,0.864365147997587,14.8804273831432,0.0445399155188431
1966,"Full sample",0.620003181239775,-0.00277509438357904,0.864688360374612,14.9571251903915,0.0338136716855003
1967,"Full sample",0.628388720851657,0.0056104452283029,0.865043225027307,15.0091146418792,0.00442720239396429
1968,"Full sample",0.627992500156573,0.00521422453321896,0.865026457505375,15.0656997397809,0.00423985709334468
1969,"Full sample",0.641990534144692,0.0192122585213379,0.865618835300904,15.0696669658608,0.0344529144491101
1970,"Full sample",0.653676971146293,0.0308986955229389,0.866113389450042,15.0814121893991,0.00363080292465187
1971,"Full sample",0.64098353494678,0.0182052593234259,0.865576220461887,15.1252076438891,-0.0136421323511682
1972,"Full sample",0.641336309259143,0.0185580336357889,0.865591149391882,15.1738693318658,-0.000513037246932404
1973,"Full sample",0.64395880536602,0.0211805297426659,0.86570212986699,15.1854212690524,0.0486918698144118
1974,"Full sample",0.654104621464026,0.031326345840672,0.866131487030937,15.1753120129826,0.0492083911131032
1975,"Full sample",0.6334561606626,0.0106778850392459,0.865257672200869,15.2257484076914,-0.0108154369347199
1976,"Full sample",0.630753371060034,0.00797509543667996,0.865143293814026,15.2764337402995,0.00675731773712167
1977,"Full sample",0.630403843120234,0.00762556749687993,0.86512850226611,15.3816388681422,-0.0357754853261139
1978,"Full sample",0.636152526475711,0.0133742508523569,0.865371778741664,15.447277912761,-0.0414997733200302
1979,"Full sample",0.649784944902043,0.0270066692786889,0.865948684182955,15.4273270961295,0.00513387405489624
1980,"Full sample",0.654602937898175,0.0318246622748209,0.866152575105947,15.4032331726759,0.0249346790782029
1981,"Full sample",0.637119794842787,0.0143415192194329,0.865412712225856,15.4400906933808,0.0253926191408989
1982,"Full sample",0.637923812080797,0.0151455364574429,0.865446737143886,15.4565445417686,-0.0148808280922551
1983,"Full sample",0.62949324210345,0.00671496648009595,0.865089966867255,15.4900008362804,-0.0185105303128431
1984,"Full sample",0.623632973944295,0.000854698320940872,0.86484196827429,15.5931714949397,-0.0429772810843044
1985,"Full sample",0.628950706261489,0.00617243063813488,0.865067007486935,15.6458365565864,-0.0644645721463928
1986,"Full sample",0.640257827171573,0.0174795515482189,0.865545509494016,15.6289244640691,-0.02786358684231
1987,"Full sample",0.637971431188591,0.0151931555652369,0.865448752319883,15.6621028940888,-0.0161783597236061
1988,"Full sample",0.635130978444682,0.0123527028213279,0.86532854821578,15.7093770585714,-0.0139404650366117
1989,"Full sample",0.640624353315478,0.0178460776921239,0.865561020382853,15.7119543717966,-0.00532638936452975
1990,"Full sample",0.644643570706082,0.0218652950827279,0.865731108206587,15.7619958316196,-0.0466544314786606
1991,"Full sample",0.640968458828616,0.0181901832052619,0.865575582461033,15.782512558652,-0.0783480376458643
1992,"Full sample",0.648208483525974,0.02543020790262,0.865881970477624,15.7291554698399,-0.00354732572701014
1993,"Full sample",0.64244868931149,0.0196704136881359,0.865638223805601,15.7599121466704,-0.0118842538128849
1994,"Full sample",0.628488369808008,0.00571009418465396,0.865047442035863,15.8019146260494,0.00165447942501184
1995,"Full sample",0.624660582765844,0.00188230714248994,0.864885455284601,15.8445619037646,-0.00448876783467979
1996,"Full sample",0.620922242011602,-0.00185603361175213,0.864727253778817,15.9390846512001,-0.0559915491630339
1997,"Full sample",0.621030977666497,-0.00174729795685713,0.864731855324119,16.0181201548638,-0.081812148308259
1998,"Full sample",0.634609294105485,0.0118310184821309,0.865306471242751,16.0713829980708,-0.0901781436684787
1999,"Full sample",0.640439844250045,0.0176615686266909,0.865553212209682,16.0957186816084,-0.0701775528688649
2000,"Full sample",0.652779358011841,0.0300010823884869,0.866075403680735,16.052123302944,0.0151826357211153
2001,"Full sample",0.654881386402621,0.0321031107792669,0.866164358668651,16.0220039646085,0.0156276372962303
2002,"Full sample",0.638661211919941,0.0158829362965869,0.865477942904031,15.9778049295608,0.0577414752978569
2003,"Full sample",0.626869045229268,0.00409076960591392,0.864978914417983,15.9632114478671,0.086516204049139
2004,"Full sample",0.613230053731544,-0.00954822189181004,0.864401730813235,15.9942718544848,0.0963370686566325
2005,"Full sample",0.597479837743853,-0.025298437879501,0.863735203054136,16.077046795743,0.0522607812284497
2006,"Full sample",0.587831471357126,-0.0349468042662281,0.863326897286663,16.1470092555426,0.0175586358491583
