"sample_name","economic_start_year","economic_end_year","regression_start_year","regression_end_year","N","spec_id","intercept_flag","centered_flag","interaction_type","omega_mean","omega_min","omega_max","omega_range","beta1_or_theta_bar_hat","se_beta1_or_theta_bar_hac","beta2_hat","se_beta2_hac","t_beta2","R2","adj_R2","omega_H","threshold_status"
"Deep comparison",1940,1978,1943,1976,34,"S1",TRUE,FALSE,"omega*k",0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,0.832049211236386,0.0469344474863049,-0.0588613237855712,0.0583640069211756,-1.00852095136421,0.985740613017061,0.981901547290886,-2.85333013194624,"no admissible positive threshold"
"Deep comparison",1940,1978,1943,1976,34,"S2",TRUE,TRUE,"(omega-omega_bar)*k",0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,0.794774902326871,0.0320469758295834,-0.058861323785573,0.0583640069211695,-1.00852095136434,0.985740613017061,0.981901547290886,-2.85333013194614,"no admissible positive threshold"
"Deep comparison",1940,1978,1943,1976,34,"S3",FALSE,FALSE,"omega*k",0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,0.9050395189289,0.0682418090519931,0.0378714470354702,0.0988353735981568,0.383177051461831,0.99997359563236,0.999966750055565,NA,"wrong-sign slope"
"Deep comparison",1940,1978,1943,1976,34,"S4",FALSE,TRUE,"(omega-omega_bar)*k",0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,0.929021854439956,0.0077345467197568,0.0378714470354685,0.0988353735977306,0.383177051463466,0.99997359563236,0.999966750055565,NA,"wrong-sign slope"
"Fordist core",1945,1973,1948,1971,24,"S1",TRUE,FALSE,"omega*k",0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,0.822427976942035,0.021118684629809,0.0309526907081139,0.0258990946083951,1.19512636160187,0.998074676166246,0.997232346988979,NA,"wrong-sign slope"
"Fordist core",1945,1973,1948,1971,24,"S2",TRUE,TRUE,"(omega-omega_bar)*k",0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,0.84194224218792,0.00952946888170774,0.0309526907081141,0.0258990946083776,1.19512636160269,0.998074676166247,0.99723234698898,NA,"wrong-sign slope"
"Fordist core",1945,1973,1948,1971,24,"S3",FALSE,FALSE,"omega*k",0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,0.968487989811284,0.0831865449071457,-0.0514871996813706,0.119320166818157,-0.43150459016569,0.9999950631711,0.9999930303592,-0.61203581441073,"no admissible positive threshold"
"Fordist core",1945,1973,1948,1971,24,"S4",FALSE,TRUE,"(omega-omega_bar)*k",0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,0.936027649583521,0.00934507693429687,-0.0514871996813699,0.119320166818382,-0.43150459016487,0.9999950631711,0.9999930303592,-0.612035814410747,"no admissible positive threshold"
"Full sample",1929,2024,1932,2022,91,"S1",TRUE,FALSE,"omega*k",0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.870549556467176,0.0548343760816253,0.00508644674151321,0.0250523599048755,0.203032638874205,0.989692026388595,0.988822679216549,NA,"wrong-sign slope"
"Full sample",1929,2024,1932,2022,91,"S2",TRUE,TRUE,"(omega-omega_bar)*k",0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.873719872787652,0.0510509041205208,0.00508644674151286,0.0250523599048808,0.203032638874148,0.989692026388595,0.988822679216549,NA,"wrong-sign slope"
"Full sample",1929,2024,1932,2022,91,"S3",FALSE,FALSE,"omega*k",0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.9431403546629,0.0216793646294386,-0.0220845457974647,0.0375066084665221,-0.588817456453763,0.999957487338037,0.999953944616207,-2.5746350347684,"no admissible positive threshold"
"Full sample",1929,2024,1932,2022,91,"S4",FALSE,TRUE,"(omega-omega_bar)*k",0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.929375343540189,0.00259376357136011,-0.0220845457974646,0.0375066084665432,-0.588817456453428,0.999957487338037,0.999953944616207,-2.57463503476844,"no admissible positive threshold"
"Post-1973",1974,2024,1977,2022,46,"S1",TRUE,FALSE,"omega*k",0.614668175789046,0.56475673366441,0.654881386402621,0.0901246527382109,0.850711757092708,0.0208366576829111,0.010850656680655,0.0214574565348215,0.505682332994423,0.994871569801238,0.993926858975151,NA,"wrong-sign slope"
"Post-1973",1974,2024,1977,2022,46,"S2",TRUE,TRUE,"(omega-omega_bar)*k",0.614668175789046,0.56475673366441,0.654881386402621,0.0901246527382109,0.857386017960259,0.0197795232943034,0.0108506566806554,0.0214574565348127,0.505682332994649,0.994871569801238,0.993926858975151,NA,"wrong-sign slope"
"Post-1973",1974,2024,1977,2022,46,"S3",FALSE,FALSE,"omega*k",0.614668175789046,0.56475673366441,0.654881386402621,0.0901246527382109,0.910977862594231,0.0130352445818289,0.0374394521658228,0.0242799694370182,1.54198926250464,0.999996910788659,0.999996356314829,NA,"wrong-sign slope"
"Post-1973",1974,2024,1977,2022,46,"S4",FALSE,TRUE,"(omega-omega_bar)*k",0.614668175789046,0.56475673366441,0.654881386402621,0.0901246527382109,0.934006945335221,0.00228917922876943,0.0374394521658221,0.0242799694370122,1.54198926250499,0.999996910788659,0.999996356314829,NA,"wrong-sign slope"
"Pre-1974",1929,1973,1932,1971,40,"S1",TRUE,FALSE,"omega*k",0.631969722102237,0.594511097780444,0.677734147194899,0.083223049414455,1.07975048882933,0.0845457271768271,-0.155376622277075,0.0896891180428813,-1.73239101540487,0.965117103961272,0.9574864704528,0.513272123312801,"positive threshold outside observed sample range"
"Pre-1974",1929,1973,1932,1971,40,"S2",TRUE,TRUE,"(omega-omega_bar)*k",0.631969722102237,0.594511097780444,0.677734147194899,0.083223049414455,0.981782350600637,0.0563424531017348,-0.155376622277075,0.0896891180429128,-1.73239101540426,0.965117103961272,0.9574864704528,0.513272123312801,"positive threshold outside observed sample range"
"Pre-1974",1929,1973,1932,1971,40,"S3",FALSE,FALSE,"omega*k",0.631969722102237,0.594511097780444,0.677734147194899,0.083223049414455,1.07037693199528,0.0576220519307538,-0.151161745239534,0.0883443992029868,-1.71105069029009,0.999942635725907,0.999930467546554,0.465573693157363,"positive threshold outside observed sample range"
"Pre-1974",1929,1973,1932,1971,40,"S4",FALSE,TRUE,"(omega-omega_bar)*k",0.631969722102237,0.594511097780444,0.677734147194899,0.083223049414455,0.975066359944692,0.016425971326126,-0.151161745239533,0.0883443992028528,-1.71105069029268,0.999942635725907,0.999930467546554,0.465573693157362,"positive threshold outside observed sample range"
