"sample_name","economic_start_year","economic_end_year","regression_start_year","regression_end_year","N","spec_id","intercept_flag","centered_flag","omega_mean","omega_min","omega_max","omega_range","regressor_1_name","regressor_2_name","corr_longrun_regressors","VIF_regressor_1","VIF_regressor_2","condition_number_longrun_X","smallest_eigenvalue_XtX","rank_longrun_X","near_singularity_flag","beta1_or_theta_bar_hat","se_beta1_or_theta_bar_hac","beta2_hat","se_beta2_hac","t_beta2","R2","adj_R2","omega_H","omega_H_in_sample_range","threshold_status"
"Deep comparison",1940,1978,1943,1976,34,"S1",TRUE,FALSE,0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,"beta1_k","beta2_omegak",0.886733668896387,4.67938272350879,4.67938272350881,571.992708307896,0.0342515079183635,3,FALSE,0.832049211236386,0.0469344474863049,-0.0588613237855712,0.0583640069211756,-1.00852095136421,0.985740613017061,0.981901547290886,-2.85333013194624,FALSE,"no admissible positive threshold"
"Deep comparison",1940,1978,1943,1976,34,"S2",TRUE,TRUE,0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,"theta_bar_k","beta2_omegac_k",0.165438171290111,1.0281399736475,1.0281399736475,482.794610323947,0.0343526514564294,3,FALSE,0.794774902326871,0.0320469758295834,-0.058861323785573,0.0583640069211695,-1.00852095136434,0.985740613017061,0.981901547290886,-2.85333013194614,FALSE,"no admissible positive threshold"
"Deep comparison",1940,1978,1943,1976,34,"S3",FALSE,FALSE,0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,"beta1_k","beta2_omegak",0.886733668896387,4.67938272350879,4.67938272350881,118.220809373344,0.799382529851755,2,FALSE,0.9050395189289,0.0682418090519931,0.0378714470354702,0.0988353735981568,0.383177051461831,0.99997359563236,0.999966750055565,NA,FALSE,"wrong-sign slope"
"Deep comparison",1940,1978,1943,1976,34,"S4",FALSE,TRUE,0.630853860083883,0.594511097780444,0.663415069811751,0.068903972031307,"theta_bar_k","beta2_omegac_k",0.165438171290111,1.0281399736475,1.0281399736475,84.3704633993845,1.12010348017937,2,FALSE,0.929021854439956,0.0077345467197568,0.0378714470354685,0.0988353735977306,0.383177051463466,0.99997359563236,0.999966750055565,NA,FALSE,"wrong-sign slope"
"Fordist core",1945,1973,1948,1971,24,"S1",TRUE,FALSE,0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,"beta1_k","beta2_omegak",0.85545250902242,3.72854680659639,3.72854680659639,839.297010345639,0.0112042405316859,3,FALSE,0.822427976942035,0.021118684629809,0.0309526907081139,0.0258990946083951,1.19512636160187,0.998074676166246,0.997232346988979,NA,FALSE,"wrong-sign slope"
"Fordist core",1945,1973,1948,1971,24,"S2",TRUE,TRUE,0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,"theta_bar_k","beta2_omegac_k",0.274935123104828,1.08177028209301,1.08177028209301,709.030415194919,0.0112461093532047,3,FALSE,0.84194224218792,0.00952946888170774,0.0309526907081141,0.0258990946083776,1.19512636160269,0.998074676166247,0.99723234698898,NA,FALSE,"wrong-sign slope"
"Fordist core",1945,1973,1948,1971,24,"S3",FALSE,FALSE,0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,"beta1_k","beta2_omegak",0.85545250902242,3.72854680659639,3.72854680659639,128.959459855379,0.473135468381997,2,FALSE,0.968487989811284,0.0831865449071457,-0.0514871996813706,0.119320166818157,-0.43150459016569,0.9999950631711,0.9999930303592,-0.61203581441073,FALSE,"no admissible positive threshold"
"Fordist core",1945,1973,1948,1971,24,"S4",FALSE,TRUE,0.633191163004079,0.609475288313768,0.663415069811751,0.0539397814979831,"theta_bar_k","beta2_omegac_k",0.274935123104828,1.08177028209301,1.08177028209301,92.2670745148064,0.661290007966977,2,FALSE,0.936027649583521,0.00934507693429687,-0.0514871996813699,0.119320166818382,-0.43150459016487,0.9999950631711,0.9999930303592,-0.612035814410747,FALSE,"no admissible positive threshold"
"Full sample",1929,2024,1932,2022,91,"S1",TRUE,FALSE,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,"beta1_k","beta2_omegak",0.800792060644387,2.78759572391899,2.78759572391899,313.556465999317,0.330178839911294,3,FALSE,0.870549556467176,0.0548343760816253,0.00508644674151321,0.0250523599048755,0.203032638874205,0.989692026388595,0.988822679216549,NA,FALSE,"wrong-sign slope"
"Full sample",1929,2024,1932,2022,91,"S2",TRUE,TRUE,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,"theta_bar_k","beta2_omegac_k",-0.440418866075565,1.24064672956043,1.24064672956043,266.882278206388,0.328994329954082,3,FALSE,0.873719872787652,0.0510509041205208,0.00508644674151286,0.0250523599048808,0.203032638874148,0.989692026388595,0.988822679216549,NA,FALSE,"wrong-sign slope"
"Full sample",1929,2024,1932,2022,91,"S3",FALSE,FALSE,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,"beta1_k","beta2_omegak",0.800792060644387,2.78759572391899,2.78759572391899,54.4007770466354,10.9384616471198,2,FALSE,0.9431403546629,0.0216793646294386,-0.0220845457974647,0.0375066084665221,-0.588817456453763,0.999957487338037,0.999953944616207,-2.5746350347684,FALSE,"no admissible positive threshold"
"Full sample",1929,2024,1932,2022,91,"S4",FALSE,TRUE,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,"theta_bar_k","beta2_omegac_k",-0.440418866075565,1.24064672956043,1.24064672956043,39.2269304183649,15.1697011963879,2,FALSE,0.929375343540189,0.00259376357136011,-0.0220845457974646,0.0375066084665432,-0.588817456453428,0.999957487338037,0.999953944616207,-2.57463503476844,FALSE,"no admissible positive threshold"
