"year","sample_name","spec_id","omega_t","k_t","theta_t_hat"
1943,"Deep comparison","S1",0.621900080256822,14.4655214941134,0.795443349250116
1944,"Deep comparison","S1",0.627959009724536,14.4975732120151,0.795086712640923
1945,"Deep comparison","S1",0.638440192180252,14.5435146956026,0.794469776366742
1946,"Deep comparison","S1",0.663415069811751,14.602699144033,0.792999722007969
1947,"Deep comparison","S1",0.644483720777999,14.668344295017,0.794114046273142
1948,"Deep comparison","S1",0.624581372598025,14.7340211190663,0.795285524833457
1949,"Deep comparison","S1",0.622946489496739,14.7853997828012,0.795381756217033
1950,"Deep comparison","S1",0.609475288313768,14.8329185204504,0.796174688951645
1951,"Deep comparison","S1",0.618138626346099,14.887851893495,0.79566475340666
1952,"Deep comparison","S1",0.63357057934292,14.9418056906467,0.79475640822467
1953,"Deep comparison","S1",0.644071883964771,14.9981203761222,0.794138287533153
1954,"Deep comparison","S1",0.642039314043351,15.0474771545022,0.794257927289414
1955,"Deep comparison","S1",0.622858846487424,15.0950108189801,0.795386915000582
1956,"Deep comparison","S1",0.635535528362412,15.1498114579169,0.794640748724212
1957,"Deep comparison","S1",0.638957571161781,15.203851287101,0.79443932275499
1958,"Deep comparison","S1",0.640702916019947,15.2435941828108,0.794336589446176
1959,"Deep comparison","S1",0.628716570650273,15.2849119693692,0.795042121601986
1960,"Deep comparison","S1",0.638652100649948,15.3297835986338,0.794457303153694
1961,"Deep comparison","S1",0.635335355670866,15.3712556272847,0.794652531153822
1962,"Deep comparison","S1",0.628948763920103,15.4152851341648,0.79502845439875
1963,"Deep comparison","S1",0.621930029689577,15.4603002954347,0.795441586386858
1964,"Deep comparison","S1",0.619047357779893,15.509549449509,0.795611264271501
1965,"Deep comparison","S1",0.61236559273945,15.5682687346488,0.796004561807006
1966,"Deep comparison","S1",0.620003181239775,15.6331086462922,0.795555003237347
1967,"Deep comparison","S1",0.628388720851657,15.691243982835,0.795061419275135
1968,"Deep comparison","S1",0.627992500156573,15.7474129586695,0.795084741349759
1969,"Deep comparison","S1",0.641990534144692,15.8038446072792,0.794260798538823
1970,"Deep comparison","S1",0.653676971146293,15.8528197914117,0.793572919386572
1971,"Deep comparison","S1",0.64098353494678,15.8956753695696,0.794320071844663
1972,"Deep comparison","S1",0.641336309259143,15.9418763087787,0.79429930708164
1973,"Deep comparison","S1",0.64395880536602,15.9908775741573,0.794144943489167
1974,"Deep comparison","S1",0.654104621464026,16.0325872658012,0.793547747322753
1975,"Deep comparison","S1",0.6334561606626,16.0665597654989,0.79476314305966
1976,"Deep comparison","S1",0.630753371060034,16.1009405388784,0.794922232833581
1943,"Deep comparison","S2",0.621900080256822,14.4655214941134,0.795443349250116
1944,"Deep comparison","S2",0.627959009724536,14.4975732120151,0.795086712640923
1945,"Deep comparison","S2",0.638440192180252,14.5435146956026,0.794469776366742
1946,"Deep comparison","S2",0.663415069811751,14.602699144033,0.792999722007969
1947,"Deep comparison","S2",0.644483720777999,14.668344295017,0.794114046273142
1948,"Deep comparison","S2",0.624581372598025,14.7340211190663,0.795285524833457
1949,"Deep comparison","S2",0.622946489496739,14.7853997828012,0.795381756217033
1950,"Deep comparison","S2",0.609475288313768,14.8329185204504,0.796174688951645
1951,"Deep comparison","S2",0.618138626346099,14.887851893495,0.79566475340666
1952,"Deep comparison","S2",0.63357057934292,14.9418056906467,0.79475640822467
1953,"Deep comparison","S2",0.644071883964771,14.9981203761222,0.794138287533152
1954,"Deep comparison","S2",0.642039314043351,15.0474771545022,0.794257927289414
1955,"Deep comparison","S2",0.622858846487424,15.0950108189801,0.795386915000582
1956,"Deep comparison","S2",0.635535528362412,15.1498114579169,0.794640748724212
1957,"Deep comparison","S2",0.638957571161781,15.203851287101,0.79443932275499
1958,"Deep comparison","S2",0.640702916019947,15.2435941828108,0.794336589446176
1959,"Deep comparison","S2",0.628716570650273,15.2849119693692,0.795042121601986
1960,"Deep comparison","S2",0.638652100649948,15.3297835986338,0.794457303153694
1961,"Deep comparison","S2",0.635335355670866,15.3712556272847,0.794652531153822
1962,"Deep comparison","S2",0.628948763920103,15.4152851341648,0.79502845439875
1963,"Deep comparison","S2",0.621930029689577,15.4603002954347,0.795441586386858
1964,"Deep comparison","S2",0.619047357779893,15.509549449509,0.795611264271501
1965,"Deep comparison","S2",0.61236559273945,15.5682687346488,0.796004561807006
1966,"Deep comparison","S2",0.620003181239775,15.6331086462922,0.795555003237347
1967,"Deep comparison","S2",0.628388720851657,15.691243982835,0.795061419275135
1968,"Deep comparison","S2",0.627992500156573,15.7474129586695,0.795084741349759
1969,"Deep comparison","S2",0.641990534144692,15.8038446072792,0.794260798538823
1970,"Deep comparison","S2",0.653676971146293,15.8528197914117,0.793572919386572
1971,"Deep comparison","S2",0.64098353494678,15.8956753695696,0.794320071844663
1972,"Deep comparison","S2",0.641336309259143,15.9418763087787,0.79429930708164
1973,"Deep comparison","S2",0.64395880536602,15.9908775741573,0.794144943489167
1974,"Deep comparison","S2",0.654104621464026,16.0325872658012,0.793547747322753
1975,"Deep comparison","S2",0.6334561606626,16.0665597654989,0.79476314305966
1976,"Deep comparison","S2",0.630753371060034,16.1009405388784,0.79492223283358
1943,"Deep comparison","S3",0.621900080256822,14.4655214941134,0.928591774879701
1944,"Deep comparison","S3",0.627959009724536,14.4975732120151,0.928821235306129
1945,"Deep comparison","S3",0.638440192180252,14.5435146956026,0.92921817285237
1946,"Deep comparison","S3",0.663415069811751,14.602699144033,0.930164007607809
1947,"Deep comparison","S3",0.644483720777999,14.668344295017,0.929447050025567
1948,"Deep comparison","S3",0.624581372598025,14.7340211190663,0.928693319300588
1949,"Deep comparison","S3",0.622946489496739,14.7853997828012,0.928631403911808
1950,"Deep comparison","S3",0.609475288313768,14.8329185204504,0.928121230029703
1951,"Deep comparison","S3",0.618138626346099,14.887851893495,0.928449323177145
1952,"Deep comparison","S3",0.63357057934292,14.9418056906467,0.929033753567718
1953,"Deep comparison","S3",0.644071883964771,14.9981203761222,0.929431453169508
1954,"Deep comparison","S3",0.642039314043351,15.0474771545022,0.929354476805383
1955,"Deep comparison","S3",0.622858846487424,15.0950108189801,0.928628084744223
1956,"Deep comparison","S3",0.635535528362412,15.1498114579169,0.929108169030437
1957,"Deep comparison","S3",0.638957571161781,15.203851287101,0.929237766743066
1958,"Deep comparison","S3",0.640702916019947,15.2435941828108,0.929303865478421
1959,"Deep comparison","S3",0.628716570650273,15.2849119693692,0.928849925234605
1960,"Deep comparison","S3",0.638652100649948,15.3297835986338,0.929226198132757
1961,"Deep comparison","S3",0.635335355670866,15.3712556272847,0.929100588200951
1962,"Deep comparison","S3",0.628948763920103,15.4152851341648,0.928858718729725
1963,"Deep comparison","S3",0.621930029689577,15.4603002954347,0.928592909108058
1964,"Deep comparison","S3",0.619047357779893,15.509549449509,0.928483738151509
1965,"Deep comparison","S3",0.61236559273945,15.5682687346488,0.928230690040677
1966,"Deep comparison","S3",0.620003181239775,15.6331086462922,0.928519936569046
1967,"Deep comparison","S3",0.628388720851657,15.691243982835,0.928837509088321
1968,"Deep comparison","S3",0.627992500156573,15.7474129586695,0.928822503637253
1969,"Deep comparison","S3",0.641990534144692,15.8038446072792,0.929352629440034
1970,"Deep comparison","S3",0.653676971146293,15.8528197914117,0.929795211719974
1971,"Deep comparison","S3",0.64098353494678,15.8956753695696,0.929314492923246
1972,"Deep comparison","S3",0.641336309259143,15.9418763087787,0.929327852996932
1973,"Deep comparison","S3",0.64395880536602,15.9908775741573,0.929427170719344
1974,"Deep comparison","S3",0.654104621464026,16.0325872658012,0.929811407456332
1975,"Deep comparison","S3",0.6334561606626,16.0665597654989,0.929029420366726
1976,"Deep comparison","S3",0.630753371060034,16.1009405388784,0.928927061813445
1943,"Deep comparison","S4",0.621900080256822,14.4655214941134,0.928591774879701
1944,"Deep comparison","S4",0.627959009724536,14.4975732120151,0.928821235306129
1945,"Deep comparison","S4",0.638440192180252,14.5435146956026,0.92921817285237
1946,"Deep comparison","S4",0.663415069811751,14.602699144033,0.930164007607809
1947,"Deep comparison","S4",0.644483720777999,14.668344295017,0.929447050025567
1948,"Deep comparison","S4",0.624581372598025,14.7340211190663,0.928693319300588
1949,"Deep comparison","S4",0.622946489496739,14.7853997828012,0.928631403911808
1950,"Deep comparison","S4",0.609475288313768,14.8329185204504,0.928121230029703
1951,"Deep comparison","S4",0.618138626346099,14.887851893495,0.928449323177145
1952,"Deep comparison","S4",0.63357057934292,14.9418056906467,0.929033753567718
1953,"Deep comparison","S4",0.644071883964771,14.9981203761222,0.929431453169508
1954,"Deep comparison","S4",0.642039314043351,15.0474771545022,0.929354476805383
1955,"Deep comparison","S4",0.622858846487424,15.0950108189801,0.928628084744223
1956,"Deep comparison","S4",0.635535528362412,15.1498114579169,0.929108169030437
1957,"Deep comparison","S4",0.638957571161781,15.203851287101,0.929237766743066
1958,"Deep comparison","S4",0.640702916019947,15.2435941828108,0.929303865478421
1959,"Deep comparison","S4",0.628716570650273,15.2849119693692,0.928849925234605
1960,"Deep comparison","S4",0.638652100649948,15.3297835986338,0.929226198132757
1961,"Deep comparison","S4",0.635335355670866,15.3712556272847,0.929100588200951
1962,"Deep comparison","S4",0.628948763920103,15.4152851341648,0.928858718729725
1963,"Deep comparison","S4",0.621930029689577,15.4603002954347,0.928592909108058
1964,"Deep comparison","S4",0.619047357779893,15.509549449509,0.928483738151509
1965,"Deep comparison","S4",0.61236559273945,15.5682687346488,0.928230690040677
1966,"Deep comparison","S4",0.620003181239775,15.6331086462922,0.928519936569046
1967,"Deep comparison","S4",0.628388720851657,15.691243982835,0.928837509088321
1968,"Deep comparison","S4",0.627992500156573,15.7474129586695,0.928822503637253
1969,"Deep comparison","S4",0.641990534144692,15.8038446072792,0.929352629440034
1970,"Deep comparison","S4",0.653676971146293,15.8528197914117,0.929795211719974
1971,"Deep comparison","S4",0.64098353494678,15.8956753695696,0.929314492923246
1972,"Deep comparison","S4",0.641336309259143,15.9418763087787,0.929327852996932
1973,"Deep comparison","S4",0.64395880536602,15.9908775741573,0.929427170719344
1974,"Deep comparison","S4",0.654104621464026,16.0325872658012,0.929811407456332
1975,"Deep comparison","S4",0.6334561606626,16.0665597654989,0.929029420366726
1976,"Deep comparison","S4",0.630753371060034,16.1009405388784,0.928927061813445
1948,"Fordist core","S1",0.624581372598025,14.7340211190663,0.841760450990111
