"start","end","theta1","theta2","t_theta2","th_bar","adf","signs_ok"
1929,1958,1.248252099446,-0.245914393640662,-1.62916389418699,1.09287263772091,-1.556377112391,TRUE
1930,1959,1.28730550805733,-0.293664199188048,-2.07828935278941,1.10179270362658,-1.65096008224995,TRUE
1931,1960,1.30422173416222,-0.355149470040996,-2.01464950574496,1.07983785529015,-1.30019951297236,TRUE
1932,1961,1.23474683156421,-0.307796278006077,-1.52030922911457,1.04057364269903,-2.22131401383572,TRUE
1933,1962,1.07814100024888,-0.156216108204788,-0.619767349549115,0.979846151070354,-1.99682067385848,TRUE
1934,1963,0.932228746928697,-0.0126754627149925,-0.0469608277195649,0.924271041734233,-2.61604070644501,TRUE
1935,1964,0.928179121383873,-0.0434916483945873,-0.179212966681632,0.90087926437746,-2.38784829115345,TRUE
1936,1965,0.946934497943236,-0.0930571016419368,-0.481841608591047,0.888535241325112,-2.78336126306011,TRUE
1937,1966,0.892970401953112,-0.0686291564614506,-0.535021617210515,0.849885682892555,-2.92656380910383,TRUE
1938,1967,0.892638007022324,-0.108829698756122,-1.09623115261669,0.824318281881781,-3.43247058029313,TRUE
1939,1968,0.935842616941355,-0.224006136554991,-2.76940112729066,0.795263669298963,-3.65640211161576,TRUE
1940,1969,0.982134561325783,-0.318527277900156,-4.00115773417876,0.782115628980759,-3.30638982772411,TRUE
1941,1970,0.971826930012236,-0.293871707001844,-3.59208356359116,0.786834291989347,-2.73394688600776,TRUE
1942,1971,0.941360355188424,-0.199411897340259,-2.66979478143763,0.815521390198053,-2.60698976823334,TRUE
1943,1972,0.888359108957129,-0.071356847961688,-1.76385423223964,0.843241496443293,-2.80436552670495,TRUE
1944,1973,0.908954947886271,-0.0898748118561602,-2.73931189534594,0.852062685868683,-2.57260967975074,TRUE
1945,1974,0.884878911678243,-0.0622878525346362,-1.89861386362735,0.845395372076925,-3.26021632563605,TRUE
1946,1975,0.85900756286856,-0.0244120064241518,-0.645661537345035,0.843537133820493,-3.28094044159416,TRUE
1947,1976,0.846005940573307,-0.0089979349593827,-0.226836303446852,0.840313546201522,-3.84055888971958,TRUE
1948,1977,0.849674543644425,-0.0156215000520218,-0.414237637883981,0.839799192258434,-3.09674714729847,TRUE
1949,1978,0.851813343908986,-0.0121962572752803,-0.328166575245995,0.844098603851635,-3.48417652685238,TRUE
1950,1979,0.85212981570644,-0.0101282514807114,-0.260053000416249,0.845714131406049,-3.50169490020237,TRUE
