swing_id,avg_r_diag,avg_g_K,avg_gross_recap_ratio,sd_gross_recap_ratio,gross_recap_start,gross_recap_end,avg_net_recap_ratio,sd_net_recap_ratio,net_recap_start,net_recap_end,avg_accounting_wedge,sd_accounting_wedge,wedge_start,wedge_end,delta_gross_recap_ratio,delta_net_recap_ratio,delta_accounting_wedge
1,0.205,0.062,0.284,0.107,0.398,0.168,0.307,0.288,0.605,0.029,1.265,0.054,1.334,1.214,-0.23,-0.576,-0.12
2,0.187,0.085,0.458,0.092,0.214,0.568,0.477,0.33,0.047,0.424,1.318,0.034,1.236,1.327,0.354,0.376,0.091
3,0.19,0.037,0.505,0.019,0.525,0.516,0.192,0.064,0.132,0.304,1.333,0.018,1.345,1.302,-0.009,0.171,-0.043
4,0.186,0.104,0.589,0.037,0.548,0.575,0.58,0.263,0.383,0.619,1.334,0.03,1.284,1.322,0.027,0.236,0.038
