swing_id,start_year,end_year,direction,duration_years,amplitude_pct_diag,pace_pct_diag_per_year,amplitude_log_struct,dist_share_pct,util_share_pct,price_share_pct,capacity_share_pct,wedge_share_pct,share_sum_pct,gross_reinforcing_pct,gross_offsetting_pct,net_imbalance_idx,compensation_intensity,reinforcing_concentration,reversal_risk_raw,momentum_contradiction,avg_r_struct,avg_g_K,avg_recap_ratio,delta_recap_ratio,sd_recap_ratio,recap_flag,reinforcing_main_component,offsetting_main_component
1,1940,1944,trough_to_peak,4,69.552,14.111,0.263,-20.719,140.937,8.232,-79.068,50.619,100,66.69,33.31,0.334,0.998,0.564,18.771,3.991,5.463,0.062,0.011,-0.021,0.01,normal,utilization,capacity
2,1944,1958,peak_to_trough,14,-36.969,-3.243,-1.139,3.061,27.77,20.431,76.106,-27.369,100,82.313,17.687,0.646,0.274,0.431,7.621,3.832,3.177,0.085,0.029,0.033,0.017,normal,capacity,wedge
3,1958,1966,trough_to_peak,8,39.896,4.286,0.212,26.46,66.066,20.936,-62.51,49.048,100,72.22,27.78,0.444,0.625,0.299,8.319,5.001,2.298,0.037,0.016,0.016,0.006,normal,utilization,capacity
4,1966,1976,peak_to_trough,10,-22.725,-2.545,-0.909,3.158,12.009,13.334,80.4,-8.9,100,92.445,7.555,0.849,0.089,0.573,4.33,0.89,1.722,0.104,0.07,0.065,0.046,normal,capacity,wedge
