swing_id,start_year,end_year,direction,duration_years,amplitude_pct_diag,pace_pct_diag_per_year,amplitude_log_struct,dist_share_pct,util_share_pct,price_share_pct,capacity_share_pct,wedge_share_pct,share_sum_pct,gross_reinforcing_pct,gross_offsetting_pct,net_imbalance_idx,compensation_intensity,reinforcing_concentration,reversal_risk_raw,momentum_contradiction,avg_r_diag,avg_g_K,avg_gross_recap_ratio,delta_gross_recap_ratio,avg_net_recap_ratio,delta_net_recap_ratio,reinforcing_main_component,offsetting_main_component
1,1940,1944,trough_to_peak,4,69.552,14.111,0.452,-12.072,82.119,4.796,-4.337,29.494,100,87.646,12.354,0.753,0.164,0.564,6.962,0.656,0.205,0.062,0.284,-0.23,0.307,-0.576,utilization,distribution
2,1944,1958,peak_to_trough,14,-36.969,-3.243,-0.377,9.234,83.762,61.623,27.931,-82.55,100,68.861,31.139,0.377,0.826,0.35,10.913,11.557,0.187,0.085,0.458,0.354,0.477,0.376,utilization,wedge
3,1958,1966,trough_to_peak,8,39.896,4.286,0.29,19.348,48.308,15.308,-18.829,35.864,100,86.322,13.678,0.726,0.188,0.299,4.096,1.506,0.19,0.037,0.505,-0.009,0.192,0.171,utilization,capacity
4,1966,1976,peak_to_trough,10,-22.725,-2.545,-0.245,11.734,44.625,49.552,27.163,-33.074,100,80.094,19.906,0.602,0.331,0.301,5.983,3.307,0.186,0.104,0.589,0.027,0.58,0.236,price,wedge
