swing_id,start_year,end_year,direction,duration_years,start_r_diag,end_r_diag,amplitude_pct_diag,pace_pct_diag_per_year,amplitude_log_struct,pace_log_struct_per_year
1,1940,1944,trough_to_peak,4,0.15,0.254,69.552,14.111,0.452,0.113
2,1944,1958,peak_to_trough,14,0.254,0.16,-36.969,-3.243,-0.377,-0.027
3,1958,1966,trough_to_peak,8,0.16,0.224,39.896,4.286,0.29,0.036
4,1966,1976,peak_to_trough,10,0.224,0.173,-22.725,-2.545,-0.245,-0.024
5,1976,1978,trough_to_peak,2,0.173,0.177,2.517,1.251,0.006,0.003
