"variable_id","display_name","accounting_block","sector_boundary","first_year","last_year","n_obs","n_missing_inside_span","coverage_status","notes"
"K_real_capacity_refrozen","D06 refrozen real capacity capital","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"K_current_capacity_refrozen","D06 refrozen current-cost capacity capital","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"K_real_ME_refrozen","D06 refrozen real machinery and equipment stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"K_real_NRC_refrozen","D06 refrozen real nonresidential construction stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"K_current_ME_refrozen","D06 refrozen current-cost machinery and equipment stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"K_current_NRC_refrozen","D06 refrozen current-cost nonresidential construction stock","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"I_current_ME","Current-dollar ME gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1925","2024","100","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"I_current_NRC","Current-dollar NRC gross investment source ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"I_real_ME_guardian","GPIM-guarded real ME investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1925","2024","100","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"I_real_NRC_guardian","GPIM-guarded real NRC investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"pKN_ME","D06 ME guarded capital valuation price","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"pKN_NRC","D06 NRC guarded capital valuation price","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"pKN_capacity","D06 capacity weighted guarded capital valuation price","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","1931","2024","94","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"Y_REAL_NFC_GVA_BASELINE","Authoritative real NFC gross value added level","output_value_added","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_GVA","NFC gross value added","output_value_added; surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_NVA","NFC net value added","output_value_added; surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_GVA","Corporate gross value added","output_value_added; surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_NVA","Corporate net value added","output_value_added; surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE","output_value_added","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_COMP","NFC compensation of employees","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_CFC","NFC consumption of fixed capital","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_NOS","NFC net operating surplus","surplus_distribution; financial_correction_candidate","NFC; CORP_FIN_BOUNDARY","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_PBT","NFC profits before tax","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_PAT","NFC profits after tax","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_TAX","NFC corporate income taxes","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_UNDISTRIBUTED","NFC undistributed profits with IVA and CCAdj","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_RETAINED","NFC undistributed profits after tax","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_NET_INT","NFC net interest and miscellaneous payments","surplus_distribution; financial_correction_candidate","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_TRANSFERS_NET","NFC business current transfers net","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"NFC_DIVIDENDS_NET","NFC net dividends","surplus_distribution","NFC","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_COMP","Corporate compensation of employees","surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_CFC","Corporate consumption of fixed capital","surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_NOS","Corporate net operating surplus","surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_PBT","Corporate profits before tax","surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_PAT","Corporate profits after tax","surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
"CORP_TAX","Corporate income taxes","surplus_distribution","CORP","1929","2025","97","0","COMPLETE_WITHIN_SPAN","Missingness recorded only; no filling or interpolation performed."
