"year","CORP_CFC","CORP_COMP","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","CORP_DIVIDENDS_NET","CORP_GVA","CORP_NET_INT","CORP_NOS","CORP_NVA","CORP_PAT","CORP_PBT","CORP_TAX","CORP_TRANSFERS_NET","CORP_UNDISTRIBUTED","I_current_ME","I_current_NRC","I_real_ME_guardian","I_real_NRC_guardian","K_current_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_real_capacity_refrozen","K_real_ME_refrozen","K_real_NRC_refrozen","NFC_CFC","NFC_COMP","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA","NFC_DIVIDENDS_NET","NFC_GVA","NFC_NET_INT","NFC_NOS","NFC_NVA","NFC_PAT","NFC_PBT","NFC_RETAINED","NFC_TAX","NFC_TRANSFERS_NET","NFC_UNDISTRIBUTED","P_Y_NFC_GVA_IMPLICIT_SOURCE","pKN_capacity","pKN_ME","pKN_NRC","Y_REAL_NFC_GVA_BASELINE"
1987,371292,1847640,0.638188297394282,0.732074643370957,103163,2895133,95117,442835,2523841,128248,222478,112702,24915,106938,39156,19048,14809.3243523966,149406.57283242,543818.852190283,232263.386310457,311555.465879826,2531589.05912022,87845.1277724374,2443743.93134778,334692,1685458,0.637971431188591,0.730517811555949,76251,2641902,115901,404912,2307210,174909,287611,71746,94230,29655,88875,61.6153140025412,21.4813241600622,264.400988649177,12.7491044328853,4287736
1988,399856,2002309,0.637163221944563,0.730055372826807,113617,3142537,102750,488358,2742681,160517,264470,124266,26350,121375,43894,19302,16702.7922805708,142510.828329607,607325.692260975,265127.723936306,342197.968324669,2627409.28838882,100887.895856578,2526521.39253224,358200,1825308,0.635130978444682,0.725564334175508,82165,2873908,135568,456561,2515708,208893,333159,95276,103953,27036,107839,63.2290995175162,23.1150013416219,262.794383493944,13.5442339548804,4545230
1989,427148,2119332,0.638324748874071,0.732572669399471,147709,3320147,120906,506123,2892999,142774,243982,124422,33630,79456,48024,22294,18576.9769139409,155014.983800806,674614.151614743,297889.695642577,376724.455972166,2734678.04239667,115231.759096556,2619446.28330012,380160,1934822,0.640624353315478,0.732872408243319,105361,3020213,159563,457075,2640053,202272,326694,54563,101208,23481,67461,65.1453566499875,24.6688692839143,258.513536526823,14.3818355189765,4636114
1990,454688,2234926,0.644565927434182,0.741847949660216,168590,3467335,116018,493252,3012647,139894,238347,121816,33991,52837,44323,22632,17129.3961396862,149912.242264745,738210.729431307,329862.444690589,408348.284740718,2832341.77660274,127481.09303771,2704860.68356503,402624,2037523,0.644643570706082,0.738748756831309,118299,3160697,169679,457022,2758073,207750,329566,39160,98453,24867,45724,66.9767472414208,26.0636175877318,258.754013501447,15.0968324254879,4719096
1991,479628,2277820,0.640791606148147,0.74073785011003,177803,3554697,83390,489313,3075069,143815,232413,117813,33652,76655,39444,17974,15485.9126479108,115863.122635963,777153.098242267,349955.054107376,427198.044134891,2891177.32096253,137394.113137656,2753783.20782487,423556,2071121,0.640968458828616,0.737662505106527,125492,3231237,156685,450831,2807681,231186,348999,53383,88598,26093,53963,68.7113619970468,26.8801602934385,254.708914461825,15.5131327303111,4702624
1992,494348,2420482,0.646778708116392,0.745218390174682,178473,3742365,59484,501640,3248017,162628,257058,131914,33956,97813,39857,16869,15945.8027681857,103611.712146931,821529.053917533,367596.046308083,453933.00760945,2935184.91748745,147066.112672643,2788118.80481481,436252,2188674,0.648208483525974,0.744384906699952,134266,3376497,131318,449070,2940245,261676,393590,83203,94429,30693,58363,69.1332931616639,27.9890050205345,249.952922279465,16.2809779420286,4884039
1993,517188,2515738,0.64195609798046,0.739558599807448,201111,3918863,56643,542179,3401675,201057,309098,155047,31750,97629,48521,14580,19849.2925315943,84191.0570699772,876019.796351299,390974.107510883,485045.688840416,2960800.25599836,159942.2813269,2800857.97467146,455844,2271015,0.64244868931149,0.737559968977867,149182,3534936,117538,488755,3079092,280118,435165,79007,108041,29521,84474,70.0270069439918,29.5872642734527,244.446999422114,17.3177538178212,5047961
1994,547584,2649014,0.629206773734972,0.723280075554928,220391,4210085,49055,637379,3662501,265509,397865,172671,32199,163063,54567,16725,22727.9724727291,89931.7479988905,944032.591180285,420075.531279172,523957.059901113,2992329.43859411,174967.748114796,2817361.69047931,482344,2398673,0.628488369808008,0.719408163381601,157976,3816575,116971,584811,3334231,360384,533055,139993,132356,34651,142858,71.020647035344,31.5484177311647,240.087407996793,18.5974368030813,5373895
1995,590428,2787890,0.623099115110705,0.717824586410643,250774,4474232,50534,711162,3883804,311697,452020,194449,36897,178507,58101,16293,24862.466277776,83209.3931288672,1000364.39566816,447145.634402019,553218.761266139,3016665.2839109,191341.685282094,2825323.5986288,520836,2524557,0.624660582765844,0.717071279451238,178025,4041486,126463,637426,3520650,408332,602781,157558,140323,30162,162453,71.9202021994151,33.1612658853307,233.689608065694,19.580722064355,5619403
1996,626332,2953697,0.619197078532264,0.712786564646166,283461,4770205,46413,791760,4143873,335991,488919,211386,43745,206755,64435,19857,29060.6383981939,96063.4878809788,1055955.95506132,467984.281633946,587971.673427377,3055532.63954451,211064.203997868,2844468.43554664,554164,2667703,0.620922242011602,0.712871760722058,197550,4296356,119960,702808,3742192,439459,650845,155998,152928,37319,195052,72.522827352412,34.5588177129973,221.726030643582,20.6707047995202,5924143
1997,670056,3176578,0.617632293335957,0.71015166669722,312727,5143154,62911,879591,4473098,365745,527104,224762,34368,244823,65838,23585,31900.8733418789,106073.644800147,1118822.7275713,480236.336215286,638586.391356011,3104736.93669659,232691.736319023,2872045.20037757,594612,2862551,0.621030977666497,0.713010129420553,215946,4609353,127945,763291,4014741,484712,709474,171985,161359,38487,219553,72.8995575119067,36.0359911446061,206.383064483595,22.2345522720903,6322882
1998,714988,3447481,0.629740616676098,0.724343192018923,344361,5474446,95975,881203,4759458,327736,486404,221805,52822,166239,82801,22494,43402.7275414712,93838.9658845275,1196906.37192914,505143.695243892,691762.676685251,3150636.13116808,264786.828347032,2885849.30282105,634096,3093832,0.634609294105485,0.729491544606563,241033,4875176,148275,744345,4241080,430227,652032,85866,158668,34106,162263,73.1168552638486,37.9893558665372,190.773724809999,23.9708523937484,6667650
1999,769632,3684312,0.635000562731071,0.732114054664259,333669,5802061,95329,894212,5032429,323090,489554,227386,53845,183984,89023,22425,49732.5710518119,87113.1722121046,1284916.59424088,540581.31305805,744335.281182827,3193473.57069305,301994.973893727,2891478.59679933,679076,3309975,0.640439844250045,0.737318253019241,224667,5168284,158279,754597,4489208,448607,675993,114938,166463,45602,159586,73.7944346804504,40.2357046581733,179.003413893995,25.742375613873,7003623
2000,838608,4008927,0.644917063345876,0.745488771719334,383651,6216190,135807,888960,5377582,286114,451199,233448,72406,63648,85914,22704,50540.0307598228,82625.6238393211,1369997.50902592,575522.686114048,794474.822911871,3229854.43751906,338558.724528945,2891295.71299011,737452,3597328,0.652779358011841,0.753629904458832,251327,5510787,196220,726139,4773335,407311,640759,23660,165085,45439,68067,75.0767451317777,42.4166951027754,169.991982015765,27.4781586450126,7340205
2001,888584,4013811,0.647118229424371,0.755326345890645,362060,6202593,127588,830788,5314009,218833,325044,170148,84817,86176,79235,22169,50061.5730642912,75820.5097714779,1433343.89303563,590356.509572148,842987.383463483,3256106.99613893,372993.948860049,2883113.04727889,781460,3582304,0.654881386402621,0.764029750696195,245419,5470157,224069,664885,4688697,378564,548712,16504,106211,55199,33988,76.3535085523944,44.0201717798364,158.275090353719,29.2387904892978,7164251
2002,914587,3972742,0.630740139778425,0.737885713341108,379443,6298540,78483,913682,5383953,278627,369703,160674,61611,233472,80577,16039,53888.0255730432,51729.5960819377,1495852.79877414,612263.184152707,883589.614621433,3259254.40381246,409467.392991224,2849787.01082123,805024,3540451,0.638661211919941,0.747162620965836,254719,5543551,200347,731045,4738528,489425,650099,109981,91076,51994,132910,76.5907687937524,45.8955519711622,149.526725359015,31.0054615052374,7237884
2003,932541,4040875,0.619295933302171,0.722564283120208,422953,6524950,58798,1027260,5592409,387276,513769,213763,50318,281428,78275,14910,54968.5505159109,45490.9239247779,1554626.14310088,633827.735601863,920798.407499015,3254492.65458942,445104.974804426,2809387.679785,818191,3594306,0.626869045229268,0.731211062358816,294880,5733743,174198,830127,4915552,617898,831661,194945,126492,61635,172921,77.4565840709758,47.7686173575649,142.399607166907,32.775768688837,7402525
2004,973014,4240204,0.609224012386193,0.708235885988862,517519,6960008,-2596,1177419,5986994,545865,725099,278512,54603,329382,86926,16140,61973.1956589678,43675.1192548151,1703665.18449118,681290.118168826,1022375.06632235,3252284.95310165,485720.334466074,2766564.61863558,851954,3761333,0.613230053731544,0.71214600332318,367055,6133641,162335,988613,5281688,814910,1093422,297391,179234,62538,217451,78.9527909591575,52.3836382438267,140.263865814416,36.9546787172667,7768745
2005,1042069,4442988,0.593551234778269,0.68954467114621,318392,7485433,24285,1384109,6443365,781851,1044392,379749,55496,606188,90548,17989,67120.2895866276,42800.4242764404,1858323.16882326,714076.173957482,1144246.99486577,3251777.23085097,529321.460252433,2722455.77059854,913610,3928746,0.597479837743853,0.69388947457567,175995,6575529,174978,1157510,5661919,1100756,1480504,782364,262541,79314,464682,81.6233712792512,57.1479236398044,134.904066352598,42.0299571887704,8055939
2006,1119303,4681230,0.583017283165839,0.677456033729604,637938,8029316,71332,1574260,6910013,914468,1210550,430147,46542,388300,94601,21407,72114.0394449534,45506.6512675997,2016176.72067054,755081.451686158,1261095.26898438,3256411.91679742,575596.173307346,2680815.74349007,984445,4127501,0.587831471357126,0.683686296478441,472789,7021572,183070,1297836,6037127,1223747,1653895,585809,296082,68525,277370,83.91778185401,61.9140567036552,131.182500284444,47.0414750453009,8367204
2007,1188944,4894238,0.596912305967198,0.698148185659016,677861,8199258,113396,1439784,7010314,853000,1130620,391782,68360,188385,98767,26008,78690.2123888812,51250.4573149046,2127837.11847362,785670.601896932,1342166.51657669,3270790.50741909,625964.001447545,2644826.50597155,1047219,4307101,0.593479839175833,0.693558511004891,483318,7257367,261873,1271768,6210148,1084600,1476382,406740,277620,59077,189881,85.7490754703761,65.0557445867315,125.51370367626,50.7468642478559,8463493
2008,1256741,4940328,0.609256031850876,0.721000308375001,660852,8108788,176513,1226760,6852047,703039,910245,255918,94819,38657,78728,26132,63946.5462146714,46773.3177123545,2266288.49893886,811238.500646113,1455049.99829275,3263300.22606055,658925.671586823,2604374.55447373,1108750,4364267,0.595584591788177,0.701768770402349,491168,7327703,325645,1217245,6218953,792634,1048553,131782,207206,46320,146906,87.5086386636431,69.447747431891,123.115327817247,55.8694599359105,8373691
2009,1263659,4607471,0.589391374581907,0.703035913574027,516582,7817337,117315,1290752,6553678,605918,767354,203933,96549,356373,49795,19351,41370.8524389923,35005.9505987863,2213276.22770181,802395.348110177,1410880.87959164,3218931.74982684,666648.851177828,2552282.89864901,1114626,4094885,0.593114751011546,0.707306220721321,367793,6904035,301527,1086020,5789409,952967,1156900,436385,161436,60532,194733,88.7351298078863,68.7580973974013,120.362518692189,55.2791730234314,7780498
2010,1270714,4700760,0.57068891168038,0.674787885295419,514546,8236992,93221,1580572,6966278,851626,1055410,272267,98666,601872,70253,10847,59354.3906455768,18821.511224893,2248405.20238184,816689.077859188,1431716.12452265,3174280.06349816,689993.061694591,2484287.00180357,1123495,4166597,0.57177005128177,0.675990132542249,382167,7287190,303977,1358883,6163695,1220653,1492920,706107,203784,71808,397148,89.75774662321,70.8319731531193,118.361926111755,57.6308664612114,8118731
2011,1324537,4927979,0.571490813431576,0.675205559727653,633083,8623024,95115,1651835,7298487,834174,1043392,280763,106842,536032,78815,9078,66825.4924588169,14533.4448274118,2354464.00888267,847558.717864358,1506905.29101832,3131109.72665309,718626.260344467,2412483.46630862,1173463,4372725,0.57077261993538,0.67401273198101,460831,7661063,301801,1444027,6487600,1176882,1457645,543799,209219,79885,392291,91.8681579860306,75.1958319710313,117.941517675417,62.4628235618151,8339193
2012,1392029,5182659,0.564929408063707,0.665983334543396,765393,9173994,150590,1856116,7781965,1045208,1291012,334589,53156,552388,89524,11056,77143.5943702773,16620.1119652985,2435547.55370743,876647.861749501,1558899.69195793,3098856.27669874,755414.939595801,2343441.33710294,1234809,4608338,0.568162965987683,0.670192968841803,539890,8110944,307917,1572715,6876136,1475416,1810004,710023,245803,82372,396733,93.7832090937156,78.59504721213,116.048520594333,66.5218141916497,8648610
2013,1447694,5356731,0.566433797144341,0.668818304642122,858891,9456941,128425,1875859,8009247,1076687,1340643,362418,65135,460989,98595,9376,87106.102997439,12981.9816168481,2546065.93581665,905451.13672084,1640614.79909581,3071532.74465686,799942.390327641,2271590.35432922,1282795,4773788,0.567108862532718,0.669069293653454,550095,8417763,301337,1634506,7134968,1458906,1821323,600014,263956,84166,434953,95.0612816965969,82.8923585543962,113.189543105721,72.2231803797331,8855091
2014,1524311,5648214,0.562206465288649,0.662764623509276,898271,10046512,156103,2061056,8522202,1122618,1413247,406890,96997,502795,108643,12446,98220.1988384826,15993.5102936233,2658677.82854386,943760.906000788,1714916.92254308,3056943.43250824,853220.031142216,2203723.40136602,1352680,5032917,0.568582031539934,0.671143385554831,626369,8851699,310655,1711433,7499019,1542486,1949376,644215,290629,82241,401539,96.6797903860191,86.971770568957,110.611667747341,77.8190639297132,9155687
2015,1587221,5949841,0.567217985504381,0.668349341944749,965924,10489514,218459,2117610,8902292,1045997,1329945,396125,121223,415878,117409,15767,109873.30301841,18775.0156882561,2775282.9746575,978368.998324813,1796913.97633269,3055301.84010531,915574.04812885,2139727.79197646,1408263,5303853,0.575109869197914,0.678757041627619,683656,9222330,324537,1738998,7814067,1446219,1842345,480295,283948,99763,347094,97.5522579281645,90.8349852125197,106.858533214686,83.9786249012957,9453733
2016,1629907,6109709,0.57183540015035,0.674772159673055,953732,10684384,231573,2093040,9054477,1046198,1308258,376034,137067,394636,119343,19228,115594.777485041,21080.8986695745,2909058.36698027,1012593.39740256,1896464.96957771,3060007.80472964,980790.733059923,2079217.07166972,1441019,5448417,0.582943530383766,0.689204553360564,729527,9346389,343885,1671794,7905370,1444015,1820049,490284,262059,73341,262982,98.2351929695706,95.0670244201319,103.242553510209,91.2105328211233,9514298
2017,1709313,6432103,0.577766513666986,0.682567844480596,1043492,11132703,268838,2106659,9423390,1090774,1304589,297156,111478,385695,116048,19520,116048,19520,3061711.69346696,1043317.3379843,2018394.35548266,3061711.69346696,1043317.3379843,2018394.35548266,1509413,5727599,0.586156566953376,0.6932430456609,769578,9771449,351963,1708532,8262036,1499065,1796221,455573,213815,92900,280276,100,100,100,100,9771449
2018,1793566,6780648,0.574809036253505,0.677876079299523,418955,11796349,302183,2273961,10002784,1105166,1318110,297423,127201,1128198,121217,22380,124175.342708353,19944.768132338,3282697.34053624,1084154.76294745,2198542.57758879,3069926.79991246,1110613.93400177,1959312.86591069,1582147,6047036,0.584943959084541,0.690643317800138,282406,10337804,358281,1835141,8755657,1499553,1796977,1080598,212944,97765,883746,101.987974503904,106.9308017582,97.61760858168,112.20987805676,10136297
2019,1891831,7108215,0.576378084153845,0.680816226842485,937773,12332556,264641,2339171,10440725,1070649,1267438,297195,136233,703328,125493,28445,132719.615158057,22877.6511461099,3486493.74567167,1118477.33024276,2368016.4154289,3087426.20794607,1182885.74528324,1904540.46266283,1664696,6344263,0.587441985101222,0.694491783136635,667792,10799812,372810,1861862,9135116,1545262,1842457,607490,196788,89471,535001,103.779603647263,112.925573304344,94.5549758041037,124.335316673612,10406488
2020,1968202,7167961,0.592623908718225,0.707800381827205,1167415,12095295,288979,2380724,10127094,1329798,1541796,311059,125481,487789,102015,26240,109832.035431267,19335.6155280744,3648423.1212376,1141023.1132187,2507400.0080189,3076097.39575474,1228455.53103888,1847641.86471586,1728115,6350094,0.60484793205077,0.724024852725833,828245,10498662,324369,1912578,8770547,1766607,2077667,599192,211997,90877,457089,105.202094930837,118.605578817911,92.8827364433585,135.708118326519,9979518
2021,2070269,7883565,0.570493812651767,0.671023081522653,1544530,13818844,250238,3100089,11748575,1978947,2322728,468876,152062,684384,107788,22166,110345.986526685,12949.1438788801,4298206.55813168,1241292.48262205,3056914.07550963,3056567.42046419,1270750.39487779,1785817.0255864,1815454,6998733,0.579714486970795,0.682319272087017,1158014,12072724,326392,2555943,10257270,2497709,2966585,953179,343781,122876,604880,110.302899069124,140.6220104734,97.6818490574952,171.177339655268,10945065
2022,2287902,8504055,0.555000855599031,0.652416826598795,1644556,15322598,240968,3350735,13034696,2003885,2475707,600568,196648,667994,96337,28252,95062.6361248309,13047.092382626,5048093.86543025,1311472.51524538,3736621.35018487,3019738.01307856,1294124.11123958,1725613.90183897,2010486,7593396,0.56475673366441,0.664051990819018,1268698,13445428,307810,2736706,11434942,2557284,3157852,912728,471821,119058,569319,118.453404583424,167.169928105247,101.340551795235,216.538667554937,11350816
2023,2447353,8960619,0.555665323570836,0.655084246714296,1741153,16125928,168012,3523348,13678575,2217253,2704112,613010,211086,790086,111241,31533,110643.675704947,13654.4430512682,5187980.15087368,1336904.2075725,3851075.94330118,2997321.27290574,1329725.51119848,1667595.76170726,2154291,8015626,0.565941031361275,0.667464452695247,1385640,14163359,218873,2877736,12009068,2769151,3382161,1027997,486859,97823,688541,122.623002567546,173.087222840287,100.539863025381,230.935819803146,11550328
2024,2583318,9443321,0.55676416577035,0.656800526869239,1880004,16961079,88225,3683673,14377761,2379983,2920184,680341,251287,783816,127749,31589,129339.157028079,12667.0974333952,5379381.4280819,1363879.05274535,4015502.37533655,2991060.76450131,1380855.9516735,1610204.81282781,2274356,8451105,0.56912875490843,0.672064561293459,1539583,14849197,199330,2957761,12574841,3041229,3721570,1161225,540201,111445,567202,125.159593432685,179.848617317501,98.7705525034979,249.378361270986,11864210
2025,2742753,9891479,0.553057731097018,0.653234005539838,1706853,17885075,43823,3837914,15142321,2247254,2784220,695171,243206,1148860,,,,,,,,,,,2413879,8837921,0.566460048121974,0.670141530940562,1401020,15602020,201022,3033067,13188141,2992228,3687399,1285375,536966,98264,795795,127.576027512297,,,,12229586
