year,lnY,lnK,lr_hat,ect_hat,u_hat
1947,6.929593519251817,7.220698161610256,5.116361848515916,1.8132316707359015,6.13022632860719
1948,7.012664515919358,7.282167972917149,5.159917442499631,1.852747073419727,6.377314432665859
1949,6.9937683538733895,7.32857171765096,5.1927976909009015,1.800970662972488,6.055522484074001
1950,7.108615339742517,7.456296731230456,5.283299657878785,1.8253156818637324,6.204753438099261
1951,7.180141747597595,7.496301039175964,5.3116454646647355,1.8684962829328597,6.478547169133377
1952,7.20520882341227,7.55321265460929,5.351971263004926,1.8532375604073437,6.38044318965559
1953,7.259768660629272,7.6096015473532646,5.391926676326204,1.8678419843030687,6.47430965104989
1954,7.238080118090927,7.647844145197359,5.419024190197914,1.8190559278930136,6.166034520010182
1955,7.343436880449409,7.745411916955511,5.488157674785614,1.8552792056637948,6.393483098131912
1956,7.3778873400250875,7.830503961542908,5.548451247622355,1.8294360924027329,6.230372313453543
1957,7.389787163082917,7.8810809999934275,5.584288561985521,1.805498601097396,6.0830036848320646
1958,7.3481585465585155,7.894844178436687,5.594040721614045,1.7541178249444709,5.778347978396698
1959,7.449274200358592,7.940233722954994,5.6262023393270875,1.8230718610315044,6.19084669103513
1960,7.478630051986107,7.9595236627207475,5.639870589912937,1.8387594620731695,6.288732009482777
1961,7.495021269937589,7.9860634624771984,5.658675865511229,1.8363454044263605,6.2735689574911335
1962,7.56818476106614,8.017114501701363,5.680677664906185,1.887507096159955,6.602887782622052
1963,7.618400444270705,8.04856813918969,5.702964732893313,1.915435711377392,6.789896587775583
1964,7.6798401712535505,8.096951455703907,5.737247644209855,1.9425925270436952,6.97681512650757
1965,7.754442241109394,8.15320064910115,5.777104070924591,1.9773381701848027,7.223489671829052
1966,7.8178748642834375,8.216312955552388,5.8218234858165925,1.996051378466845,7.3599370408130875
1967,7.842516879048685,8.276501461909037,5.864471187015287,1.9780456920333984,7.228602257014562
1968,7.901893019313335,8.33877456573893,5.9085959690644625,1.9932970502488727,7.339693250358715
1969,7.938576584892606,8.395743194768487,5.94896216546341,1.9896144194291958,7.312713578364765
1970,7.924109058264807,8.450630136227634,5.987853342878404,1.9362557153864026,6.9327441453099325
1971,7.952019181410016,8.505355028912598,6.026629697578576,1.9253894838314398,6.857819155489162
1972,8.013810563744858,8.555062999055668,6.061851217203827,1.951959346541031,7.042472715806673
1973,8.075346904626869,8.63092068807605,6.115601613264409,1.9597452913624602,7.097519035502577
1974,8.068063600770058,8.754987064042382,6.2035111835678185,1.8645524172022396,6.453046966708726
1975,8.057800122499385,8.78346190722595,6.223687570676955,1.8341125518224297,6.2595766299243625
1976,8.123932758813384,8.83592426991407,6.260860767081643,1.8630719917317409,6.443500779569678
1977,8.186688163695306,8.892352593713007,6.3008441200204945,1.8858440436748118,6.591915959573606
1978,8.251965825132784,8.959330853542202,6.348302829081622,1.9036629960511613,6.710429756165135
1979,8.278923089708796,9.026365050912414,6.395801173742293,1.8831219159665027,6.573996323323727
1980,8.271882173977415,9.085611283131446,6.437781208831611,1.8341009651458045,6.259504102654316
1981,8.305339570435972,9.12525598515095,6.465872210057334,1.839467360378638,6.2931853682924395
1982,8.28480878146269,9.13488939063399,6.472698141176676,1.812110640286014,6.123358008745262
1983,8.317745321734959,9.135374741946185,6.473042046001565,1.8447032757333943,6.3262223681848955
1984,8.396229838693882,9.163033375060394,6.492640092074173,1.9035897466197094,6.709938239002594
1985,8.430937570415399,9.191182896920413,6.512585966624682,1.9183516037907165,6.809724089104994
1986,8.454520511464704,9.222777069281268,6.534972613245909,1.919547898218795,6.817875398800602
1987,8.501458103276311,9.258064824993747,6.559976418003594,1.9414816852727173,6.969069291831519
1988,8.550879307817542,9.292933464652963,6.584683250178155,1.9661960576393875,7.1434514623419725
1989,8.566064471379553,9.319109138870283,6.6032305177591075,1.9628339536204455,7.119474764133552
1990,8.575856074486879,9.34474558806096,6.621395707278862,1.954460367208017,7.060108129690275
1991,8.572444182335229,9.345316569204096,6.621800286735249,1.9506438955999794,7.033214778961206
1992,8.596916015958403,9.366414766906292,6.6367498125816375,1.9601662033767653,7.100507095347408
1993,8.62068542847501,9.396847320947133,6.658313372636714,1.962372055838296,7.1161870538814185
1994,8.67156829300707,9.435557845724297,6.685742444960898,1.9858258480461721,7.2850612554442735
1995,8.714528808781354,9.474520598763442,6.713350238376566,2.0011785704047886,7.397769755588474
1996,8.753456740089034,9.509839042777969,6.738375787909379,2.0150809521796544,7.501334606011218
1997,8.80658460241035,9.549878149062959,6.766746251714989,2.0398383506953612,7.6893661177240595
1998,8.852735248288145,9.59618983744929,6.799561271855277,2.053173976432868,7.792595410189189
1999,8.901816613320463,9.642068950967476,6.832069782915353,2.0697468304051103,7.922817047539888
2000,8.947118728800508,9.68986685365703,6.865937888226845,2.081180840573663,8.01392649881178
2001,8.93015585090559,9.726061418300816,6.891584229553182,2.0385716213524088,7.679631938620808
2002,8.930297650620979,9.75853630007183,6.9145949194351735,2.0157027311858053,7.506000228730163
2003,8.948913859444197,9.780617674359112,6.9302410935914205,2.0186727658527763,7.52832644803061
2004,8.990213449455416,9.838391969582121,6.971178159964789,2.0190352894906267,7.531056139080345
2005,9.033480367187488,9.8975550111587,7.013099248755608,2.0203811184318807,7.541198475784799
2006,9.066089845963006,9.950323619606774,7.050489441368616,2.01560040459439,7.50523220460691
2007,9.059682360265692,9.978546376883893,7.070487208254966,1.9891951520107254,7.309648238464228
2008,9.02656360973209,10.027496302582788,7.105171601194287,1.9213920085378033,6.830459913227309
2009,8.993340575228311,9.998535294627553,7.084650732868212,1.9086898423600989,6.744246981001112
2010,9.036195403379446,10.018394070064652,7.098722042695953,1.9374733606834935,6.941190910152507
2011,9.06833892377881,10.044291065434116,7.117071847124002,1.9512670766548084,7.037599111140484
