"window_id","year_start","year_end","role","included_in_main_s31_tables","exclusion_reason","diagnostic_retention_status"
"prefordist_core_1929_1944",1929,1944,"predecessor",FALSE,"Excluded from main S31 tables: predecessor window, retained only as diagnostic/event context.","retained_in_S30_machine_diagnostics_only"
"pre_1974",1929,1973,"pre_reference",TRUE,"","reported_in_main_s31_tables"
"full_long_sample",1929,2024,"full_reference",TRUE,"","reported_in_main_s31_tables"
"pre_1974_alt_1940_1973",1940,1973,"support",TRUE,"","reported_in_main_s31_tables"
"bridge_1940_1978",1940,1978,"bridge",TRUE,"","reported_in_main_s31_tables"
"fordist_core",1945,1973,"benchmark",TRUE,"","reported_in_main_s31_tables"
"pre_1974_alt_1947_1974",1947,1974,"support",TRUE,"","reported_in_main_s31_tables"
"post_1974_tight",1974,1983,"support_short",FALSE,"Excluded from main S31 tables: short 1974-1983 support window is too short for main FM-OLS/IM-OLS/DOLS comparison.","retained_in_S30_machine_diagnostics_only"
"post_1974_support",1974,1987,"support",FALSE,"Excluded from main S31 tables: short 1974-1987 support window is too short for main FM-OLS/IM-OLS/DOLS comparison.","retained_in_S30_machine_diagnostics_only"
"post_1973",1974,2024,"post_reference",TRUE,"","reported_in_main_s31_tables"
