"year","asset","nominal_investment_source","deflator_or_price_source","reconstructed_real_investment","S29C_real_investment","absolute_difference","relative_difference","reconstruction_status"
1901,"ME",563,0.138046830869912,407832.614810652,407832.614810652,-3.49245965480804e-10,-8.5634633621186e-16,"PASS"
1902,"ME",634,0.138046830869912,459264.436571853,459264.436571853,-2.3283064365387e-10,-5.0696423479209e-16,"PASS"
1903,"ME",721,0.138046830869912,522286.528025719,522286.528025719,5.82076609134674e-11,1.11447754805196e-16,"PASS"
1904,"ME",621,0.138046830869912,449847.342446562,449847.342446562,4.07453626394272e-10,9.05759772144644e-16,"PASS"
1905,"ME",765,0.138046830869912,554159.769680548,554159.769680548,-1.16415321826935e-10,-2.10075375724304e-16,"PASS"
1906,"ME",999,0.138046830869912,723667.463935774,723667.463935774,3.49245965480804e-10,4.82605592880158e-16,"PASS"
1907,"ME",1143,0.138046830869912,827979.89116976,827979.89116976,-2.3283064365387e-10,-2.81203258843556e-16,"PASS"
1908,"ME",637,0.138046830869912,461437.612139228,461437.612139228,-4.65661287307739e-10,-1.00915329625804e-15,"PASS"
1909,"ME",779,0.138046830869912,564301.25566163,564301.25566163,-1.16415321826935e-10,-2.06299951770337e-16,"PASS"
1910,"ME",958,0.138046830869912,693967.39784832,693967.39784832,2.3283064365387e-10,3.35506602148419e-16,"PASS"
1911,"ME",871,0.138046830869912,630945.306394454,630945.306394454,-1.16415321826935e-10,-1.84509371330761e-16,"PASS"
1912,"ME",1247,0.138046830869912,903316.644172083,903316.644172083,-3.49245965480804e-10,-3.86626292932861e-16,"PASS"
1913,"ME",1462,0.138046830869912,1059060.89316727,1059060.89316727,-6.98491930961609e-10,-6.59538970297233e-16,"PASS"
1914,"ME",1079,0.138046830869912,781618.8123991,781618.8123991,-4.65661287307739e-10,-5.95765198995709e-16,"PASS"
1915,"ME",1142,0.138046830869912,827255.499313968,827255.499313968,2.3283064365387e-10,2.81449496373192e-16,"PASS"
1916,"ME",1863,0.138046830869912,1349542.02733969,1349542.02733969,-2.56113708019257e-09,-1.89778237973163e-15,"PASS"
1917,"ME",2787,0.138046830869912,2018880.10209109,2018880.10209109,4.19095158576965e-09,2.07587938552111e-15,"PASS"
1918,"ME",3575,0.138046830869912,2589700.88445485,2589700.88445485,-1.86264514923096e-09,-7.19251076605728e-16,"PASS"
1919,"ME",3592,0.138046830869912,2602015.5460033,2602015.5460033,4.65661287307739e-09,1.78961762170482e-15,"PASS"
1920,"ME",3963,0.138046830869912,2870764.92450198,2870764.92450198,-4.65661287307739e-09,-1.62208087236025e-15,"PASS"
1921,"ME",2947,0.138046830869912,2134782.79901774,2134782.79901774,4.65661287307739e-09,2.18130522469077e-15,"PASS"
1922,"ME",3010,0.138046830869912,2180419.48593261,2180419.48593261,3.25962901115417e-09,1.4949549993404e-15,"PASS"
1923,"ME",4195,0.138046830869912,3038823.83504562,3038823.83504562,-9.31322574615479e-10,-3.06474684012572e-16,"PASS"
1924,"ME",2987,0.138046830869912,2163758.47324941,2163758.47324941,-2.3283064365387e-09,-1.0760472877743e-15,"PASS"
1925,"ME",3723,0.165751066045442,2246139.39977877,2246139.39977877,-2.3283064365387e-09,-1.03658145027331e-15,"PASS"
1926,"ME",3311,0.175243989717178,1889365.79527979,1889365.79527979,3.72529029846191e-09,1.97171469271267e-15,"PASS"
1927,"ME",2915,0.183225105851279,1590939.18186412,1590939.18186412,-3.25962901115417e-09,-2.04887091116509e-15,"PASS"
1928,"ME",3083,0.191216837015222,1612305.71958189,1612305.71958189,-2.3283064365387e-09,-1.44408495749955e-15,"PASS"
1929,"ME",3407,0.19262019995476,1768765.68542665,1768765.68542665,2.79396772384644e-09,1.57961438695171e-15,"PASS"
1930,"ME",2778,0.189328078883266,1467294.24202991,1467294.24202991,-4.19095158576965e-09,-2.85624482514954e-15,"PASS"
1931,"ME",1850,0.186916122457718,989748.757718043,989748.757718043,0,0,"PASS"
1932,"ME",1175,0.188340889928834,623868.773501061,623868.773501061,0,0,"PASS"
1933,"ME",1167,0.214587127078197,543835.045414787,543835.045414787,3.49245965480804e-10,6.42190988656187e-16,"PASS"
1934,"ME",1566,0.245747237114414,637240.124604497,637240.124604497,-2.3283064365387e-10,-3.65373482717172e-16,"PASS"
1935,"ME",1864,0.264797719173704,703933.555703038,703933.555703038,1.16415321826935e-10,1.65378281634362e-16,"PASS"
1936,"ME",2476,0.303224462214825,816556.811384773,816556.811384773,-3.49245965480804e-10,-4.27705654538022e-16,"PASS"
1937,"ME",3121,0.33753685745016,924639.763365943,924639.763365943,1.16415321826935e-10,1.25903434439323e-16,"PASS"
1938,"ME",2304,0.370209546678964,622350.239389685,622350.239389685,0,0,"PASS"
1939,"ME",2550,0.406645590668492,627081.679604102,627081.679604102,-3.49245965480804e-10,-5.56938556555017e-16,"PASS"
1940,"ME",3356,0.458483669433521,731978.08858634,731978.08858634,-1.16415321826935e-10,-1.59042085606369e-16,"PASS"
1941,"ME",4044,0.537675013141453,752127.196012379,752127.196012379,-2.3283064365387e-10,-3.09562857038396e-16,"PASS"
1942,"ME",3244,0.595196934772763,545029.688575011,545029.688575011,-2.3283064365387e-10,-4.27188919309348e-16,"PASS"
1943,"ME",2870,0.656587524330709,437108.518460738,437108.518460738,0,0,"PASS"
1944,"ME",3724,0.695315189234166,535584.445393993,535584.445393993,-2.3283064365387e-10,-4.34722564585669e-16,"PASS"
1945,"ME",5225,0.814024529826195,641872.549112937,641872.549112937,2.3283064365387e-10,3.62736565032482e-16,"PASS"
1946,"ME",6994,0.970962315133967,720316.3182533,720316.3182533,3.49245965480804e-10,4.84850830990048e-16,"PASS"
1947,"ME",9960,1.09555711880693,909126.491811446,909126.491811446,1.16415321826935e-10,1.28051841933432e-16,"PASS"
1948,"ME",10802,1.27089522825572,849952.046387454,849952.046387454,2.3283064365387e-10,2.73933858555278e-16,"PASS"
1949,"ME",9459,1.31091520748717,721556.966154317,721556.966154317,4.65661287307739e-10,6.45356235405189e-16,"PASS"
1950,"ME",10436,1.52154947904867,685879.765574563,685879.765574563,-2.3283064365387e-10,-3.39462767878605e-16,"PASS"
1951,"ME",12449,1.66204920723565,749015.128180555,749015.128180555,-1.16415321826935e-10,-1.55424526751177e-16,"PASS"
1952,"ME",13017,1.75164167021269,743131.441855881,743131.441855881,0,0,"PASS"
1953,"ME",14044,1.89487374369912,741157.559795181,741157.559795181,4.65661287307739e-10,6.28289195938883e-16,"PASS"
1954,"ME",13541,1.97837862872881,684449.366939465,684449.366939465,-4.65661287307739e-10,-6.80344390396556e-16,"PASS"
1955,"ME",15098,2.20645052513897,684266.419209607,684266.419209607,1.16415321826935e-10,1.70131572379959e-16,"PASS"
1956,"ME",18027,2.52481092686332,713994.058255907,713994.058255907,0,0,"PASS"
1957,"ME",20136,2.76646578559073,727860.077101959,727860.077101959,-1.16415321826935e-10,-1.59941897473554e-16,"PASS"
1958,"ME",17088,2.92915944180703,583375.549862804,583375.549862804,0,0,"PASS"
1959,"ME",19106,3.14490235778953,607522.836207516,607522.836207516,1.16415321826935e-10,1.91622956189864e-16,"PASS"
1960,"ME",20871,3.31711183671328,629191.93043186,629191.93043186,-4.65661287307739e-10,-7.40094182371541e-16,"PASS"
1961,"ME",20399,3.47387197431603,587212.198688363,587212.198688363,-1.16415321826935e-10,-1.98250857333972e-16,"PASS"
1962,"ME",22774,3.68728884522057,617635.367229759,617635.367229759,-2.3283064365387e-10,-3.76971035026978e-16,"PASS"
1963,"ME",24515,3.89492382466497,629408.971871451,629408.971871451,4.65661287307739e-10,7.39838972938639e-16,"PASS"
1964,"ME",27685,4.12167900285637,671692.288041208,671692.288041208,0,0,"PASS"
1965,"ME",33400,4.33471686694489,770523.220436779,770523.220436779,-3.49245965480804e-10,-4.53258196791046e-16,"PASS"
1966,"ME",39291,4.66579109862621,842107.997753453,842107.997753453,-2.3283064365387e-10,-2.76485491498724e-16,"PASS"
1967,"ME",39600,5.03555286166064,786408.18769879,786408.18769879,1.16415321826935e-10,1.48034218931002e-16,"PASS"
1968,"ME",43575,5.46754322156365,796975.867116019,796975.867116019,-4.65661287307739e-10,-5.84285304638906e-16,"PASS"
1969,"ME",48513,5.90662323377982,821332.224519679,821332.224519679,1.16415321826935e-10,1.41739625393385e-16,"PASS"
1970,"ME",48645,6.45177606178546,753978.432204574,753978.432204574,-2.3283064365387e-10,-3.0880279025103e-16,"PASS"
