"year","asset","nominal_investment_source","nominal_index_1947_100","nominal_index_first_valid_100","nominal_growth_percent"
1901,"ME",563,5.65261044176707,100,NA
1902,"ME",634,6.36546184738956,112.611012433393,12.6110124333925
1903,"ME",721,7.23895582329317,128.063943161634,13.7223974763407
1904,"ME",621,6.23493975903614,110.301953818828,-13.869625520111
1905,"ME",765,7.68072289156626,135.879218472469,23.1884057971014
1906,"ME",999,10.0301204819277,177.442273534636,30.5882352941176
1907,"ME",1143,11.4759036144578,203.019538188277,14.4144144144144
1908,"ME",637,6.39558232931727,113.143872113677,-44.2694663167104
1909,"ME",779,7.82128514056225,138.365896980462,22.2919937205651
1910,"ME",958,9.61847389558233,170.159857904085,22.9781771501926
1911,"ME",871,8.74497991967871,154.706927175844,-9.08141962421712
1912,"ME",1247,12.5200803212851,221.492007104796,43.1687715269805
1913,"ME",1462,14.6787148594378,259.680284191829,17.2413793103448
1914,"ME",1079,10.8333333333333,191.651865008881,-26.1969904240766
1915,"ME",1142,11.4658634538153,202.841918294849,5.83873957367933
1916,"ME",1863,18.7048192771084,330.905861456483,63.1348511383538
1917,"ME",2787,27.9819277108434,495.026642984014,49.597423510467
1918,"ME",3575,35.8935742971888,634.991119005329,28.2741298887693
1919,"ME",3592,36.0642570281125,638.010657193606,0.475524475524476
1920,"ME",3963,39.789156626506,703.907637655417,10.3285077951002
1921,"ME",2947,29.5883534136546,523.445825932504,-25.6371435780974
1922,"ME",3010,30.2208835341365,534.635879218472,2.13776722090261
1923,"ME",4195,42.1184738955823,745.115452930728,39.3687707641196
1924,"ME",2987,29.9899598393574,530.550621669627,-28.7961859356377
1925,"ME",3723,37.3795180722892,661.278863232682,24.6401071309006
1926,"ME",3311,33.2429718875502,588.09946714032,-11.0663443459576
1927,"ME",2915,29.2670682730924,517.761989342806,-11.9601328903654
1928,"ME",3083,30.9538152610442,547.602131438721,5.76329331046312
1929,"ME",3407,34.2068273092369,605.150976909414,10.5092442426208
1930,"ME",2778,27.8915662650602,493.428063943162,-18.4619900205459
1931,"ME",1850,18.574297188755,328.596802841918,-33.4053275737941
1932,"ME",1175,11.7971887550201,208.703374777975,-36.4864864864865
1933,"ME",1167,11.7168674698795,207.282415630551,-0.680851063829787
1934,"ME",1566,15.7228915662651,278.152753108348,34.1902313624679
1935,"ME",1864,18.714859437751,331.083481349911,19.029374201788
1936,"ME",2476,24.859437751004,439.786856127886,32.8326180257511
1937,"ME",3121,31.3353413654618,554.351687388988,26.0500807754443
1938,"ME",2304,23.1325301204819,409.236234458259,-26.1775072092278
1939,"ME",2550,25.6024096385542,452.930728241563,10.6770833333333
1940,"ME",3356,33.6947791164659,596.092362344583,31.6078431372549
1941,"ME",4044,40.6024096385542,718.294849023091,20.5005959475566
1942,"ME",3244,32.570281124498,576.198934280639,-19.782393669634
1943,"ME",2870,28.8152610441767,509.769094138543,-11.5289765721332
1944,"ME",3724,37.3895582329317,661.45648312611,29.7560975609756
1945,"ME",5225,52.4598393574297,928.063943161634,40.3061224489796
1946,"ME",6994,70.2208835341365,1242.27353463588,33.8564593301435
1947,"ME",9960,100,1769.09413854352,42.4077780955104
1948,"ME",10802,108.453815261044,1918.65008880995,8.45381526104418
1949,"ME",9459,94.9698795180723,1680.10657193606,-12.4328827994816
1950,"ME",10436,104.779116465863,1853.64120781528,10.3287873982451
1951,"ME",12449,124.989959839357,2211.19005328597,19.2889996167114
1952,"ME",13017,130.692771084337,2312.07815275311,4.56261547112218
1953,"ME",14044,141.004016064257,2494.49378330373,7.88968272259353
1954,"ME",13541,135.953815261044,2405.15097690941,-3.58160068356594
1955,"ME",15098,151.586345381526,2681.70515097691,11.4984122295251
1956,"ME",18027,180.993975903614,3201.95381882771,19.3999205192741
1957,"ME",20136,202.168674698795,3576.5541740675,11.6991179896821
1958,"ME",17088,171.566265060241,3035.16873889876,-15.1370679380215
1959,"ME",19106,191.827309236948,3393.60568383659,11.809456928839
1960,"ME",20871,209.548192771084,3707.10479573712,9.23793572699675
1961,"ME",20399,204.809236947791,3623.26820603908,-2.26151118777251
1962,"ME",22774,228.654618473896,4045.11545293073,11.6427275846855
1963,"ME",24515,246.13453815261,4354.35168738899,7.64468253271274
1964,"ME",27685,277.961847389558,4917.40674955595,12.9308586579645
1965,"ME",33400,335.341365461847,5932.50444049734,20.6429474444645
1966,"ME",39291,394.487951807229,6978.86323268206,17.6377245508982
1967,"ME",39600,397.590361445783,7033.74777975133,0.786439642666259
1968,"ME",43575,437.5,7739.78685612789,10.0378787878788
1969,"ME",48513,487.078313253012,8616.87388987567,11.3321858864028
1970,"ME",48645,488.403614457831,8640.31971580817,0.272092016572877
1971,"ME",49862,500.622489959839,8856.48312611012,2.50179874601706
1972,"ME",57532,577.630522088353,10218.8277087034,15.3824555773936
1973,"ME",69163,694.407630522088,12284.7246891652,20.2165751234096
1974,"ME",77367,776.777108433735,13741.918294849,11.8618336393737
1975,"ME",78218,785.321285140562,13893.0728241563,1.09995217599235
1976,"ME",88806,891.626506024096,15773.7122557726,13.5365261193076
1977,"ME",110693,1111.37550200803,19661.2788632327,24.6458572618967
1978,"ME",133246,1337.81124497992,23667.1403197158,20.3743687496048
1979,"ME",154049,1546.67670682731,27362.1669626998,15.6124761718926
1980,"ME",160983,1616.29518072289,28593.78330373,4.50116521366578
1981,"ME",178582,1792.99196787149,31719.7158081705,10.9322102333787
1982,"ME",172988,1736.82730923695,30726.1101243339,-3.13245455869013
1983,"ME",178185,1789.00602409639,31649.2007104796,3.00425463037899
1984,"ME",209990,2108.33333333333,37298.4014209591,17.8494261582064
1985,"ME",219164,2200.44176706827,38927.8863232682,4.36877946568884
1986,"ME",218377,2192.54016064257,38788.0994671403,-0.359091821649541
1987,"ME",217507,2183.80522088353,38633.5701598579,-0.398393603722004
1988,"ME",235044,2359.87951807229,41748.4902309059,8.06272901561789
1989,"ME",252488,2535.02008032129,44846.891651865,7.42158914926567
1990,"ME",260938,2619.859437751,46347.7797513321,3.34669370425525
1991,"ME",258173,2592.0983935743,45856.6607460036,-1.05963868811748
1992,"ME",278060,2791.76706827309,49388.9875666075,7.70297436215251
1993,"ME",309640,3108.83534136546,54998.2238010657,11.3572610228008
1994,"ME",348233,3496.31526104418,61853.108348135,12.4638289626663
1995,"ME",392489,3940.65261044177,69713.8543516874,12.7087323717166
1996,"ME",419632,4213.17269076305,74534.9911190053,6.91560782595181
1997,"ME",452418,4542.34939759036,80358.4369449378,7.8130361840851
1998,"ME",472594,4744.91967871486,83942.0959147425,4.45959267756809
1999,"ME",509512,5115.58232931727,90499.4671403197,7.81177924391761
2000,"ME",548834,5510.38152610442,97483.836589698,7.71758074392752
2001,"ME",498324,5003.25301204819,88512.2557726465,-9.20314703535131
2002,"ME",438110,4398.69477911647,77817.0515097691,-12.0833032324351
2003,"ME",445329,4471.17469879518,79099.2895204263,1.64775969505375
2004,"ME",479955,4818.82530120482,85249.5559502664,7.77537505978726
2005,"ME",537595,5397.54016064257,95487.56660746,12.0094592201352
2006,"ME",591246,5936.20481927711,105017.051509769,9.97981752062426
2007,"ME",610903,6133.56425702811,108508.525754885,3.32467365529746
2008,"ME",592308,5946.86746987952,105205.68383659,-3.04385475271852
2009,"ME",462764,4646.22489959839,82196.0923623446,-21.8710535734787
2010,"ME",547722,5499.21686746988,97286.323268206,18.3588178855745
2011,"ME",629358,6318.85542168675,111786.500888099,14.9046414056766
2012,"ME",693911,6966.97791164659,123252.397868561,10.2569602674471
2013,"ME",703424,7062.48995983936,124942.095914742,1.37092508981699
2014,"ME",771158,7742.55020080321,136973.001776199,9.62918524247111
2015,"ME",782557,7856.99799196787,138997.690941385,1.47816660139686
2016,"ME",760222,7632.75100401606,135030.55062167,-2.85410519617101
2017,"ME",802342,8055.64257028112,142511.90053286,5.54048685778628
2018,"ME",853606,8570.34136546185,151617.406749556,6.3892953378983
2019,"ME",833030,8363.75502008032,147962.69982238,-2.41047977638395
2020,"ME",746990,7499.89959839357,132680.284191829,-10.3285595956928
2021,"ME",829611,8329.42771084337,147355.41740675,11.0605228985662
2022,"ME",913541,9172.0983935743,162263.055062167,10.1167896761253
2023,"ME",979172,9831.04417670683,173920.426287744,7.18424241495456
2024,"ME",1028975,10331.0742971888,182766.429840142,5.08623612603302
1901,"NRC",998,19.0712784253774,100,NA
1902,"NRC",1275,24.3646092107778,127.755511022044,27.7555110220441
1903,"NRC",1426,27.2501433212307,142.885771543086,11.843137254902
1904,"NRC",1319,25.2054270972673,132.164328657315,-7.50350631136045
1905,"NRC",1305,24.9378941333843,130.761523046092,-1.06141015921152
1906,"NRC",1483,28.3393846741831,148.597194388778,13.639846743295
1907,"NRC",1633,31.2058092872157,163.627254509018,10.1146325016858
1908,"NRC",1431,27.3456908083317,143.386773547094,-12.369871402327
1909,"NRC",1646,31.4542327536786,164.929859719439,15.0244584206848
1910,"NRC",1934,36.9577680107013,193.787575150301,17.4969623329283
1911,"NRC",1793,34.2633288744506,179.659318637275,-7.29058945191313
1912,"NRC",1793,34.2633288744506,179.659318637275,0
1913,"NRC",1807,34.5308618383336,181.062124248497,0.780814277746793
1914,"NRC",1437,27.460347792853,143.987975951904,-20.4759269507471
1915,"NRC",1162,22.2052360022931,116.432865731463,-19.1370911621434
1916,"NRC",1541,29.4477355245557,154.408817635271,32.6161790017212
1917,"NRC",1743,33.3078540034397,174.649298597194,13.1083711875406
1918,"NRC",1762,33.6709344544239,176.553106212425,1.09007458405049
1919,"NRC",2035,38.8878272501433,203.907815631263,15.4937570942111
1920,"NRC",3168,60.5388878272501,317.434869739479,55.6756756756757
1921,"NRC",2148,41.0472004586279,215.230460921844,-32.1969696969697
1922,"NRC",2346,44.8308809478311,235.070140280561,9.21787709497207
1923,"NRC",3035,57.9973246703612,304.108216432866,29.3691389599318
1924,"NRC",3128,59.7745079304414,313.426853707415,3.06425041186161
1925,"NRC",3067,58.6088285878081,307.314629258517,-1.95012787723785
1926,"NRC",3583,68.4693292566405,359.018036072144,16.8242582328008
1927,"NRC",3537,67.5902923753105,354.408817635271,-1.28384035724253
1928,"NRC",3498,66.845021975922,350.501002004008,-1.10262934690416
1929,"NRC",3892,74.3741639594879,389.97995991984,11.2635791881075
1930,"NRC",3245,62.0103191286069,325.150300601202,-16.6238437821172
1931,"NRC",1941,37.0915344926428,194.488977955912,-40.1848998459168
1932,"NRC",1054,20.1414102809096,105.61122244489,-45.6980937661
1933,"NRC",892,17.0456716988343,89.3787575150301,-15.3700189753321
1934,"NRC",1014,19.3770303841009,101.603206412826,13.6771300448431
1935,"NRC",1139,21.7657175616281,114.128256513026,12.32741617357
