"year","asset","deflator_or_price_source","deflator_index_1947_100","deflator_index_first_valid_100","deflator_growth_percent","price_status"
1901,"ME",0.138046830869912,12.6006055275553,100,NA,"INITIALIZATION_SEED_PRICE"
1902,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1903,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1904,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1905,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1906,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1907,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1908,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1909,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1910,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1911,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1912,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1913,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1914,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1915,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1916,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1917,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1918,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1919,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1920,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1921,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1922,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1923,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1924,"ME",0.138046830869912,12.6006055275553,100,0,"INITIALIZATION_SEED_PRICE"
1925,"ME",0.165751066045442,15.1293860630422,120.068722332088,20.0687223320882,"RECOVERED_SFC_BASELINE_PRICE"
