"asset","max_absolute_difference","max_relative_difference","mean_absolute_difference","years_with_nonzero_differences","reconstruction_pass","notes"
"ME",4.65661287307739e-09,2.85624482514954e-15,5.87709608577913e-10,"",TRUE,"S29C real investment is mechanically reproducible from S12D_B nominal and price columns."
"NRC",4.88944351673126e-09,4.76139738881663e-15,1.37398244752999e-09,"",TRUE,"S29C real investment is mechanically reproducible from S12D_B nominal and price columns."
