"e","P1","P2","theta"
0.341825897819409,-0.148616301804901,0.0449982176343876,4.86192254620359
0.354671532026407,-0.125931893442312,0.00845674278359009,2.50933140320765
0.368789256012223,-0.101001071741807,-0.023695065838317,0.358410818875138
0.381784574802264,-0.0780523318442697,-0.04587813562123,-1.21919399468251
0.390025940178764,-0.0634987103839932,-0.0562641388954613,-2.01983884450429
0.39961038961039,-0.0465733051191332,-0.0647483889653992,-2.75588367206416
0.405491940288148,-0.0361869360828064,-0.0680410992208822,-3.10369742426185
0.409514211821628,-0.0290839119315382,-0.0694548513594631,-3.29607485955532
0.417260809622612,-0.0154040122001152,-0.0702596314840362,-3.56248168422974
0.424554513790917,-0.00252388801445124,-0.0687095089734322,-3.68805672964829
0.429414519906323,0.00605851138989207,-0.0664339669586288,-3.70428723226182
0.439879904726399,0.0245395812307972,-0.058159691871149,-3.55610601266047
0.449116046048299,0.0408499009911418,-0.0470291044611677,-3.2175580357664
0.464490488364782,0.0679999912267931,-0.0205409637012916,-2.22197889543424
0.470131808512488,0.0779621315051579,-0.00832752334628919,-1.72130268767849
0.476891018487732,0.0898983797912395,0.00806949895982713,-1.02570745205994
0.488105272063964,0.109701894627921,0.0395143025538983,0.35850289630033
0.495386447705305,0.122559894392381,0.0627638906377725,1.4110077991085
0.509121252495722,0.146814510056007,0.112693231598632,3.72598022529217
