"window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC","within_window_rank","criterion","ecdet_label"
"ford","trend",7,3,49,4,-34.8510116357856,127,-24.7640488223152,459.410166224264,1,"PIC","Trend"
"ford","trend",7,2,49,4,-34.2557596876222,124,-24.407071586281,448.329957278095,2,"PIC","Trend"
"ford","trend",5,3,49,4,-31.1999214886855,95,-23.6545556045934,338.523006831824,3,"PIC","Trend"
"ford","trend",6,3,49,4,-32.2805539696871,111,-23.4643896209059,399.711499120592,4,"PIC","Trend"
"ford","trend",7,1,49,4,-32.8535940982174,119,-23.4020305170916,430.273021376947,5,"PIC","Trend"
"full","trend",1,3,99,4,-23.0102343921763,31,-21.5713584795079,119.438480961996,1,"PIC","Trend"
"full","trend",1,2,99,4,-22.8314382196708,28,-21.5318083630671,105.831917584098,2,"PIC","Trend"
"full","trend",1,1,99,4,-22.5414241262291,23,-21.4738710297332,83.1463324268665,3,"PIC","Trend"
"full","none",1,1,99,4,-22.5384156078941,23,-21.4708625113982,83.1493409452015,4,"PIC","No Constant"
"full","none",1,2,99,4,-22.7187175349886,28,-21.4190876783849,105.94463826878,5,"PIC","No Constant"
"post","trend",7,3,50,4,-33.3175657816928,127,-23.3810273479053,463.509355907682,1,"PIC","Trend"
"post","trend",1,3,50,4,-25.3383582715443,31,-22.9129040081789,95.9343548967282,2,"PIC","Trend"
"post","trend",1,2,50,4,-25.044246355202,28,-22.8535134721622,84.4923977967861,3,"PIC","Trend"
"post","trend",1,1,50,4,-24.6236102290017,23,-22.8240796465048,65.3529188958456,4,"PIC","Trend"
"post","trend",7,2,50,4,-32.5090077380009,124,-22.8071906845391,452.581844935089,5,"PIC","Trend"
