file,window,ecdet,computed,gate_fail,missing,total
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,const,12,20,3,35
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,12,20,3,35
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,const,28,0,7,35
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,none,28,0,7,35
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,const,12,20,3,35
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,none,16,15,4,35
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,const,12,20,3,35
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,12,20,3,35
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,const,28,0,7,35
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,none,28,0,7,35
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,const,12,20,3,35
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,none,16,15,4,35
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,const,10,30,2,42
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,none,15,24,3,42
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,const,35,0,7,42
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,none,35,0,7,42
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,const,10,30,2,42
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,none,15,24,3,42
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,const,10,30,2,42
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,none,15,24,3,42
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,const,35,0,7,42
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,none,35,0,7,42
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,const,10,30,2,42
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,none,15,24,3,42
