run_tag,window,ecdet,total,computed,gate_fail,runtime_fail,missing,computed_comparable,computed_share,computed_comparable_share,comparable_among_computed
Q2_ortho,fordism,const,35,12,20,0,3,12,0.34285714285714286,0.34285714285714286,1
Q2_ortho,fordism,none,35,12,20,0,3,12,0.34285714285714286,0.34285714285714286,1
Q2_ortho,full,const,35,28,0,0,7,28,0.8,0.8,1
Q2_ortho,full,none,35,28,0,0,7,28,0.8,0.8,1
Q2_ortho,post_fordism,const,35,12,20,0,3,12,0.34285714285714286,0.34285714285714286,1
Q2_ortho,post_fordism,none,35,16,15,0,4,16,0.45714285714285713,0.45714285714285713,1
Q2_raw,fordism,const,35,12,20,0,3,12,0.34285714285714286,0.34285714285714286,1
Q2_raw,fordism,none,35,12,20,0,3,12,0.34285714285714286,0.34285714285714286,1
Q2_raw,full,const,35,28,0,0,7,28,0.8,0.8,1
Q2_raw,full,none,35,28,0,0,7,28,0.8,0.8,1
Q2_raw,post_fordism,const,35,12,20,0,3,12,0.34285714285714286,0.34285714285714286,1
Q2_raw,post_fordism,none,35,16,15,0,4,16,0.45714285714285713,0.45714285714285713,1
Q3_ortho,fordism,const,42,10,30,0,2,10,0.23809523809523808,0.23809523809523808,1
Q3_ortho,fordism,none,42,15,24,0,3,15,0.35714285714285715,0.35714285714285715,1
Q3_ortho,full,const,42,35,0,0,7,35,0.8333333333333334,0.8333333333333334,1
Q3_ortho,full,none,42,35,0,0,7,35,0.8333333333333334,0.8333333333333334,1
Q3_ortho,post_fordism,const,42,10,30,0,2,10,0.23809523809523808,0.23809523809523808,1
Q3_ortho,post_fordism,none,42,15,24,0,3,15,0.35714285714285715,0.35714285714285715,1
Q3_raw,fordism,const,42,10,30,0,2,10,0.23809523809523808,0.23809523809523808,1
Q3_raw,fordism,none,42,15,24,0,3,15,0.35714285714285715,0.35714285714285715,1
Q3_raw,full,const,42,35,0,0,7,35,0.8333333333333334,0.8333333333333334,1
Q3_raw,full,none,42,35,0,0,7,35,0.8333333333333334,0.8333333333333334,1
Q3_raw,post_fordism,const,42,10,30,0,2,10,0.23809523809523808,0.23809523809523808,1
Q3_raw,post_fordism,none,42,15,24,0,3,15,0.35714285714285715,0.35714285714285715,1
