"window","ecdet","p","r_trace_10","r_trace_05","r_trace_01","r_eigen_10","r_eigen_05","r_eigen_01","ecdet_label","disagree_05","disagree_10","disagree_01"
"full","none",1,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"full","none",2,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"full","none",3,4,4,0,0,0,0,"No Constant",TRUE,TRUE,FALSE
"full","none",4,4,4,0,0,0,0,"No Constant",TRUE,TRUE,FALSE
"full","none",5,4,4,0,0,0,0,"No Constant",TRUE,TRUE,FALSE
"full","none",6,4,0,0,0,0,0,"No Constant",FALSE,TRUE,FALSE
"full","none",7,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"full","const",1,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"full","const",2,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"full","const",3,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"full","const",4,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"full","const",5,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"full","const",6,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"full","const",7,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"full","trend",1,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"full","trend",2,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"full","trend",3,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"full","trend",4,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"full","trend",5,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"full","trend",6,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"full","trend",7,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"ford","none",1,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"ford","none",2,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"ford","none",3,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"ford","none",4,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"ford","none",5,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"ford","none",6,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"ford","none",7,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"ford","const",1,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"ford","const",2,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"ford","const",3,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"ford","const",4,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"ford","const",5,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"ford","const",6,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"ford","const",7,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"ford","trend",1,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"ford","trend",2,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"ford","trend",3,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"ford","trend",4,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"ford","trend",5,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"ford","trend",6,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"ford","trend",7,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"post","none",1,4,4,0,0,0,0,"No Constant",TRUE,TRUE,FALSE
"post","none",2,4,0,0,0,0,0,"No Constant",FALSE,TRUE,FALSE
"post","none",3,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"post","none",4,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"post","none",5,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"post","none",6,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"post","none",7,4,4,4,0,0,0,"No Constant",TRUE,TRUE,TRUE
"post","const",1,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"post","const",2,4,4,0,0,0,0,"Constant",TRUE,TRUE,FALSE
"post","const",3,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"post","const",4,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"post","const",5,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"post","const",6,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"post","const",7,4,4,4,0,0,0,"Constant",TRUE,TRUE,TRUE
"post","trend",1,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"post","trend",2,4,4,0,0,0,0,"Trend",TRUE,TRUE,FALSE
"post","trend",3,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"post","trend",4,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"post","trend",5,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"post","trend",6,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
"post","trend",7,4,4,4,0,0,0,"Trend",TRUE,TRUE,TRUE
