window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,1,0,99,6,2,TRUE,98,35,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q3,ortho
full,none,1,1,99,6,2,TRUE,98,35,TRUE,NA,462.4727260677998,12,-840.8550435074671,-869.8040139339845,TRUE,computed,-840.8550435074671,-869.8040139339845,Q3,ortho
full,none,1,2,99,6,2,TRUE,98,35,TRUE,NA,481.4123479496603,24,-794.6438786430557,-852.5418194960904,TRUE,computed,-794.6438786430557,-852.5418194960904,Q3,ortho
full,none,1,3,99,6,2,TRUE,98,35,TRUE,NA,492.5753947781829,36,-732.8795636719685,-819.7264749515206,TRUE,computed,-732.8795636719685,-819.7264749515206,Q3,ortho
full,none,1,4,99,6,2,TRUE,98,35,TRUE,NA,499.54538260393093,48,-662.7291306953323,-778.5250124014016,TRUE,computed,-662.7291306953323,-778.5250124014016,Q3,ortho
full,none,1,5,99,6,2,TRUE,98,35,TRUE,NA,502.3509620412611,60,-584.24988094186,-728.9947330744468,TRUE,computed,-584.24988094186,-728.9947330744468,Q3,ortho
full,none,2,0,99,6,3,TRUE,97,40,TRUE,NA,NA,36,NA,NA,TRUE,missing,NA,NA,Q3,ortho
full,none,2,1,99,6,3,TRUE,97,40,TRUE,NA,484.59780166460416,48,-632.8339688166786,-748.629850522748,TRUE,computed,-632.8339688166786,-748.629850522748,Q3,ortho
full,none,2,2,99,6,3,TRUE,97,40,TRUE,NA,500.9895584837112,60,-581.5270738267604,-726.2719259593471,TRUE,computed,-581.5270738267604,-726.2719259593471,Q3,ortho
full,none,2,3,99,6,3,TRUE,97,40,TRUE,NA,513.3077770384841,72,-522.0731023081737,-695.7669248672778,TRUE,computed,-522.0731023081737,-695.7669248672778,Q3,ortho
full,none,2,4,99,6,3,TRUE,97,40,TRUE,NA,520.988114089826,84,-453.3433677827252,-655.9861607683465,TRUE,computed,-453.3433677827252,-655.9861607683465,Q3,ortho
full,none,2,5,99,6,3,TRUE,97,40,TRUE,NA,522.732668812117,96,-372.7420685991748,-604.3338320113135,TRUE,computed,-372.7420685991748,-604.3338320113135,Q3,ortho
