"window","T_eff","m","ecdet_levels","p_levels","grid_points"
"full",99,5,"Constant, No Constant","1,2,3,4,5,6,7",70
"ford",49,5,"Constant, No Constant","1,2,3,4,5",45
"post",50,5,"Constant, No Constant","1,2,3,4,5",45
