"grid","window","ecdet","p","m","T","reason"
"comparable","fordism","const",1,4,49,"gate_fail: T_eff=47 <= min_eff=50"
"comparable","post_fordism","const",1,4,50,"gate_fail: T_eff=48 <= min_eff=50"
