file,window,ecdet,p,r,BIC_obs
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,const,1,1,-914.3144069673413
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,fordism,none,1,1,-924.9249984300986
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,const,1,1,-1613.5710698850976
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,full,none,1,1,-1633.9015123707989
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,const,1,1,-1048.0096371759182
APPX_grid_pic_table_Q2_ortho_unrestricted.csv,post_fordism,none,1,1,-1066.7848594306
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,const,1,1,-916.5073745166252
APPX_grid_pic_table_Q2_raw_unrestricted.csv,fordism,none,1,1,-927.1179659793866
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,const,1,1,-1618.0969816357383
APPX_grid_pic_table_Q2_raw_unrestricted.csv,full,none,1,1,-1638.4274241214423
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,const,1,1,-1050.24926360923
APPX_grid_pic_table_Q2_raw_unrestricted.csv,post_fordism,none,1,1,-1069.0244858639037
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,const,1,2,-1079.0800154415422
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,fordism,none,1,2,-1093.6667289289398
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,const,1,1,-1816.6713037998315
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,full,none,1,1,-1836.448746956249
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,const,1,1,-1154.7509817605048
APPX_grid_pic_table_Q3_ortho_unrestricted.csv,post_fordism,none,1,1,-1170.621902367715
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,const,1,2,-1464.9314140895383
APPX_grid_pic_table_Q3_raw_unrestricted.csv,fordism,none,1,2,-1479.5181275758248
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,const,1,1,-2613.002913775354
APPX_grid_pic_table_Q3_raw_unrestricted.csv,full,none,1,1,-2632.780356931634
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,const,1,1,-1548.8119846348973
APPX_grid_pic_table_Q3_raw_unrestricted.csv,post_fordism,none,1,1,-1564.6829052422218
