window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,1,0,99,6,2,TRUE,98,35,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q3,ortho
full,none,1,1,99,6,2,TRUE,98,35,TRUE,NA,945.795092578932,12,-1807.4997765297317,-1836.448746956249,TRUE,computed,-1807.4997765297317,-1836.448746956249,Q3,ortho
full,none,1,2,99,6,2,TRUE,98,35,TRUE,NA,964.7347144607899,24,-1761.2886116653149,-1819.1865525183496,TRUE,computed,-1761.2886116653149,-1819.1865525183496,Q3,ortho
full,none,1,3,99,6,2,TRUE,98,35,TRUE,NA,975.8977612892996,36,-1699.5242966942021,-1786.371207973754,TRUE,computed,-1699.5242966942021,-1786.371207973754,Q3,ortho
full,none,1,4,99,6,2,TRUE,98,35,TRUE,NA,982.867749115076,48,-1629.3738637176223,-1745.1697454236917,TRUE,computed,-1629.3738637176223,-1745.1697454236917,Q3,ortho
full,none,1,5,99,6,2,TRUE,98,35,TRUE,NA,985.6733285523627,60,-1550.8946139640634,-1695.63946609665,TRUE,computed,-1550.8946139640634,-1695.63946609665,Q3,ortho
full,none,2,0,99,6,3,TRUE,97,40,TRUE,NA,NA,36,NA,NA,TRUE,missing,NA,NA,Q3,ortho
full,none,2,1,99,6,3,TRUE,97,40,TRUE,NA,962.9374633663658,48,-1589.513292220202,-1705.3091739262713,TRUE,computed,-1589.513292220202,-1705.3091739262713,Q3,ortho
full,none,2,2,99,6,3,TRUE,97,40,TRUE,NA,979.3292201854493,60,-1538.2063972302367,-1682.9512493628233,TRUE,computed,-1538.2063972302367,-1682.9512493628233,Q3,ortho
full,none,2,3,99,6,3,TRUE,97,40,TRUE,NA,991.6474387402243,72,-1478.752425711654,-1652.4462482707581,TRUE,computed,-1478.752425711654,-1652.4462482707581,Q3,ortho
full,none,2,4,99,6,3,TRUE,97,40,TRUE,NA,999.3277757915768,84,-1410.0226911862267,-1612.665484171848,TRUE,computed,-1410.0226911862267,-1612.665484171848,Q3,ortho
full,none,2,5,99,6,3,TRUE,97,40,TRUE,NA,1001.072330513864,96,-1329.4213920026687,-1561.0131554148074,TRUE,computed,-1329.4213920026687,-1561.0131554148074,Q3,ortho
full,none,3,0,99,6,4,TRUE,96,45,TRUE,NA,NA,72,NA,NA,TRUE,missing,NA,NA,Q3,ortho
full,none,3,1,99,6,4,TRUE,96,45,TRUE,NA,987.4513746506992,84,-1386.2698889044716,-1588.912681890093,TRUE,computed,-1386.2698889044716,-1588.912681890093,Q3,ortho
full,none,3,2,99,6,4,TRUE,96,45,TRUE,NA,1003.3547225458102,96,-1333.9861760665613,-1565.5779394786998,TRUE,computed,-1333.9861760665613,-1565.5779394786998,Q3,ortho
full,none,3,3,99,6,4,TRUE,96,45,TRUE,NA,1016.4357659914655,108,-1276.0578543297393,-1536.5985881683953,TRUE,computed,-1276.0578543297393,-1536.5985881683953,Q3,ortho
full,none,3,4,99,6,4,TRUE,96,45,TRUE,NA,1021.2487681413891,120,-1201.5934500014541,-1491.0831542666274,TRUE,computed,-1201.5934500014541,-1491.0831542666274,Q3,ortho
full,none,3,5,99,6,4,TRUE,96,45,TRUE,NA,1023.9781714207954,132,-1122.9618479321343,-1441.400522623825,TRUE,computed,-1122.9618479321343,-1441.400522623825,Q3,ortho
full,none,4,0,99,6,5,TRUE,95,50,TRUE,NA,NA,108,NA,NA,TRUE,missing,NA,NA,Q3,ortho
full,none,4,1,99,6,5,TRUE,95,50,TRUE,NA,1009.0202244514076,120,-1177.1363626214911,-1466.6260668866644,TRUE,computed,-1177.1363626214911,-1466.6260668866644,Q3,ortho
full,none,4,2,99,6,5,TRUE,95,50,TRUE,NA,1032.806695392594,132,-1140.6188958757316,-1459.0575705674223,TRUE,computed,-1140.6188958757316,-1459.0575705674223,Q3,ortho
full,none,4,3,99,6,5,TRUE,95,50,TRUE,NA,1045.3875074080668,144,-1081.6901112785445,-1429.0777563967526,TRUE,computed,-1081.6901112785445,-1429.0777563967526,Q3,ortho
full,none,4,4,99,6,5,TRUE,95,50,TRUE,NA,1051.7241749239306,156,-1010.2730376821398,-1386.6096532268652,TRUE,computed,-1010.2730376821398,-1386.6096532268652,Q3,ortho
