window,ecdet,spec,basis,e_linear,e_linear_mode,p,r,PIC_obs,PIC_min,dPIC,ambiguity_n,vars
fordism,const,Q2,ortho,FALSE,none,1,1,-898.9508746223386,-898.9508746223386,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
fordism,const,Q2,raw,FALSE,none,1,1,-901.1438421716224,-901.1438421716224,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
fordism,const,Q3,ortho,FALSE,none,1,1,-1055.8805596628304,-1055.8805596628304,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
fordism,const,Q3,raw,FALSE,none,1,1,-1441.7319583107462,-1441.7319583107462,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
fordism,none,Q2,ortho,FALSE,none,1,1,-910.9581508437326,-910.9581508437326,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
fordism,none,Q2,raw,FALSE,none,1,1,-913.1511183930204,-913.1511183930204,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
fordism,none,Q3,ortho,FALSE,none,1,1,-1069.176693337181,-1069.176693337181,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
fordism,none,Q3,raw,FALSE,none,1,1,-1455.028091984594,-1455.028091984594,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
full,const,Q2,ortho,FALSE,none,1,1,-1587.03451366079,-1587.03451366079,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
full,const,Q2,raw,FALSE,none,1,1,-1591.5604254114307,-1591.5604254114307,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
full,const,Q3,ortho,FALSE,none,1,1,-1785.3099191711044,-1785.3099191711044,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
full,const,Q3,raw,FALSE,none,1,1,-2581.641529146627,-2581.641529146627,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
full,none,Q2,ortho,FALSE,none,1,1,-1609.7773703487012,-1609.7773703487012,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
full,none,Q2,raw,FALSE,none,1,1,-1614.3032820993446,-1614.3032820993446,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
full,none,Q3,ortho,FALSE,none,1,1,-1807.4997765297317,-1807.4997765297317,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
full,none,Q3,raw,FALSE,none,1,1,-2603.8313865051164,-2603.8313865051164,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
post_fordism,const,Q2,ortho,FALSE,none,1,1,-1032.343546085903,-1032.343546085903,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
post_fordism,const,Q2,raw,FALSE,none,1,1,-1034.5831725192147,-1034.5831725192147,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
post_fordism,const,Q3,ortho,FALSE,none,1,1,-1136.2365104723049,-1136.2365104723049,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
post_fordism,const,Q3,raw,FALSE,none,1,1,-1530.2975133466975,-1530.2975133466975,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
post_fordism,none,Q2,ortho,FALSE,none,1,1,-1052.542958439677,-1052.542958439677,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
post_fordism,none,Q2,raw,FALSE,none,1,1,-1054.7825848729804,-1054.7825848729804,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK"
post_fordism,none,Q3,ortho,FALSE,none,1,1,-1153.531621178607,-1153.531621178607,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
post_fordism,none,Q3,raw,FALSE,none,1,1,-1547.5926240531142,-1547.5926240531142,0,1,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK"
