window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,grid
full,none,1,1,99,4,2,TRUE,98,25,TRUE,NA,-293.021865330315,8,642.1040030793849,622.8046894617067,TRUE,computed,642.1040030793849,622.8046894617067,comparable
full,none,1,2,99,4,2,TRUE,98,25,TRUE,NA,-284.1870709026882,16,680.4946866428863,641.8960594075298,TRUE,computed,680.4946866428863,641.8960594075298,comparable
full,none,1,3,99,4,2,TRUE,98,25,TRUE,NA,-281.5680397661124,24,731.3168967884897,673.418955935455,TRUE,computed,731.3168967884897,673.418955935455,comparable
full,none,2,1,99,4,3,TRUE,97,30,TRUE,NA,-280.7108665416023,24,729.6025503394694,671.7046094864347,TRUE,computed,729.6025503394694,671.7046094864347,comparable
full,none,2,2,99,4,3,TRUE,97,30,TRUE,NA,-271.67471279048857,32,767.5905152559969,690.393260785284,TRUE,computed,767.5905152559969,690.393260785284,comparable
full,none,2,3,99,4,3,TRUE,97,30,TRUE,NA,-270.1526282603627,40,820.6066186145001,724.110050526109,TRUE,computed,820.6066186145001,724.110050526109,comparable
full,none,3,1,99,4,4,TRUE,96,35,TRUE,NA,-267.74938632696376,40,815.8001347477023,719.3035666593112,TRUE,computed,815.8001347477023,719.3035666593112,comparable
full,none,3,2,99,4,4,TRUE,96,35,TRUE,NA,-261.6101375604851,48,859.5819096334999,743.7860279274305,TRUE,computed,859.5819096334999,743.7860279274305,comparable
full,none,3,3,99,4,4,TRUE,96,35,TRUE,NA,-259.7172406572621,56,911.8563882458088,776.7611929220612,TRUE,computed,911.8563882458088,776.7611929220612,comparable
full,const,1,1,99,4,2,TRUE,98,30,TRUE,NA,-297.0805827150882,12,678.2515740583088,649.3026036317915,TRUE,computed,678.2515740583088,649.3026036317915,comparable
full,const,1,2,99,4,2,TRUE,98,30,TRUE,NA,-286.5161355007436,20,713.1829520483745,664.934668004179,TRUE,computed,713.1829520483745,664.934668004179,comparable
full,const,1,3,99,4,2,TRUE,98,30,TRUE,NA,-283.3751958450144,28,762.9613451556711,695.4137474937972,TRUE,computed,762.9613451556711,695.4137474937972,comparable
full,const,2,1,99,4,3,TRUE,97,35,TRUE,NA,-285.1662365020768,28,766.5434264697959,698.9958288079222,TRUE,computed,766.5434264697959,698.9958288079222,comparable
full,const,2,2,99,4,3,TRUE,97,35,TRUE,NA,-274.2550137650795,36,800.7812534145563,713.9343421350043,TRUE,computed,800.7812534145563,713.9343421350043,comparable
full,const,2,3,99,4,3,TRUE,97,35,TRUE,NA,-271.3997247934601,44,851.1309478900724,744.9847229928422,TRUE,computed,851.1309478900724,744.9847229928422,comparable
full,const,3,1,99,4,4,TRUE,96,40,TRUE,NA,-272.1182610504476,44,852.5680204040474,746.4217955068171,TRUE,computed,852.5680204040474,746.4217955068171,comparable
full,const,3,2,99,4,4,TRUE,96,40,TRUE,NA,-264.30630511523697,52,893.0043809523811,767.5588424374725,TRUE,computed,893.0043809523811,767.5588424374725,comparable
full,const,3,3,99,4,4,TRUE,96,40,TRUE,NA,-261.18471580514563,60,942.8214747509533,798.0766226183666,TRUE,computed,942.8214747509533,798.0766226183666,comparable
fordism,none,1,1,49,4,2,TRUE,48,25,TRUE,NA,-83.49693010573402,8,209.30190066544586,198.12842259635306,TRUE,computed,209.30190066544586,198.12842259635306,comparable
fordism,none,1,2,49,4,2,TRUE,48,25,TRUE,NA,-75.96629022600409,16,236.54866135996377,214.2017052217782,TRUE,computed,236.54866135996377,214.2017052217782,comparable
fordism,none,1,3,49,4,2,TRUE,48,25,TRUE,NA,-70.47906103390747,24,267.8822434297483,234.36180922246996,TRUE,computed,267.8822434297483,234.36180922246996,comparable
fordism,none,2,1,49,4,3,TRUE,47,30,TRUE,NA,-68.16399143178846,24,263.2521042255103,229.73167001823197,TRUE,computed,263.2521042255103,229.73167001823197,comparable
fordism,none,2,2,49,4,3,TRUE,47,30,TRUE,NA,-58.3192636065093,32,285.8706890289298,241.17677675255865,TRUE,computed,285.8706890289298,241.17677675255865,comparable
fordism,none,2,3,49,4,3,TRUE,47,30,TRUE,NA,-54.35907803891459,40,320.2583583477182,264.3909680022542,TRUE,computed,320.2583583477182,264.3909680022542,comparable
fordism,none,3,1,49,4,4,TRUE,46,35,TRUE,NA,-53.80930213137267,40,319.15880653263434,263.2914161871704,TRUE,computed,319.15880653263434,263.2914161871704,comparable
fordism,none,3,2,49,4,4,TRUE,46,35,TRUE,NA,-43.93721201650129,48,341.7226667568694,274.6817983423126,TRUE,computed,341.7226667568694,274.6817983423126,comparable
fordism,none,3,3,49,4,4,TRUE,46,35,TRUE,NA,-40.34090590304723,56,376.8380949839391,298.62374850028954,TRUE,computed,376.8380949839391,298.62374850028954,comparable
fordism,const,1,1,49,4,2,TRUE,48,30,TRUE,NA,-85.08627545575628,12,233.63461159247925,216.87439448884007,TRUE,computed,233.63461159247925,216.87439448884007,comparable
fordism,const,1,2,49,4,2,TRUE,48,30,TRUE,NA,-77.26508397065732,20,260.30026907625916,232.36657390352715,TRUE,computed,260.30026907625916,232.36657390352715,comparable
fordism,const,1,3,49,4,2,TRUE,48,30,TRUE,NA,-71.59229708542337,28,291.26273575976904,252.15556251794428,TRUE,computed,291.26273575976904,252.15556251794428,comparable
fordism,const,2,1,49,4,3,TRUE,47,35,TRUE,NA,-69.98114073978667,28,288.04042306849567,248.93324982667087,TRUE,computed,288.04042306849567,248.93324982667087,comparable
fordism,const,2,2,49,4,3,TRUE,47,35,TRUE,NA,-59.550186386064624,36,309.48655481502936,259.2059035041118,TRUE,computed,309.48655481502936,259.2059035041118,comparable
fordism,const,2,3,49,4,3,TRUE,47,35,TRUE,NA,-55.58820527500157,44,343.87063304688104,282.4165036668707,TRUE,computed,343.87063304688104,282.4165036668707,comparable
fordism,const,3,1,49,4,4,TRUE,46,40,TRUE,NA,-55.51218949479994,44,343.7186014864778,282.26447210646745,TRUE,computed,343.7186014864778,282.26447210646745,comparable
fordism,const,3,2,49,4,4,TRUE,46,40,TRUE,NA,-45.311292714306234,52,365.6248483794682,292.997240930365,TRUE,computed,365.6248483794682,292.997240930365,comparable
fordism,const,3,3,49,4,4,TRUE,46,40,TRUE,NA,-41.714037657544765,60,400.73837871992305,316.93729320172713,TRUE,computed,400.73837871992305,316.93729320172713,comparable
post_fordism,none,1,1,50,4,2,TRUE,49,25,TRUE,NA,-96.04502056902771,8,234.77974597421897,223.3862251814806,TRUE,computed,234.77974597421897,223.3862251814806,comparable
post_fordism,none,1,2,50,4,2,TRUE,49,25,TRUE,NA,-88.60230883369726,16,262.5840273397216,239.79698575424487,TRUE,computed,262.5840273397216,239.79698575424487,comparable
post_fordism,none,1,3,50,4,2,TRUE,49,25,TRUE,NA,-82.01815240651146,24,292.1054193215135,257.92485694329844,TRUE,computed,292.1054193215135,257.92485694329844,comparable
post_fordism,none,2,1,50,4,3,TRUE,48,30,TRUE,NA,-79.70509781610289,24,287.4793101406964,253.2987477624813,TRUE,computed,287.4793101406964,253.2987477624813,comparable
post_fordism,none,2,2,50,4,3,TRUE,48,30,TRUE,NA,-73.35790306494087,32,317.4746254745359,271.9005423035824,TRUE,computed,317.4746254745359,271.9005423035824,comparable
post_fordism,none,2,3,50,4,3,TRUE,48,30,TRUE,NA,-69.53169632179112,40,352.5119168243999,295.54431286070803,TRUE,computed,352.5119168243999,295.54431286070803,comparable
post_fordism,none,3,1,50,4,4,TRUE,47,35,TRUE,NA,-67.25255551509127,40,347.95363521100023,290.98603124730835,TRUE,computed,347.95363521100023,290.98603124730835,comparable
