window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,const,1,3,99,4,2,TRUE,98,30,TRUE,NA,203.3245501944614,27,-217.44568097562487,-282.5808644352889,TRUE,computed,-217.44568097562487,-282.5808644352889,Q2,ortho
full,const,2,0,99,4,3,TRUE,97,35,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,const,2,1,99,4,3,TRUE,97,35,TRUE,NA,194.73919690396704,25,-214.29004249932487,-274.6003975545693,TRUE,computed,-214.29004249932487,-274.6003975545693,Q2,ortho
full,const,2,2,99,4,3,TRUE,97,35,TRUE,NA,206.9408524511676,34,-175.62554712262664,-257.6476299977591,TRUE,computed,-175.62554712262664,-257.6476299977591,Q2,ortho
full,const,2,3,99,4,3,TRUE,97,35,TRUE,NA,210.38029955415232,43,-119.43663485749681,-223.17044555251726,TRUE,computed,-119.43663485749681,-223.17044555251726,Q2,ortho
full,const,3,0,99,4,4,TRUE,96,40,TRUE,NA,NA,32,NA,NA,TRUE,missing,NA,NA,Q2,ortho
full,const,3,1,99,4,4,TRUE,96,40,TRUE,NA,203.0755014444021,41,-118.84210674268513,-217.75108903328604,TRUE,computed,-118.84210674268513,-217.75108903328604,Q2,ortho
full,const,3,2,99,4,4,TRUE,96,40,TRUE,NA,212.0687299103457,50,-73.76075720347296,-194.3814673139619,TRUE,computed,-73.76075720347296,-194.3814673139619,Q2,ortho
full,const,3,3,99,4,4,TRUE,96,40,TRUE,NA,215.55111391988603,59,-17.657718751454297,-159.99015668183125,TRUE,computed,-17.657718751454297,-159.99015668183125,Q2,ortho
full,const,4,0,99,4,5,TRUE,95,45,TRUE,NA,NA,48,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,const,4,1,99,4,5,TRUE,95,45,TRUE,NA,210.5907845043924,57,-21.7521280251558,-159.25973755111318,FALSE,computed,-21.7521280251558,-159.25973755111318,Q2,ortho
full,const,4,2,99,4,5,TRUE,95,45,TRUE,NA,218.2553370083539,66,25.986573438020457,-133.2327639078249,FALSE,computed,25.986573438020457,-133.2327639078249,Q2,ortho
full,const,4,3,99,4,5,TRUE,95,45,TRUE,NA,221.58132210136307,75,82.40240972310141,-98.52865544263193,FALSE,computed,82.40240972310141,-98.52865544263193,Q2,ortho
full,const,5,0,99,4,6,TRUE,94,50,TRUE,NA,NA,64,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,const,5,1,99,4,6,TRUE,94,50,TRUE,NA,226.3180703146846,73,58.91384519176967,-117.19239156954416,FALSE,computed,58.91384519176967,-117.19239156954416,Q2,ortho
full,const,5,2,99,4,6,TRUE,94,50,TRUE,NA,232.9566771563069,82,108.70443797962434,-89.11352660157746,FALSE,computed,108.70443797962434,-89.11352660157746,Q2,ortho
full,const,5,3,99,4,6,TRUE,94,50,TRUE,NA,237.97506278257782,91,161.7354731981818,-57.79421920290798,FALSE,computed,161.7354731981818,-57.79421920290798,Q2,ortho
full,const,6,0,99,4,7,TRUE,93,55,TRUE,NA,NA,80,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,const,6,1,99,4,7,TRUE,93,55,TRUE,NA,241.88100168820608,89,139.9085272822366,-74.79633671443366,FALSE,computed,139.9085272822366,-74.79633671443366,Q2,ortho
full,const,6,2,99,4,7,TRUE,93,55,TRUE,NA,250.55538974675227,98,185.62755763624352,-50.78903418031473,FALSE,computed,185.62755763624352,-50.78903418031473,Q2,ortho
full,const,6,3,99,4,7,TRUE,93,55,TRUE,NA,256.87966340702883,107,236.0468167867897,-22.081502849656545,FALSE,computed,236.0468167867897,-22.081502849656545,Q2,ortho
full,const,7,0,99,4,8,TRUE,92,60,TRUE,NA,NA,96,NA,NA,FALSE,missing,NA,NA,Q2,ortho
full,const,7,1,99,4,8,TRUE,92,60,TRUE,NA,259.1395473964515,105,217.51198070325563,-35.791510528771084,FALSE,computed,217.51198070325563,-35.791510528771084,Q2,ortho
full,const,7,2,99,4,8,TRUE,92,60,TRUE,NA,274.1666468446297,114,250.5255882779985,-24.489630773916247,FALSE,computed,250.5255882779985,-24.489630773916247,Q2,ortho
full,const,7,3,99,4,8,TRUE,92,60,TRUE,NA,280.6861856788028,123,300.5543170807516,3.827370208948878,FALSE,computed,300.5543170807516,3.827370208948878,Q2,ortho
fordism,none,1,0,49,4,2,TRUE,48,25,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,ortho
fordism,none,1,1,49,4,2,TRUE,48,25,TRUE,NA,153.78231717143234,8,-265.25659388888687,-276.4300719579797,TRUE,computed,-265.25659388888687,-276.4300719579797,Q2,ortho
fordism,none,1,2,49,4,2,TRUE,48,25,TRUE,NA,161.15606872033473,16,-237.69605653271384,-260.04301267089943,TRUE,computed,-237.69605653271384,-260.04301267089943,Q2,ortho
fordism,none,1,3,49,4,2,TRUE,48,25,TRUE,NA,166.5289806375958,24,-206.13383991325819,-239.65427412053657,TRUE,computed,-206.13383991325819,-239.65427412053657,Q2,ortho
fordism,none,2,0,49,4,3,TRUE,47,30,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA,Q2,ortho
fordism,none,2,1,49,4,3,TRUE,47,30,TRUE,NA,163.85803912367226,24,-200.7919568854111,-234.3123910926895,TRUE,computed,-200.7919568854111,-234.3123910926895,Q2,ortho
fordism,none,2,2,49,4,3,TRUE,47,30,TRUE,NA,173.49330465479642,32,-177.75444749368162,-222.44835977005278,TRUE,computed,-177.75444749368162,-222.44835977005278,Q2,ortho
fordism,none,2,3,49,4,3,TRUE,47,30,TRUE,NA,177.3692309549956,40,-143.1982596401022,-199.06564998556615,TRUE,computed,-143.1982596401022,-199.06564998556615,Q2,ortho
fordism,none,3,0,49,4,4,TRUE,46,35,TRUE,NA,NA,32,NA,NA,TRUE,missing,NA,NA,Q2,ortho
fordism,none,3,1,49,4,4,TRUE,46,35,TRUE,NA,172.96422461834868,40,-134.38824696680837,-190.2556373122723,TRUE,computed,-134.38824696680837,-190.2556373122723,Q2,ortho
fordism,none,3,2,49,4,4,TRUE,46,35,TRUE,NA,182.62170407854904,48,-111.39516543323128,-178.43603384778802,TRUE,computed,-111.39516543323128,-178.43603384778802,Q2,ortho
fordism,none,3,3,49,4,4,TRUE,46,35,TRUE,NA,186.13982962431916,56,-76.12337607079371,-154.33772255444325,TRUE,computed,-76.12337607079371,-154.33772255444325,Q2,ortho
fordism,none,4,0,49,4,5,TRUE,45,40,TRUE,NA,NA,48,NA,NA,FALSE,missing,NA,NA,Q2,ortho
fordism,none,4,1,49,4,5,TRUE,45,40,TRUE,NA,195.24103000777916,56,-94.3257768377137,-172.54012332136324,FALSE,computed,-94.3257768377137,-172.54012332136324,Q2,ortho
fordism,none,4,2,49,4,5,TRUE,45,40,TRUE,NA,206.45380043849198,64,-74.44327724516154,-163.83110179790387,FALSE,computed,-74.44327724516154,-163.83110179790387,Q2,ortho
fordism,none,4,3,49,4,5,TRUE,45,40,TRUE,NA,208.5912949651701,72,-36.41022584453998,-136.9715284663751,FALSE,computed,-36.41022584453998,-136.9715284663751,Q2,ortho
fordism,none,5,0,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,5,1,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,5,2,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,5,3,49,4,6,FALSE,44,45,FALSE,gate_fail: T_eff=44 <= min_eff=45,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,6,0,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,6,1,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,6,2,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,6,3,49,4,7,FALSE,43,50,FALSE,gate_fail: T_eff=43 <= min_eff=50,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,7,0,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,7,1,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,7,2,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,none,7,3,49,4,8,FALSE,42,55,FALSE,gate_fail: T_eff=42 <= min_eff=55,NA,NA,NA,NA,FALSE,gate_fail,NA,NA,Q2,ortho
fordism,const,1,0,49,4,2,TRUE,48,30,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,ortho
fordism,const,1,1,49,4,2,TRUE,48,30,TRUE,NA,151.0165647425267,9,-254.43658397432836,-267.00674680205776,TRUE,computed,-254.43658397432836,-267.00674680205776,Q2,ortho
fordism,const,1,2,49,4,2,TRUE,48,30,TRUE,NA,159.16300123807298,18,-223.1329114546959,-248.2732371101547,TRUE,computed,-223.1329114546959,-248.2732371101547,Q2,ortho
fordism,const,1,3,49,4,2,TRUE,48,30,TRUE,NA,164.85390879945757,27,-186.91818106674006,-224.62866954992825,TRUE,computed,-186.91818106674006,-224.62866954992825,Q2,ortho
fordism,const,2,0,49,4,3,TRUE,47,35,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA,Q2,ortho
fordism,const,2,1,49,4,3,TRUE,47,35,TRUE,NA,160.93966386496535,25,-189.66670131125008,-224.58382027716505,TRUE,computed,-189.66670131125008,-224.58382027716505,Q2,ortho
fordism,const,2,2,49,4,3,TRUE,47,35,TRUE,NA,171.67066256541662,34,-163.5321532014276,-211.01943499507195,TRUE,computed,-163.5321532014276,-211.01943499507195,Q2,ortho
