"window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC"
"full","none",1,0,99,4,-22.1012641804186,16,-21.3586185480736,51.4206534217349
"full","none",1,1,99,4,-22.5384156078941,23,-21.4708625113982,83.1493409452015
"full","none",1,2,99,4,-22.7187175349886,28,-21.4190876783849,105.94463826878
"full","none",1,3,99,4,-22.7721671500208,31,-21.3332912373524,119.676548204151
"full","none",2,0,99,4,-22.2703246493448,32,-20.7850333846548,124.773510554962
"full","none",2,1,99,4,-22.7306007574762,39,-20.9204020286353,156.479073397773
"full","none",2,2,99,4,-22.9169132059528,44,-20.8746377170041,179.268360199969
"full","none",2,3,99,4,-22.948296392141,47,-20.7667748471276,193.022336564185
"full","none",3,0,99,4,-22.4923124458901,48,-20.2643755488552,198.07344036057
"full","none",3,1,99,4,-22.9403414607147,55,-20.3874970995288,229.791250296688
"full","none",3,2,99,4,-23.068242476683,60,-20.2833213553893,252.638948531392
"full","none",3,3,99,4,-23.1076778288335,63,-20.1835106514751,266.384872729646
"full","none",4,0,99,4,-22.6378451584521,64,-19.6672626290721,271.449825250162
"full","none",4,1,99,4,-23.1259478580319,71,-19.8304578645011,303.127561501524
"full","none",4,2,99,4,-23.2388051660045,76,-19.7112384123658,325.990303444224
"full","none",4,3,99,4,-23.2760730023166,79,-19.6092601926132,339.738395158316
"full","none",5,0,99,4,-23.0635888941677,80,-19.3503607324428,344.545999116599
"full","none",5,1,99,4,-23.5053584889075,87,-19.4672228630317,376.270068472802
"full","none",5,2,99,4,-23.6442700280138,92,-19.3740576420301,399.106756184368
"full","none",5,3,99,4,-23.6870797382522,95,-19.2776212962038,412.849306024534
"full","none",6,0,99,4,-23.5049525806331,96,-19.0490787865632,417.626553032287
"full","none",6,1,99,4,-23.9764929925932,103,-19.1957117343723,449.32085157127
"full","none",6,2,99,4,-24.1147332314452,108,-19.1018752131165,472.158210583091
"full","none",6,3,99,4,-24.1600278077083,111,-19.007923733315,485.898275557231
"full","none",7,0,99,4,-23.8164177088224,112,-18.6178982824075,490.837005506252
"full","none",7,1,99,4,-24.450812425556,119,-18.9273855349902,522.36844974046
"full","none",7,2,99,4,-24.6879050340885,124,-18.9324013834149,545.106956382601
"full","none",7,3,99,4,-24.7406287852125,127,-18.8458790784741,558.83959218188
"full","const",1,0,99,4,-22.1012641804186,16,-21.3586185480736,51.4206534217349
"full","const",1,1,99,4,-22.455584640858,23,-21.3880315443621,83.2321719122375
"full","const",1,2,99,4,-22.671185604416,28,-21.3715557478123,105.992170199353
"full","const",1,3,99,4,-22.7352864137166,31,-21.2964105010482,119.713428940456
"full","const",2,0,99,4,-22.2703246493448,32,-20.7850333846548,124.773510554962
"full","const",2,1,99,4,-22.6387374593222,39,-20.8285387304813,156.570936695927
"full","const",2,2,99,4,-22.8637111240024,44,-20.8214356350537,179.32156228192
"full","const",2,3,99,4,-22.9225830615616,47,-20.7410615165482,193.048049894764
"full","const",3,0,99,4,-22.4923124458901,48,-20.2643755488552,198.07344036057
"full","const",3,1,99,4,-22.8493232373087,55,-20.2964788761228,229.882268520094
"full","const",3,2,99,4,-23.0120723192924,60,-20.2271511979987,252.695118688783
"full","const",3,3,99,4,-23.0771054299192,63,-20.1529382525608,266.41544512856
"full","const",4,0,99,4,-22.6378451584521,64,-19.6672626290721,271.449825250162
"full","const",4,1,99,4,-23.0455713813461,71,-19.7500813878153,303.20793797821
"full","const",4,2,99,4,-23.1887993079122,76,-19.6612325542736,326.040309302317
"full","const",4,3,99,4,-23.2535423932595,79,-19.5867295835561,339.760925767373
"full","const",5,0,99,4,-23.0635888941677,80,-19.3503607324428,344.545999116599
"full","const",5,1,99,4,-23.4267546569937,87,-19.3886190311179,376.348672304716
"full","const",5,2,99,4,-23.5664414969832,92,-19.2962291109996,399.184584715399
"full","const",5,3,99,4,-23.6564905358427,95,-19.2470320937944,412.879895226943
"full","const",6,0,99,4,-23.5049525806331,96,-19.0490787865632,417.626553032287
"full","const",6,1,99,4,-23.8297807103332,103,-19.0489994521124,449.467563853529
"full","const",6,2,99,4,-23.9853081008652,108,-18.9724500825366,472.287635713671
"full","const",6,3,99,4,-24.1224409022916,111,-18.9703368278983,485.935862462648
"full","const",7,0,99,4,-23.8164177088224,112,-18.6178982824075,490.837005506252
"full","const",7,1,99,4,-24.2442568809452,119,-18.7208299903794,522.575005285071
"full","const",7,2,99,4,-24.5694041799115,124,-18.8139005292379,545.225457236778
"full","const",7,3,99,4,-24.7066716606534,127,-18.8119219539151,558.873549306439
"full","trend",1,0,99,4,-22.1012641804186,16,-21.3586185480736,51.4206534217349
"full","trend",1,1,99,4,-22.5414241262291,23,-21.4738710297332,83.1463324268665
"full","trend",1,2,99,4,-22.8314382196708,28,-21.5318083630671,105.831917584098
"full","trend",1,3,99,4,-23.0102343921763,31,-21.5713584795079,119.438480961996
