"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC","within_window_rank","criterion","ecdet_label"
"Q2","ford","none",1,1,49,4,-17.8094118350273,23,-15.9826390420365,71.7024550215172,1,"PIC","No Constant"
"Q2","ford","const",1,1,49,4,-17.7431891121097,23,-15.916416319119,71.7686777444348,2,"PIC","Constant"
"Q2","ford","none",1,2,49,4,-18.1231884966827,28,-15.8992911834766,90.8477798504149,3,"PIC","No Constant"
"Q2","ford","none",1,3,49,4,-18.3518230463533,31,-15.8896510210181,102.294606195076,4,"PIC","No Constant"
"Q2","ford","none",7,2,49,4,-25.7274927937297,124,-15.8788046923885,456.858224171988,5,"PIC","No Constant"
"Q2","full","none",1,1,99,4,-15.3084125214672,23,-14.2408594249713,90.3793440316284,1,"PIC","No Constant"
"Q2","full","none",1,2,99,4,-15.4887144485616,28,-14.1890845919579,113.174641355207,2,"PIC","No Constant"
"Q2","full","const",1,1,99,4,-15.225581554431,23,-14.1580284579351,90.4621749986645,3,"PIC","Constant"
"Q2","full","const",1,2,99,4,-15.4411825179891,28,-14.1415526613854,113.222173285779,4,"PIC","Constant"
"Q2","full","none",1,0,99,4,-14.8712610939916,16,-14.1286154616467,58.6506565081618,5,"PIC","No Constant"
"Q2","post","none",1,1,50,4,-17.368245668248,23,-15.5687150857511,72.6082834565993,1,"PIC","No Constant"
"Q2","post","none",1,3,50,4,-17.9407708993711,31,-15.5153166360057,103.331942268901,2,"PIC","No Constant"
"Q2","post","none",1,2,50,4,-17.6720298207105,28,-15.4812969376708,91.8646143312776,3,"PIC","No Constant"
"Q2","post","const",1,3,50,4,-17.8965872480254,31,-15.4711329846599,103.376125920247,4,"PIC","Constant"
"Q2","post","const",1,2,50,4,-17.6254200251863,28,-15.4346871421466,91.9112241268018,5,"PIC","Constant"
