"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC","within_window_rank","criterion","ecdet_label"
"Q2","ford","none",1,0,49,4,-16.8452690177767,16,-15.5744705530875,45.4238557519933,1,"BIC","No Constant"
"Q2","ford","const",1,0,49,4,-16.8452690177767,16,-15.5744705530875,45.4238557519933,2,"BIC","Constant"
"Q2","ford","none",1,1,49,4,-17.8094118350273,23,-15.9826390420365,71.7024550215172,3,"BIC","No Constant"
"Q2","ford","const",1,1,49,4,-17.7431891121097,23,-15.916416319119,71.7686777444348,4,"BIC","Constant"
"Q2","ford","none",1,2,49,4,-18.1231884966827,28,-15.8992911834766,90.8477798504149,5,"BIC","No Constant"
"Q2","full","none",1,0,99,4,-14.8712610939916,16,-14.1286154616467,58.6506565081618,1,"BIC","No Constant"
"Q2","full","const",1,0,99,4,-14.8712610939916,16,-14.1286154616467,58.6506565081618,2,"BIC","Constant"
"Q2","full","none",1,1,99,4,-15.3084125214672,23,-14.2408594249713,90.3793440316284,3,"BIC","No Constant"
"Q2","full","const",1,1,99,4,-15.225581554431,23,-14.1580284579351,90.4621749986645,4,"BIC","Constant"
"Q2","full","none",1,2,99,4,-15.4887144485616,28,-14.1890845919579,113.174641355207,5,"BIC","No Constant"
"Q2","post","none",1,0,50,4,-16.5905076611572,16,-15.3386602994202,46.0018604256931,1,"BIC","No Constant"
"Q2","post","const",1,0,50,4,-16.5905076611572,16,-15.3386602994202,46.0018604256931,2,"BIC","Constant"
"Q2","post","none",1,1,50,4,-17.368245668248,23,-15.5687150857511,72.6082834565993,3,"BIC","No Constant"
"Q2","post","const",1,1,50,4,-17.2274810737863,23,-15.4279504912893,72.7490480510611,4,"BIC","Constant"
"Q2","post","none",1,2,50,4,-17.6720298207105,28,-15.4812969376708,91.8646143312776,5,"BIC","No Constant"
