"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC","within_window_rank","criterion","ecdet_label"
"Q3","ford","none",5,4,49,5,-30.9146916665289,149,-19.0803809641109,548.966532751954,1,"PIC","No Constant"
"Q3","ford","none",5,3,49,5,-30.6087713130271,146,-19.0127353227383,537.596992211124,2,"PIC","No Constant"
"Q3","ford","none",5,2,49,5,-29.6621524140273,141,-18.4632409439539,519.084509619571,3,"PIC","No Constant"
"Q3","ford","none",1,2,49,5,-21.3088339535484,41,-18.0524128877824,138.255798268987,4,"PIC","No Constant"
"Q3","ford","const",1,2,49,5,-21.2418413090177,41,-17.9854202432517,138.322790913518,5,"PIC","Constant"
"Q3","full","none",1,1,99,5,-17.5742804254742,34,-15.9961584567411,138.659794479102,1,"PIC","No Constant"
"Q3","full","const",1,1,99,5,-17.4880042367461,34,-15.909882268013,138.74607066783,2,"PIC","Constant"
"Q3","full","none",1,2,99,5,-17.7944379072164,41,-15.8914084743324,170.605475948302,3,"PIC","No Constant"
"Q3","full","const",1,2,99,5,-17.725101481821,41,-15.8220720489369,170.674812373697,4,"PIC","Constant"
"Q3","full","none",1,3,99,5,-17.9509638727115,46,-15.8158576797197,193.42454923348,5,"PIC","No Constant"
"Q3","post","none",1,1,50,5,-19.6018062850643,34,-16.9416306413732,113.406975899493,1,"PIC","No Constant"
"Q3","post","none",1,2,50,5,-20.1195810148512,41,-16.9117221504001,140.273362207703,2,"PIC","No Constant"
"Q3","post","none",1,3,50,5,-20.4380199356259,46,-16.838958770632,159.515038314069,3,"PIC","No Constant"
"Q3","post","const",1,1,50,5,-19.4452372094617,34,-16.7850615657706,113.563544975095,4,"PIC","Constant"
"Q3","post","const",1,3,50,5,-20.37782711078,46,-16.7787659457861,159.575231138915,5,"PIC","Constant"
