"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC","p_max","r_max","at_p_max","at_r_max","boundary_min","ecdet_label","note"
"Q2","ford","const",1,1,49,4,-17.7431891121097,23,-15.916416319119,71.7686777444348,6,3,FALSE,FALSE,FALSE,"Constant","Interior PIC min (more credible identification)"
"Q2","ford","none",1,1,49,4,-17.8094118350273,23,-15.9826390420365,71.7024550215172,7,3,FALSE,FALSE,FALSE,"No Constant","Interior PIC min (more credible identification)"
"Q2","full","const",1,1,99,4,-15.225581554431,23,-14.1580284579351,90.4621749986645,7,3,FALSE,FALSE,FALSE,"Constant","Interior PIC min (more credible identification)"
"Q2","full","none",1,1,99,4,-15.3084125214672,23,-14.2408594249713,90.3793440316284,7,3,FALSE,FALSE,FALSE,"No Constant","Interior PIC min (more credible identification)"
"Q2","post","const",1,3,50,4,-17.8965872480254,31,-15.4711329846599,103.376125920247,6,3,FALSE,TRUE,TRUE,"Constant","Boundary-seeking PIC min (treat as overparameterization signal)"
"Q2","post","none",1,1,50,4,-17.368245668248,23,-15.5687150857511,72.6082834565993,7,3,FALSE,FALSE,FALSE,"No Constant","Interior PIC min (more credible identification)"
