"window","ecdet","p_Q2","r_Q2","PIC_Q2","ecdet_label","p_Q3","r_Q3","PIC_Q3","dPIC_Q3_minus_Q2","winner"
"full","none",1,1,-14.2408594249713,"No Constant",1,1,-15.9961584567411,-1.7552990317698,"Q3 (lower PIC)"
"full","const",1,1,-14.1580284579351,"Constant",1,1,-15.909882268013,-1.7518538100779,"Q3 (lower PIC)"
"ford","none",1,1,-15.9826390420365,"No Constant",5,4,-19.0803809641109,-3.0977419220744,"Q3 (lower PIC)"
"ford","const",1,1,-15.916416319119,"Constant",1,2,-17.9854202432517,-2.0690039241327,"Q3 (lower PIC)"
"post","none",1,1,-15.5687150857511,"No Constant",1,1,-16.9416306413732,-1.3729155556221,"Q3 (lower PIC)"
"post","const",1,3,-15.4711329846599,"Constant",1,1,-16.7850615657706,-1.3139285811107,"Q3 (lower PIC)"
