window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis
full,none,1,0,99,6,2,TRUE,98,35,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q3,raw
full,none,1,1,99,6,2,TRUE,98,35,TRUE,NA,1343.9608975666245,12,-2603.8313865051164,-2632.780356931634,TRUE,computed,-2603.8313865051164,-2632.780356931634,Q3,raw
full,none,1,2,99,6,2,TRUE,98,35,TRUE,NA,1362.900519448418,24,-2557.6202216405713,-2615.518162493606,TRUE,computed,-2557.6202216405713,-2615.518162493606,Q3,raw
full,none,1,3,99,6,2,TRUE,98,35,TRUE,NA,1374.0635662776644,36,-2495.8559066709317,-2582.7028179504837,TRUE,computed,-2495.8559066709317,-2582.7028179504837,Q3,raw
full,none,1,4,99,6,2,TRUE,98,35,TRUE,NA,1381.0335541024197,48,-2425.7054736923096,-2541.501355398379,TRUE,computed,-2425.7054736923096,-2541.501355398379,Q3,raw
full,none,1,5,99,6,2,TRUE,98,35,TRUE,NA,1383.8391335399622,60,-2347.226223939262,-2491.971076071849,TRUE,computed,-2347.226223939262,-2491.971076071849,Q3,raw
full,none,2,0,99,6,3,TRUE,97,40,TRUE,NA,NA,36,NA,NA,TRUE,missing,NA,NA,Q3,raw
full,none,2,1,99,6,3,TRUE,97,40,TRUE,NA,1356.9984662408133,48,-2377.635297969097,-2493.4311796751663,TRUE,computed,-2377.635297969097,-2493.4311796751663,Q3,raw
full,none,2,2,99,6,3,TRUE,97,40,TRUE,NA,1373.3902230598296,60,-2326.328402978997,-2471.073255111584,TRUE,computed,-2326.328402978997,-2471.073255111584,Q3,raw
full,none,2,3,99,6,3,TRUE,97,40,TRUE,NA,1385.7084416148768,72,-2266.8744314609594,-2440.5682540200633,TRUE,computed,-2266.8744314609594,-2440.5682540200633,Q3,raw
full,none,2,4,99,6,3,TRUE,97,40,TRUE,NA,1393.38877866537,84,-2198.144696933813,-2400.7874899194344,TRUE,computed,-2198.144696933813,-2400.7874899194344,Q3,raw
full,none,2,5,99,6,3,TRUE,97,40,TRUE,NA,1395.1333333882385,96,-2117.5433977514176,-2349.1351611635564,TRUE,computed,-2117.5433977514176,-2349.1351611635564,Q3,raw
full,none,3,0,99,6,4,TRUE,96,45,TRUE,NA,NA,72,NA,NA,TRUE,missing,NA,NA,Q3,raw
full,none,3,1,99,6,4,TRUE,96,45,TRUE,NA,1377.4075754120054,84,-2166.182290427084,-2368.825083412705,TRUE,computed,-2166.182290427084,-2368.825083412705,Q3,raw
full,none,3,2,99,6,4,TRUE,96,45,TRUE,NA,1393.3109233077776,96,-2113.8985775904957,-2345.4903410026345,TRUE,computed,-2113.8985775904957,-2345.4903410026345,Q3,raw
full,none,3,3,99,6,4,TRUE,96,45,TRUE,NA,1406.3919667518853,108,-2055.9702558505787,-2316.510989689235,TRUE,computed,-2055.9702558505787,-2316.510989689235,Q3,raw
full,none,3,4,99,6,4,TRUE,96,45,TRUE,NA,1411.2049689025562,120,-1981.5058515237884,-2270.9955557889616,TRUE,computed,-1981.5058515237884,-2270.9955557889616,Q3,raw
