"window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC","within_window_rank","criterion","ecdet_label"
"ford","none",1,0,49,4,-24.0752721042036,16,-22.8044736395144,38.1938526655664,1,"BIC","No Constant"
"ford","const",1,0,49,4,-24.0752721042036,16,-22.8044736395144,38.1938526655664,2,"BIC","Constant"
"ford","trend",1,0,49,4,-24.0752721042036,16,-22.8044736395144,38.1938526655664,3,"BIC","Trend"
"ford","trend",1,1,49,4,-25.0459742968689,23,-23.2192015038782,64.4658925596755,4,"BIC","Trend"
"ford","none",1,1,49,4,-25.0394149214542,23,-23.2126421284635,64.4724519350902,5,"BIC","No Constant"
"full","none",1,0,99,4,-22.1012641804186,16,-21.3586185480736,51.4206534217349,1,"BIC","No Constant"
"full","const",1,0,99,4,-22.1012641804186,16,-21.3586185480736,51.4206534217349,2,"BIC","Constant"
"full","trend",1,0,99,4,-22.1012641804186,16,-21.3586185480736,51.4206534217349,3,"BIC","Trend"
"full","trend",1,1,99,4,-22.5414241262291,23,-21.4738710297332,83.1463324268665,4,"BIC","Trend"
"full","none",1,1,99,4,-22.5384156078941,23,-21.4708625113982,83.1493409452015,5,"BIC","No Constant"
"post","none",1,0,50,4,-23.8205107475842,16,-22.5686633858472,38.7718573392662,1,"BIC","No Constant"
"post","const",1,0,50,4,-23.8205107475842,16,-22.5686633858472,38.7718573392662,2,"BIC","Constant"
"post","trend",1,0,50,4,-23.8205107475842,16,-22.5686633858472,38.7718573392662,3,"BIC","Trend"
"post","trend",1,1,50,4,-24.6236102290017,23,-22.8240796465048,65.3529188958456,4,"BIC","Trend"
"post","none",1,1,50,4,-24.598248754675,23,-22.7987181721781,65.3782803701723,5,"BIC","No Constant"
