window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis,source_file,run_tag,include_e_raw,e_raw_mode,spec_type,degree_meta,vars,e_linear,e_linear_mode,PIC_min,dPIC,in_ambiguity
full,none,1,0,99,5,2,TRUE,98,30,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,NA,FALSE
full,none,1,1,99,5,2,TRUE,98,30,TRUE,NA,839.9263554360724,10,-1609.7773703487012,-1633.9015123707989,TRUE,computed,-1609.7773703487012,-1633.9015123707989,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,0,TRUE
full,none,1,2,99,5,2,TRUE,98,30,TRUE,NA,856.0704098937109,20,-1571.9901387405343,-1620.23842278473,TRUE,computed,-1571.9901387405343,-1620.23842278473,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,37.78723160816685,FALSE
full,none,1,3,99,5,2,TRUE,98,30,TRUE,NA,864.2705532893922,30,-1518.3150850084533,-1590.687511074747,TRUE,computed,-1518.3150850084533,-1590.687511074747,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,91.46228534024794,FALSE
full,none,1,4,99,5,2,TRUE,98,30,TRUE,NA,866.9719549879117,40,-1453.6425478820486,-1550.1391159704397,TRUE,computed,-1453.6425478820486,-1550.1391159704397,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,156.13482246665262,FALSE
full,none,2,0,99,5,3,TRUE,97,35,TRUE,NA,NA,25,NA,NA,TRUE,missing,NA,NA,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,NA,FALSE
full,none,2,1,99,5,3,TRUE,97,35,TRUE,NA,847.119318385645,35,-1448.974944939237,-1533.4094420165793,TRUE,computed,-1448.974944939237,-1533.4094420165793,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,160.80242540946415,FALSE
full,none,2,2,99,5,3,TRUE,97,35,TRUE,NA,860.5752991141475,45,-1405.8115658727984,-1514.3702049722383,TRUE,computed,-1405.8115658727984,-1514.3702049722383,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,203.96580447590281,FALSE
full,none,2,3,99,5,3,TRUE,97,35,TRUE,NA,869.4541492595013,55,-1353.4939256400623,-1486.1767067616,TRUE,computed,-1353.4939256400623,-1486.1767067616,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,256.28344470863885,FALSE
full,none,2,4,99,5,3,TRUE,97,35,TRUE,NA,871.0679579898518,65,-1286.6462025773196,-1443.4531257209553,TRUE,computed,-1286.6462025773196,-1443.4531257209553,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,323.13116777138157,FALSE
